,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.051849350616289,0,0.087562114489786,0.0754201570464096,0,0.00945887491253684,0,0.197619016452911,0,0.0988646424574136,0,0.132566402617693,0.0104958519489302,0,0,0,0,0,0
ETH,0.806523131348328,0,0,0,0,0.0217978288788696,0,0.158222157631955,0.00619725514778093,0,0.057731492077711,0,0,0,0.0174866977953749,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0766269216023312,0,0,0.0131169863953877,0.153584661606743,0,0.371114927190012,0.141917718020179,0,0,0,0,0
BCH,0,0,0,0,0,0.125744828273625,0.0461645517298606,0,0.0693875271554262,0.16488410446819,0,0.620647814928029,0.0413275340781783,0,0,0,0,0,0,-0.0758716984063081
ADA,0,0,0.0986042719060666,0,0,0.53756836326996,0.00785496999162662,0.299353117687334,0.0962597104679485,0,0.0128519495285772,0,0,0,0,0,0,0,0,0
LTC,0,0.119510362072147,0,0.243396659980298,0.222508471748513,0,0,0,0,0,0.0802730693594438,0,0,0,0.0928695042676762,0,0,0,0,0.0514002374132519
NEO,0,0.115919856424109,0,0,0.385291254486613,0,0,0.0129061875960086,0,0,0.0790370261585612,0,0.419004479404805,0,-0.0680683974056275,0,0,0,0,0
XLM,0,0,0,0,0.981826744809063,-0.364390639640783,0,0,0,-0.142184823930934,-0.0608490339592241,0.182578530748946,0.0671368233408453,0.161212248083233,0,0,0,0,0,3.46944695195361e-18
EOS,0,0,0.016978818779918,0.175117786369935,0,0,0,0.525472999244286,0,0,0.0266168901934217,0,0,0.255626796173212,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.343095510663636,0,0,0.0996237272900431,0,0.0656937450766279,0,0.316619429052121,0.139898825923197,0,0,0,0,0,-0.0700225523183694
XEM,0,0,0,0,0.20822327222552,0,0,0,0.303956232376983,0.229941322551044,0,0,0,0,0,0,0,0,0,0.185678595414459
DASH,0,0,0,0.212969819250206,0.0771376160304822,0.189815955246014,0,0,0.0699522350880387,0,0,0,0.355282802377419,0,0,0,0,0,0,0
XMR,0,0,0,0.0757905096026267,0,0,0.192926702992677,0,0,0,0.000314766020618773,0.502680853143309,0,0.0887364612434107,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.315301289723229,0,0.0419422942329199,0,0.123792424104191,0,0,0,0.526039011621882,0,0,0,0,0.0520869899172832
BTG,0,0,0.229049410610326,0.205411555680388,0,0,0,0,1.73472347597681e-18,0.0209192771016125,0,0,0,0.464183794753964,0,0,0,0,0,-0.0462619887509524
BV010082.Index,0,-0.00621118632167439,0,0.129766534319575,-0.0890444950952144,0,-0.0603664813502237,-0.0287962557226639,-0.0225735329637506,-0.00687089761157491,0.0315981607353007,0,0.0153288868654894,0,0.0081036148181338,0,0.120916204941483,0,0,-0.0418893352441577
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0.0114936523509595,0,0,0,0,0,0,0,0,0.0310079004395249
DXY.Curncy,0,0,-0.0120179085796054,5.42101086242752e-20,0,0.0307700494156752,0,-0.00651621395333941,0,0.00832504603927728,-0.015265580307217,0,0,0,-0.00124687853269131,0,0,0,0,0.00804013939894567
SPX.Index,0,0.0111230391433439,0,0,0,0,0.0127544651714372,0.00969475690212925,0,0,0.0176778140437443,0,0,-1.35525271560688e-20,-0.0645530885948979,0,0,0,0,-0.0588327787175109
VIX.Index,0,-0.24948644946521,0,-0.708719094523035,0,1.01964783047394,0,0,0,0,0,0,0,0.385310025871935,0,0,0,0,0,0
