,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0801267231097688,0.0126124018944291,0,-3.46944695195361e-18,0,0.253950566268011,0,-0.0826436567634282,0,-0.074418584871741,0,0.0589297088868083,-0.216455438182974,0,0,0,0,0.0737199223654423
ETH,0,0,-0.0724956936496414,-0.0462133329028033,0,0,0,0.0327827376628051,0,-0.076541180646643,0.155207270972509,0,0,0.0894963855033405,0,0,0,0,0,0.0576664364945821
BCH,-1.69601388207658,-5.59439471015638,0,-0.979103197983068,0.692993942920843,1.81421589876301,0,0,0.862791637938567,-1.12790788761921,0,-3.04901579409134,0.915782593725199,0.64522526936858,-0.29774428308831,-1.4968169167502,3.0741438778772,0,0,0.603391452600015
XRP,0,0,0,0,0,-0.165275076931762,0,0,0.285527999384113,0,0,-0.210117547581447,0,0,0.503045224085151,0,0,0,0,0
LTC,0,0,0,0,0,-0.249486001598264,0,0,-1.73472347597681e-18,-0.0494071414637823,0.713549644063224,0.135104335199604,0.0399529860421065,-0.0152584396624236,-0.0873116321361416,0,0,0,0,0.0101940529183001
DASH,0.213472601823688,0,0.116011887369523,0,-0.245601271551858,0,0.221860751171217,0,0,0.0797777480872649,0,1.05243974970907,0,0.00458896091756879,0,0,0,0,0,-0.100360617605871
XEM,0,0,-0.106979127538843,0,0.0928240433737818,0.202533962017187,0,0,-0.209314318864715,0.0855767792573319,0,0,0,0,0.520677834978948,0,0,0,0,0.147197967128725
MIOTA,1.38608701340876,0,-0.00903259788718245,-0.354256675852058,0,0.360407485259026,-0.501674707443565,0,0.195110181572668,0.121395742773493,0,0,0.201407889229654,0,0,0,0,0,0,0.155724690854242
XMR,0,0,-0.034042340705079,0.726820987374093,0,0.1692071906224,0,0,0,-0.0112260218866647,0,0.79107474990445,0,-0.0343533441419681,-3.46944695195361e-18,0,0,0,0,-0.0296031207436535
NEO,0,-2.17570466442503,-0.334751367420027,0.119922333635931,0.106321049778976,0,0.353386776030212,0.170760349605468,0.242604495988738,0,0,-0.449284884594228,0,0,-0.93608825634599,0,0,0,0,0
ETC,0,0,-0.0252689127027145,0,0.235327946118396,0,0.0911066887415252,0,0.0467727163962399,-0.0211081124164993,0,0,0,0.0415629287582698,0,0,0,0,0,0
ZEC,-0.0716159763915616,-0.288377026563299,-0.0862789025839115,-0.308772720524814,0,0.568266298102295,0,-0.0979559288432041,0.236273352556516,-0.102382367852944,0,0,0.260764277743322,-8.67361737988404e-19,0,0,0,0,0,0.0988144994997336
EOS,0,0,-0.0514959574827263,0,0,0,0,0,0,0,0,0.0065568864133636,0,0.0782597194191539,0,0,0,0,0,-0.0658197122433897
BAT,0,0,0,0,0,0,0,0,-0.122927075615812,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,-0.0143823843294163,0.244974266170601,-0.21511875651733,0,0.148009931980123,-0.138943613603541,0.259060057048185,-0.0726896036117733,0,0,0,0.0498792368787896,0,0,0,0,0,0
BV010082.Index,0,0,-0.00480111806320256,0,0,0.0108110573494373,0,0.00539183468985628,0,-0.0174408222040107,0,0.0331149383982579,0.0989003467433984,2.71050543121376e-20,0,0,-0.173158281835954,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0158024713476895,-0.00781389941367005,-0.00147392199264092,0,0,-0.00440645300064366,0,0,0,0.00291336950929694,0,0,0.0211812839365086,-0.00407689998933405,0,0,-0.0614546510591957,0,0,0.00672972860433281
SPX.Index,0,0,-0.00390955306708814,0,0,-0.00274162512301959,-0.0119077239373536,0,-0.00428377776565084,-0.00124119783676863,0,0,0.010302029451283,0.00348474343522569,0,0,0,0,0,-0.0386435585314074
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
