,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,XEM,XMR,NEO,ETC,ZEC,EOS,XLM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0241684501301263,0,0,0,0.400540379064996,0,0,0,0,-0.094408457863867,0,0,-0.0218455935862759,0,0,0,0,0.0520881587872939
ETH,0,0,0,0,0,0,0.14760536466908,0.122004230951942,0,-0.0366684207442049,0.170943221879913,0,0,0,0,0,0,0,0,0.0292636095311896
BCH,0,0,0,0,0,0,0,0,0,-0.191184295995716,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0206255016820601,0,-0.179785870317711,0.288247882229392,0,0,0.29189404335435,0,0,0,0,0.329815408602527,0.0465218858168373,0,0,0,0,0
DASH,0,-0.784176923290656,0.097916507554614,0,0,-0.285738519032194,0.142953528431237,0.0208698064687845,0.0475248978983302,0,0,0.94129955549656,0,0,-0.110085183951447,0,1.74354386928413,0,0,-0.121296544236814
LTC,0,0,0.0224829832052038,-0.0167803227007517,-0.103436826912378,0,-0.0249700465221612,0,0,0,0.759074529208483,0.104486763198619,0.175026081709974,0,0.0276312576774548,0,0,0,0,0.029184451734637
MIOTA,1.33593243056935,0.616111243136467,-0.0194623914771753,-0.299385452830195,0,-0.0757797504864001,0,6.93889390390723e-18,0,0,0,0.303239192085959,0,0,0.111517492708816,0,0,0,0,0
XEM,0,0,0.131374398447876,0,0,0,0.327215469465444,0,-0.0631386788502022,0.239241814289209,0,0,0,0.174141926026079,-0.187658714910787,0,0,0,0,0.155240116345869
XMR,0,0,0,0.65045037252942,0,0,0.140157100702966,0,0,0,0,0,0,0,-0.0923488265624317,0,0,0,0,0.00172156021423591
NEO,0,0,-0.0900347007679486,0,0,0,0,0.0476539634670931,0,0,0,0,0,-0.9356967711142,0.0922961062842471,0,0,0,0,-0.220410644165944
ETC,0,0.192331373336673,-0.0163397957481877,0,0,0.214057235326332,0,0,0,0,0,0,0.0641249018489934,0.098420074246562,0,0,0,0,0,0
ZEC,-0.369555788773438,0,0,-0.260698970389188,0.365083330120909,0.227129997830705,0.228028728868984,0.0147791720302771,0.179099308149592,-0.0337168435184216,0,0,0,0,-0.0840968928021586,0,0,0,0,0.0215013897898801
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.439821956075166,-0.0545346614774006,0.413617436508492,0,-0.160543689801377,-0.237005901839766,0.276166657470123,0,-0.135872660470437,0,0.20611179315455,0,0,0.0154197093713053,0,0,0,0,-0.0414057843992654
BNB,0,0,0.0793965892931215,0,-0.703054932122654,0,0,0,-0.199171959361904,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0129037310390728,-0.0172694653372815,0,0,0.012228495158938,0,0,0,0,0.0028635338893524,0.0407099849072505,0,-0.0120511253717541,0,0,0,0,-0.0074833521177034
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.0057691651848679,0,0,0,-0.000998132845370136,0.000106762993479248,0,0,0.00326696969896719,0,0,0,0,0,0,-0.0394226549555221
VIX.Index,0,0,0,0,-0.21611796338285,0,0,0.182002049865703,0,0,0,0,0,0,0.0575068216586893,0,0,0,0,0
