,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0434928074930688,0.34826635788628,0,0,0.0843338226136766,0,0,0,0.0387914392000733,0.0686149364500088,0,0,0,0,0
ETH,0,0,0,0,0,0,0.202122319288537,0,0,0.246996479573147,0.0144703917767468,0.112786719238753,-4.33680868994202e-19,0.0158597100423641,0.154021903029316,0,0,0,0,0
BCH,0,0,0,0,0,0.446946356898001,0.256038959371913,0,0,0,0.13921473971884,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0328716603024777,0,0.0213627563397485,0.054436104582113,0.0675476970758273,0.0306707161991284,0.270104192461562,0,0,0.0669391945348191,0,0.0553118777595625,0.0275142325758036,0,0,0,0,0.0794898744304735
DASH,0,0,0,0,0,0,0,0,0,0,0,0.404288478404787,0,0.320274545179828,0,0,0,0,0,0
LTC,0,0,0.109183170690113,0,0,0,0,0.0326212499914695,0,0.677997754501206,0.0517404310322182,0,0,0.0743503226355755,0,0,0,0,0,0
XEM,0,0.208277058910957,0.0875484395215409,0,0,0,0,0.0857920514685195,0.0554869485564031,0,0,0,0,0.00207212362570617,0.202076993732498,0,0,0,0,0
MIOTA,0,0,0.236596606011782,0,0,0,0,0,0,0.106738559133498,-0.520217902665851,0,0.432757604586422,0.137093513742715,0.673939582523622,0,0,0,0,0
XMR,0,0,-2.16840434497101e-19,0,0,0,0.549687260410118,0,0,0.0896311429441664,0.0418434219736735,0.179411898697125,0.0416037689210791,0,0,0,0,0,0,0
ETC,0,0,0,0,0,1.07005827662919,0,0.0335092759695652,0,0,-0.0934306098148143,0,0,0,0,0,0,0,0,0
NEO,0,0,0.646289276666259,0,0,0,-0.319260144246249,-1.16002632925865,-0.335051975953353,0,0,0,0.947601857944715,0.499778849159106,0.896739729994152,0,0,0,0,-0.475293509590985
ZEC,0,0,0.0881561245564798,0,0.22469126236539,0,0.171917670171267,0.0303553997857197,0,0.0336062551379549,0,0,0.136465603633939,0,0.0927003173423906,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.355757392678348,0,0,0.367046820209179,0,0,0,0,0,0,0,0,0
BAT,0,0,-0.308541450348853,0,0.601676937556218,0,0,0.291976968867898,0,0,0.444439957337606,0,0,0,0,0,0,0,0,0.139035953462158
XLM,0,0,0,0,0,0.600699934263871,0,0.151924532340363,0.0120203801173706,0,0,0.151472295056206,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0.00427685623229319,0,0,0,-0.0124768216470122,0,0,0,0,-0.125101804940353
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.0120385566497421,-0.0106890465123016,0,0,0,0,0,0,0.00837287807048645,-0.00347866535849925,0,0,0,0,0,-0.00900567865375276
SPX.Index,0,0,0,0,0,0,-2.71050543121376e-20,0,-0.00194056136213513,0,0.00275233184986956,-0.00221727599550773,0,0,0,0,0,0,0,-0.0264897773270969
VIX.Index,0,0,0,0,0,0,0,0.0311366824750872,0,0,-0.111274471672601,0.0803725358987392,0,0.0310464334012266,0,0,0,0,0,0
