,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,TRX,XMR,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.205414389599288,0,0.0284806389202446,0,0,0,0,0,0,0.0661957413417562,0.0737889666971308,0,0,0,0,0,0
ETH,0.109539693216795,0,-0.0980896060113433,0,0,0,0.131533041541589,0,-0.0383404007780455,0,0,0.572510288652476,0.0612806969070363,0,0,0,0,0,0,-0.0569385612006651
XRP,0,0,0,-0.220304463705073,0.0973252050964038,0.28448855962274,0,0.223325927928105,0,0,0,-0.471214860842664,0.0821259512207857,0.315784698793643,0,0,0,0,0,0
BCH,0.426764624998118,0.45192703068545,0.0737096911541397,0,1.0842021724855e-19,0,0.440207848229619,0,0.0414946799063694,0,0,0,-0.0273228347690798,0,0,0,0,0,0,0.190898415450017
ADA,0,0,0.17715939730025,0,0,0,0,0.502506971265932,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.185312444053439,0.49152394547156,0,0,0,0,0.0483776412703996,0,0,0,0,0,0,0
LTC,0.260478948861195,0,-0.0717472442866908,0.319721504194694,0,0,0,0,0,0.187865966291916,0,0,0,0,0.0363868073267127,0,0,0,0,0
XLM,0,0,0.213340028705851,0,0.394163013516002,0.649062843452029,0,0,0,0,0,0,-0.135683947469794,0,0,0,0,0,0,0
MIOTA,0,0,0,0.181057581858876,0,0,0,0.0769697475842806,0,0,0.0284241954899488,0,0.0224650530187942,0,0,0,0,0,0,0
DASH,0,0.111999477252947,0.118513889406647,0,-0.161141698282668,0,0.641700663953438,-0.032827218637993,0.0319673048707816,0,0,0.17537780657546,0.0902367710345005,0,0,0,0,0,0,0
EOS,0,0,-2.16840434497101e-19,0,0,0.0399548452138418,0,0,0,0,0,0,0,0.719210599568947,0,0,0,0,0,0
NEO,0,0.779251729647193,0,0,0.101089313690145,0.0628331665611246,0,0.0817766926257679,0,0,0,0,-0.0824988334556604,0,0,0,0,0,0,0
TRX,1.97773428269249,1.42077269695369,0,-0.191044031120417,0.890073220206796,0,-3.14527037845437,0.203410708414123,0,2.88943901275439,-0.107553466774578,-2.39187060323757,0,-0.250015251851457,0,0,-4.31229245217485,0,0,0
XMR,0,0.0888278396414445,0,0,0,0.111034814642824,0.152114035286433,0,0.0853966079262248,0,0.180629010217791,0.170813639109478,-0.0206989763349263,0,0.485927522408454,0,0,0,0,0
BTG,0,0,0.0162723779119889,0.123208393170389,-0.0378187711870012,0,0.0567387963857693,0,0,0,0,0,0.0556774432107496,0.514183124272628,0,0,0,0,0,0
BV010082.Index,0.00353076567295878,-0.0231769649622241,-0.0204272194473798,0.0274941693323652,0.000632302713970986,0.0243847337131164,0,0.0126548362716096,-0.0669602663840768,-0.0536170289670132,0.00798168253780336,0,0.0125397948770944,0.0413360797803368,0.0130699098060707,0,0,0,0,-0.0296350007026109
CVIX.Index,0,0,0.0477688960393363,0,0.00187910916838527,0,0,0.0350822988561802,0,0,0,0,-0.0180364893655667,0,-0.0751934496468536,0,0,0,0,0
DXY.Curncy,0,0,-0.00403301852964145,0,-0.0140764911416576,0.000127014251871962,0,0,0,0.00581481325913101,0.00158993840709432,0.0115458936479146,0.00029672502213259,0.00123373940939106,0.00395572295205044,0,0,0,0,0
SPX.Index,0,0,-0.00205383566232229,0,0,0,0,-0.00199776734067538,0,0,0.00843840277208516,0.0125774179767421,-0.00132536667712606,0,0,0,0,0,0,-0.0550507630232544
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
