,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.125374065388322,0.0805374694387606,0,0.0536470377925768,0,0.179767731836482,0,0.108264573281987,0.105654216721575,0,0,-3.46944695195361e-18,0,0,0,0,0
ETH,0,0,0,0,0.121579290118943,0,0,0,0,0,0.121902560759793,0,0,0,0.476492900600321,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0237192888329534,0,0,1.38777878078145e-17,0.0696595759505242,0,0.246096974784582,0.412126508287353,0,0,0,0,0.00475919731915383
BCH,0,0,0,0,0,0.096616812304114,0,0,0,0.124580746139552,0.0136917476045153,0.596280498602044,0,0,0.206442157802872,0,0,0,0,-0.0741309936995172
ADA,0,0,-1.73472347597681e-18,0,0,0.315882745236547,0.0834163962447894,0.305141140661689,0.151828368890906,0,0.0592758766765189,0,0,0,0,0,0,0,0,0.00731960183107534
LTC,0,0,0,0.292350132175354,0.224246345433674,0,0,0,0.0450303036506119,0,0.122812658886298,0,0,0,0,0,0,0,0,0.0550131795754058
NEO,0,0,0,0,0.38793033357872,0,0,0,0,0,0.0601291355546236,0,0.165002960578594,0,0.232107073716851,0,0,0,0,0
XLM,0,0,0,-0.0400286007803294,0.762399214818192,-0.257744833154698,0,0,0.0680962742323543,-0.186256460103589,0,0,0,0.460472017932735,0,0,0,0,0,-0.0439804247542262
EOS,0,0,0,0,0,0,0,0.428769612626328,0,0,0.0570480841640973,0,0.205031297624742,0,0.330172757966058,0,0,0,0,0.0323779667218159
MIOTA,0,0,0,0,0,0.282983481325562,0,0,0,0,0.134709847769078,0.539447437641052,0,2.16840434497101e-19,0,0,0,0,0,-0.0590145059774938
XEM,0,0,0,0,0.154628412085912,0,0,0,0.304015351031088,0.14489593887271,0,0,0.181348706250338,0,0,0,0,0,0,0.194126939194305
DASH,0,0,0.0618793411521625,0.297808470926218,0.0641904660595515,0.0113000852618629,0,0.105412302459708,0.0396566919009379,0.238601197236655,0,0,0.125627918006212,0,-6.93889390390723e-18,0,0,0,0,0.0660263113614031
XMR,0,0,0,0.120331189622791,0,0,0.0706914305827646,0,0,0,0.0265060306571935,0.655154746919278,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.224973182930319,0.157967314435347,0,0.289663308251589,0.181592978272765,0,0,0,0.139259089114742,0,0,0,0,0.0513301868580249
ETC,0,0.158543243634419,0.152212885655226,0.231134775604253,0,0,0.0695395479668962,0,0.0424917868855115,0,0,0,0.285898653367923,0.179668744338688,0,0,0,0,0,-0.0123179184411768
BV010082.Index,0,0,-0.0234498889956222,0.110009243483178,-0.0496367206694993,0,-0.0444747089642128,-0.00452748016121575,-0.0116891721694689,0,0,0,0,0,0,0,0,0,0,-0.0325175512295121
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0.0114505910697591,0,0,0,0,0,0,0,0,0.0309861876254625
DXY.Curncy,0,0,0,0,0,0.0172775312737799,-0.012540774832698,-0.00588953871714962,0,0.0130450221720919,-0.0191865004897465,0,0,0.0122669101589265,0,0,0,0,0,0.00876323455364911
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651709495814
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
