,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.139413726103536,0,0,0.132093282015479,0.0890941591703933,0.175438196480711,0.00081638036536629,0,0,0,0,0,0.0401013778154934
ETH,0,0,0,0.39544259890314,0.0921173442304084,0,0.210667542682866,0,0.143651919673749,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.334793776695006,0,0.0931582189707863,0.128024678222564,0.0864740260317116,0.133277472789374,0.120048035004783,0.0570283146028851,0,0,-0.0298635336470459,0,0,0,0,0,-0.0599840999488601
BCH,0,0,0.323571053697783,0,0,0,0,0,0.0420831580802915,0,0.0702042643510733,0,0.26930513114027,0.0216508852329797,0,0,0,0,0,0
LTC,0,0.609402154402939,0,0,0,0.0683352163068092,0,0.0359481667296637,0,0.00076374636140901,0.0881202739905065,0,-6.93889390390723e-18,0.0479326047814993,0,0,0,0,0,0.0938017354660713
EOS,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.356338984538172,0,0,0,0,0,0
ADA,0,0.0965123911023162,0,0,0,-0.0234738687796379,0,0.206694219495935,0.231509094736354,0,0,0.171296473555188,0,-0.153284215557695,0.421746963341675,0,0,0,0,0.0685221401780801
XLM,0.307710120343081,0,0.3126632775922,0,0,0,-3.46944695195361e-18,0,0,0,0.383698971639085,0,-2.77555756156289e-17,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,-0.0366456712159155,0.661035319535095,0,0,0,0.210068592543653,0,0.236616465914228,0.0533624488382714,0,0,0,0,0,-0.185519829326204
NEO,0,0,0,0,0,0.172150940556356,0.188519479143456,0.0246066472731712,0.234393365589443,0,0.29570533041073,0,0,0,0,0,0,0,0,0.0983288116749208
XEM,0,0,0,0.198297638334895,0,0,0,0.344187210462001,0.481640457920508,0.103796739374274,0,0,0,0.0262435277543791,0,0,0,0,0,0
XMR,0.363995660637207,0,0,0,0,0,0.275462602759614,0.0235623166262931,-1.38777878078145e-17,0,1.73472347597681e-18,0,0,0.122737696047651,0,0,0,0,0,0.0237514134732243
DASH,0.496392335265132,0,0.239905754562771,0,0.0112972154336951,0.0176763294899644,0,0,0.103394789394295,0,0.0974624622348927,0,0,0.0812356684906016,0,0,0,0,0,0.113767169539348
TRX,0,0,0,0,0,0,0,0,0.423969736794372,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.130463839293512,0.230245943862073,0,0,0,0.299572353536312,0.0502033732228966,0.11204365866182,0.00451936815339739,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.0297847931624298,0,0,0.0293623946308905,0,0,-0.0362378594016299,0,-0.0315880057613523,0,0,0,0,0,-0.0590541433051402
CVIX.Index,0,-0.0177958336867719,0,-0.0446645952037407,-0.06747335791001,-0.0193708666238873,0,0,0,0,0,0,0.184870133732355,-0.0288436790946808,-0.026107245603214,0,0,0,0,0.0127121888144038
DXY.Curncy,0,0,0.0287190610553697,-0.0648125601253185,0,-0.0081547119519379,0.014306221683671,-0.025517460850668,0,-0.00987888515471694,0.0292121959686633,-0.00990605211112022,0.00962023230918555,0.0038911160140329,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.0300475837621359,0,0,-0.0247956344104567,0,0,0,0,0,0,0,0,0,0,-0.128687213970007
VIX.Index,0,-0.221822559342922,0,0,0,0.0314469043958774,0,0.00266448438349755,-0.603511830075297,0.255641831454204,0,0.00290602984536585,0.752288377639574,0,0,0,0,0,-4.59326261449842,0
