,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0761800366272806,0,0,0.278289608036295,-1.0842021724855e-19,0.0389927367341046,0,0,0,0,0,0,0.0170999400370975,0,0,0,0,0
ETH,0,0,0.0724938754973293,0,0.0166642885418922,0,0,-0.054466378207159,-0.216899877384121,0,0.795507657932713,0,-0.114080560595326,-0.032846889163071,-0.0964693881407849,0,0,0,0,0.285813342234589
BCH,0,0,0,0,0,0,0.20098474384526,0,0,0,0,0,0.544170353291118,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.00247503074296549,0,0.186901549473005,0,0,0,0.019823945907855,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.151238811008717,0.346414687294819,-0.150712399060473,0.360356022867605,0.0646019015805057,0,-0.0151319393966801,0,-0.0526466409108976,0,0,0.297791323407538,0,0,0.0079871059955659,0,0,0,0,0
BTG,0,0,0.424178228784478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.383265557194871,0,0,0,0,0,0.13869264242274,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.159142571516383,0,0,0.28267447789096,0,0,0,0.738385216207695,0,0,0,0,0
XMR,0,0,0,0.524566063230158,0.184857530662606,0,0.0332067132619226,-0.0348082113349664,0,0,0,0.0459008394950918,0.1057838694418,-0.0957512060197375,0.303119982398658,0,0,0,0,-0.274882944059218
ETC,0,0.568385674309761,0,0,-0.0779091739765119,0,0.0450099008881518,-1.0842021724855e-19,0.298043625360221,0,0,0,0.174923531963291,0,0.185056297186583,0,0,0,0,0
XEM,0,0,0,0,0,0.2983526567708,0.0210165261972404,0.154681418810414,0,0,0.102276069938992,0,0,0,0,0,0,0,0,0
NEO,0.417581589928574,0,0.280633978631879,0,0,0.497912589112136,-0.133493021269442,0,0,0,0.172640163150802,0,0,0,0,0,0,0,0,-0.0530382601137864
EOS,0,0,-0.0856827754490134,0,0.249093380233252,-0.163510152929141,0,-0.129970860463218,-0.219193905668237,-1.3807077601698,0.150612543281909,0,0.4539618641871,0,1.28893440410068,0,0,0,0,-0.10314501497761
XLM,0.219464596151434,0,0,0,-0.0362385629846499,0.0428015191492489,-0.0171384751874504,0,0.23841160971006,0.409176837645097,0.206334777518681,0,0,0.432353542387297,0,0,0,0,0,0
BV010082.Index,0,0,-0.0182517941734959,0,0.0291031273320696,0,0,0,-0.0047493800680109,0,0,0,0.0574244086739607,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.00217538833684884,0,0.00763701289488816,0.0164351285671896,-0.00987914104620034,0.0273018672387145,-0.040527964128945,0,0,0,-0.0203078665706762,0.0143798215307375,0.0566967027454252,0,0,0,0,0.133793230709707
DXY.Curncy,0,0,-0.0103778117693683,0,-0.000653436003949336,-0.0335239530410351,0.00029100446237648,0,0,0,0.0063116409455219,0,0,-0.000718813706375612,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
