,BTC,ETH,BCH,MIOTA,XRP,LTC,DASH,BTG,XMR,XEM,ADA,ETC,NEO,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.170055018121281,-0.0127865913352308,0,0,0.147306611254871,0.00633513287299683,0,-0.0376849309558718,-0.168719233365155,0.57385255045283,0.0696492247045646,-0.0713446364904358,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.141117289659727,0,0.100663531047336,0,0,0.137761348519973,0,0,0,0,0,0,0
MIOTA,0,0,-0.304013821519151,0,0,0,0,0,0,0.200151942643027,0.231805862169477,0,0,0.482295216716826,0,0,0,0,0,0
XRP,0,0,0.118548489456062,0,0,0.0665750989095248,0,0.0137649297009563,0.116859502787356,0.0903164649609302,0.203405758324089,4.33680868994202e-19,0.00838350981604799,-0.0836553602639516,0,0,0,0,0,0
LTC,0,0.121824139368709,0,-0.0294725010856213,0,0,0,0,0,0.20774880938441,0,0.136916430396567,0.153637608811818,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.772161847970944,0,0,0,0,0,0,0,0,0,0,-0.0562703561005871,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0.10524709206612,0,0,0.198053187760636,0,0,0,0,0,0
XEM,0,0,0,0.180318854679374,0,0,0,0.058145456691229,0,0,0,0.150840674833945,0,0,0,0,0,0,0,0
ADA,-0.277977389768445,-0.731491173744253,0,0.181749709246196,0,0,0.387677922207555,-0.109188691349909,-0.326668075385413,-0.180156471350763,0,1.82916965863673,-0.278389725502284,0,0.143446617669405,0,0,0,0,0
ETC,0,0.374127138237408,0,0,0,0,0,0.00500954558230879,0.149718617627267,0.0874440137641613,0.312584594930871,0,0,0,0,0,0,0,0,0
NEO,0.0856312166540106,0.0346340446979374,0.101862650865889,0,0,0.0827587502677108,0,-0.187860917270856,0,0,0,0.40400132501985,0,0,0,0,0,0,0,0
XLM,0,0,0.0605424928023301,0.0470488649210991,0,0.144178714832202,-0.125203877893821,-0.0719008451564377,0.797372266488414,-0.0504903591323207,0.20488816304407,0,-0.0887345357655097,0,0.539834172994965,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0928607752537359,-0.243286398230495,0.0662111659447995,0,0,0,0.5122131607597,0,0,0,0,0,0.103511922435378
BV010082.Index,-0.0599387280985892,0,-0.00313303273535987,-0.0048827195523267,0,0,0,-0.00767078755255309,0.0231102769253743,0.00491904466197309,-0.039246275674988,0,0,0.0696118440250993,-0.020351836286885,0,0,0,0,0.0858139382842332
CVIX.Index,0.047979401277643,0,-4.33680868994202e-19,-0.00604913338971134,0,0,0,-0.00255285301898212,0.0221508394024728,0.0129375490541204,-0.00921436096625337,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.017997620886527,0.00320906148719993,0,0,0,-0.000240740195806884,0,0.003548813070695,-0.000672721108265696,-0.00407392260143838,-0.00640377232831832,0,-0.00424725049151149,0,0,0,0,-0.00511812167303455
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,-0.128233007312969,0,0,0.0186659390343861,0,-0.307295246482262,0,0,0,0,0,0.105483604525743,0,0,0.024542786345857,0,0,0,0,0
