,BTC,ETH,XRP,XMR,LTC,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0270907540615068,0,0,0.242214333961905,0.14579505302333,0,0,-0.0460265716637827,-0.0776465603573477,0.152765619872918,-0.0103236372068917,0.071328182341901,0,0,0
ETH,0.225423998732005,0,0,0,0,0,0.126141446564848,0.0235437206607587,0,0.0640907958437858,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.268804846030319,0.28974772700962,-0.117581441034767,0,0,0,0,0.196486909194069,0,0,0,0,0.180400643721407
LTC,0,0,0,0.0601896028596815,0,0.104477639004529,0.0674530833979511,0,0,0,0.101766478385306,0.0719078197562257,0.0533920630045734,0,0.0161824224460449,0,0,0.0398177244158548
DASH,0,0.144193845354232,0,0.246769142438953,0,0,0,0.256181055068372,0,0.284129437219656,0.356278109790794,-0.333376164589831,-0.107637537883185,0,0.262831606073867,0,0,-0.127479016900992
ETC,0,0.255724571316886,0,0.0983119377797975,0.761778714334747,0,0,-0.00389883386564808,0,0,0,0.0598945853645959,0,0,-0.050320423041734,0,0,-0.0206680512176328
XEM,1.00369333838481,-0.186556331995811,1.01271407922903,-0.473952718086025,0,1.52952337807532,-0.328192870152836,0,0,-0.401492859859256,-0.235976205670458,0.456526192442355,0,0,-0.675642508342008,0,0,0
DOGE,0,0,0.558445834113879,0,0,0,0.0829502928547099,0,0,-0.0806115946091049,0.21748523292962,-0.0673976691706083,0.190585249563898,0.491088792753283,0.135075366502588,0,0,-0.062191664424166
ZEC,0,0.321837709829578,0,0.304326689664723,0,0.207630018050737,-0.0987464654338426,0,0,0,0.423303937434314,0.0224297623739877,0,0,0,0,0,0
XLM,0,-0.21580757017785,0,0,0.0824035444194099,0.607405832542019,0,-0.156678957972957,0,0.167550401094243,0,0.28269946045359,0,0,-0.341096925876903,0,0,-0.0423924496790132
NEO,0,0,0,0,0,0,0,0.144057013283137,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0461531590951034,0,0.0789360648534219,0,0,0,0,0,0,-0.0286856901335542,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,-0.0406076815724307,0,0,0,0,0,0,0,0,0,0.222033550422841
DXY.Curncy,0,0,-0.0459590158448471,0,0,0.0181529176634796,-0.00310507842865572,0.000333557522915766,0,0,0,0,0,0,0,0,0,-0.0070646602654833
SPX.Index,0,0.0397422496498172,0,0,0,0,-0.00345084652154054,0,0,0,0,0,-0.0179085314217401,0.0274216722010468,-0.00600000705887615,0,0,-0.0616128041892609
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
