,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-1.73472347597681e-18,0.023993610581046,0,0,0,0.203829143507676,0,0,0.152687825842155,0,0,0,0,0,0,0,0.133783810960268
ETH,0,0,0.252729285734355,0,0,0,0,0,0.264940011687704,0.0457194754036481,0,0,0.0525956309874718,0,0,0,0,0,0,0.119280948222986
XRP,0,0.465028469678596,0,0.152093586936589,0.131872209705677,0.172065135158028,0.0416754874065359,0.0241592761411635,0.227977515085441,0,0,0,-0.0900808957135714,0,0,0,0,0,0,0
BCH,0,0,0.0939148716670553,0,0,0,0,0.0823805263029829,0,0,0.45470986846066,0.125452109085318,0,0,0,0,0,0,0,0.0890941912371468
EOS,0,0,0.283141184974583,0,0,0,0,0,0,0,0,0,0.272525394329296,0,0,0,0,0,0,0
LTC,0,0,0.287321420706138,0,0,0,0.0357538599838607,0.067127499431572,0,0.0805074570128042,0,0,0.0995722197618029,0,0.182605213562082,0,0,0,0,0.139186304160231
ADA,0,0,0.315210731130593,0,0,0,0,0,0.439593131174324,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.319265695406237,0.0690551941392396,0,-0.293333628124304,0,0,0.922881152324919,-0.119586069413657,0.205415891826209,0,0,0,0,0,-0.0754764930304486
MIOTA,0.555679688168027,0.240828912505606,0,0.102502254042441,0.0312707331203464,0,0.158492692152321,0,0,0.107903090116245,0.085498634641009,0,0,0.0518068136443631,0,0,0,0,0,-0.059839307078688
NEO,0,0,0,0,0.0335051594373659,0,0,0.0800942135776917,0.251848445204584,0,0,0.404712242658933,0,0.144316970290987,0,0,0,0,0,0
XMR,0,0,0,0.375926260036257,0.00461090812029983,0.0947815523130759,0.0373854202897387,8.67361737988404e-19,8.67361737988404e-19,0,0,0.374655855822077,0.0904517503451844,0,0,0,0,0,0,0
DASH,0,0,0,0.226589423857155,0,0,0,0.0927105448423611,0,0,0.399410444897727,0,0.0239630063757306,0.254455190099834,0.0703639953688729,0,0,0,0,0
TRX,0,0,0,0.461897236887453,0,0,0,0.394969468328812,0.0411591696556978,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,-0.0488226477588266,0,-0.022196057897579,0.483229147853064,0.58194450506319,0.142381369300588,-0.272148477979073,0,0.0843342230655073,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0983294180543019,0.0590415196654719,0.0208553697694906,0,0.0691703822181221,0.112972309515745,0.016978466286872,0.403216787006154,0,0.0768562599693961,0,0,0,0,0,0
BV010082.Index,0,0.0673112974512327,0,0.105599630931772,0.0145105532677983,0.120247734448722,-0.0194197951924777,0,0,-0.0543059745252098,-0.111340857583244,0,-0.0458770050720965,0,0,0,0,0,0,-0.129357462994184
CVIX.Index,0,0,0,0,-0.0240963903198144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.0167723007915694,-0.00762686845985978,0,-0.00224326939425971,-0.00397281866554097,0,-0.00744015767490356,0,0,-0.0019516849913584,0,0,0,0,0,0,0
SPX.Index,-0.0375847612042034,0,0,0,0.028291069926443,0,0,0,-0.00491986171955071,0,0,0,0.00881720044332864,0,0,0,0,0,0,-0.122683100541633
VIX.Index,0,0.600414046669574,-0.330235647458799,0.345783908649409,0.110318108265479,0.744142540209202,0.129520489680606,-0.0458606920083066,-0.558820675944873,0,-0.495611624043314,0,0,0,0,0,0,0,-4.91442930076455,0
