,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0772102761582832,0.294479143277656,0,0.0765435006177177,0.505232835997799,0,0,0,-0.136159718795587,0,0.116923851862481,-0.210930342891096,0,0,0
XRP,0,0,0,0,0.236816473008628,0,0,0,0,0,0,0,0,0,-0.0962078700252488,0,0,-0.15398818832226
LTC,0,0,0.192541782692936,0,0.491365955858478,-0.215976574158291,0,0,0,0.502008796183642,0.476118698893618,0.0386609008399782,-0.0616293795350458,0,0,0,0,0
DASH,0,0.371892652349062,0.14931532636792,0.0991750155527563,0,0.00673156705993151,0,0,0,-0.0935598601242544,0.279439153622866,0,0,0,0.082357546920575,0,0,0
XEM,0,-0.483944673906549,-0.689075899091076,0,0.976799881942916,0,0,0.685148266075423,0.195953377510258,-0.137856995767101,0,-0.0941718636860938,0.098762267924076,0,-1.26127748472157,0,0,-0.582501257640168
ETC,0,0.132432564402329,0,0.156550901174905,0,0,0,0,0.089112517332238,0,0,-0.263738991054616,-0.00296608231636038,0,-0.598007727050258,0,0,-0.112466524760069
XMR,0,0,0.0555882084571478,0,0,0,0,0,0,0,0,0,0.0432683140406669,0,0,0,0,-0.0310201385660557
ZEC,0,0.0542713014441398,0.0273255011656724,0,0,0.169614005596852,0,0.254783166947728,0,0,0.204478320904948,0.239290842675006,3.46944695195361e-18,0,0,0,0,-8.67361737988404e-19
DOGE,0,0,0,0.0978846113076081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0428369788696908,0,0.310147793250077,0.229334895345068,0.0192348494725874,0,0,0.240142627464521,0,0,0,0.0424685380869168,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,-0.207928431189929,0,0,0,1.04803347127191,0,0,0.523153248110319,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0.00394933183764753,0,0,0,0,-0.0905434109694704
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00421162017247147,0,0,0.00175422464591785,0,0,0,0,0,0,0,0,0,0,0,-0.034749709442674
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
