,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0414334374413327,0.0789868754245294,0,0.0661156432718468,0,0,0.0132918034182585,0.0526765597491974,3.46944695195361e-18,0,0.102754662015967,0.345505866485695,0,0.015222188631316,0,0,0,0,-0.0157786741901644
ETH,0,0,0,0,0.0939600002507503,0,0,0,0,0,0,0.12821923207931,0.212803973211805,0.13970411101408,0.0881503863095083,0,0,0,0,0.0140514209002046
XRP,0,0.0232124156728143,0,0.0677663743072876,0.0926295089793456,0.406475106611208,0.171119418110326,0,-1.38777878078145e-17,0,0,0,0,0.158517235142661,0.0309564632752111,0,0,0,0,-0.00898591094807025
BCH,0,0,0,0,0.281695322219478,0,0,0.0276682362336852,0,0,0,0.0852610660053356,0.121398793599565,0.129019129713384,0,0,0,0,0,0
LTC,0.390147816085212,0,0,0.0403596760665578,0,0.447339839064607,0,0,0,0,0,0.0044263616763415,0,0.023244931516844,0.0221329405249347,0,0,0,0,0.00761204983203762
ADA,0,0,0.455435320139825,0,0.0128727553660404,0,0.249118652042402,0,0,0,0,0.0736586977412612,0,0,0.0144176080245702,0,0,0,0,0
XLM,0,0,-1.38777878078145e-17,0,0,0.426548439047994,0,0,0,0,0,0,0,0.180044981039836,0.172368910834674,0,0,0,0,0
NEO,0,0,0,0.11534684428359,0,0,0,0,0,0,0,0.0961024710056407,0.489068440845623,0.234776130005252,0,0,0,0,0,0.0450059790401708
EOS,0,0,0.134341554437128,0,0,0,0.242325902041375,0,0,0,0,0.0586499634149679,0.261720498387322,0.281301110614083,0,0,0,0,0,0.0428152304688636
MIOTA,0,0,0,0,0.155828869426339,0,0,4.33680868994202e-19,0,0,0,0.130680668547585,0.337645153364041,0.158655987585284,0.0747096232887845,0,0,0,0,0
DASH,0,0.138666329149521,0.014956218537003,0.0957180239879052,0.00157891068623593,0,0.107211204367933,0,0,0,0,0,0.61607745479966,0,-0.0312307827729613,0,0,0,0,0.0281835757271027
XEM,0,0,0,0,0.203227225008264,0,0.193879077948774,0,0,0,0,0,0,0,0.319831596301611,0,0,0,0,0
XMR,0.28628658500754,0,0,0,0.0393080188453716,0,0,0.0824937500533551,0.0179449257038502,0,0.611510093978985,0,0,0,0,0,0,0,0,0
ETC,0,0.443844252999902,0,0.155015726737652,0,0,0,0,0.532795823456857,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
TRX,0,0,0.378594296741842,0.0859925124837965,0,0.197406629312361,0.0048684442959993,0.161768533621323,0,0.274102136873462,0,0.086752240336134,0,0,0,0,0,0,0,0.0301946274672049
BV010082.Index,0,0,-0.0694124879051139,0.0150138005138932,0,0,0,0,0,0,0,0.0139956411412985,0.0524253389391259,0,0.0134568398045496,0,0,0,0,-0.0662627245594983
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.0327861903831502,0,-0.0136261450604985,0,0,0,0,0,0.025485815569117
DXY.Curncy,0,-0.00899001065174196,0.0164112595933409,0.0106978583602943,-0.01856045768449,0.0109757396667654,0.00442777420442649,-0.0130802603767453,-0.0912829719747278,0.0168377528825909,0.037197331535557,-0.00561822748940773,0,0.0307933462606568,-1.0842021724855e-19,0,0,0,0,0.0156058180535492
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544644464139882
VIX.Index,0,0,0,0,0,0.0533410725414064,0,0,0,0,0,0.162120271577822,-0.0368245110763128,-0.107031493362846,0.0316426571535766,-2.24276293056511,0,0,-4.01629369797308,0
