,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.009990703475983,0,0,0,0.0979741711274132,0,0.439781218934156,-0.00784245789904604,0,-0.0503547297870526,0,-0.108214643166979,0.202642644257111,0,0,0,0,0.0534721757765276
ETH,0,0,0,0,0,-0.217464941024536,0.233024672474063,0.15605819939537,0,0.0149170081525184,0.0214557792035889,0.136985098034215,0.0637245891354828,0.231531562241866,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.208290916607904,0.216564021127512,0,0,0,0.349176547873988,0,0,0,0,0,-0.0747493712276157
BCH,0,0,0.100937539708721,0,0,0.0509274106199031,0.215019308731253,0.132189732463657,0.067329370916219,0,0.146310489063327,0,0,0.0452987674246551,0.111497359086186,0,0,0,0,0
EOS,0,0,0.360772047873174,0,0,0,0.138306422137217,0,0,0,0.0718442533338748,0.0536907564251734,0,0.201133242080201,0.261132445183576,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.149747525150718,0.294791459468737,0.0650494024320955,0,0,0,0,0.400470174577169,0,0,0,0,0.0220602692734594
LTC,0.0511214682430803,0.276776894899188,0,0.374788026337065,0,0,0,0,0,0.12528476053865,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0678091439625164,0.0767790185553072,0,0,0,0,0.364682368082915,0,0,0.195116665541553,0,0,0,0,0,0
XMR,0.630056932135766,0,0,0,0,0,0,0.23827244909082,0,0,0,0,0.315170928028572,0,0,0,0,0,0,0.00548964974462348
MIOTA,0,0.238245745757973,0,0,0,0.222860078596103,0.211365750223769,0,0,0,0,0.424224524502686,0,0.433731801733254,0,0,-0.229152206464173,0,0,0
TRX,0,0,0,0,0.0363990848864223,0,0,0.0738330133894191,0,0,0,0,0.2838281029397,0.570977707136638,0,0,0,0,0,0
ETC,0,1.44290582219171,0,0,0,0,0,-0.0877892228496706,0,0,-0.119251914268463,0,0,-0.221553529031226,0,0,0,0,0,0
DASH,0,0.277341810600874,0,0,0,0,0,0,0.333115498340672,0.0445159547453723,0.190429987116856,0,0,0,0,0,0,0,0,-0.0836745284488966
NEO,0,0.508820595609852,0.372662454669042,0,0,0,0,0,0,0,0.535555341307075,-0.0748407155489212,0,0,0,0,0,0,0,-0.0018347228907454
XEM,0,0,0,0,0.209753931355397,0.259490023552775,0,0,0,0.0610704427522694,0.0759840263095453,0,0,0.146816994214767,0,0,0,0,0,0
BV010082.Index,0.0862653624691883,0,0.00249343828668634,-0.166465528763846,0,-0.0242883280619907,0,0,0,-0.0206896722111556,0,-0.0260321349338072,0,0.110565157835435,0.0612890669787896,0,-0.106500614696144,0,0,-0.0657987654619316
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00867037288970654,0,0.0197808632065153,0,0,-0.0300334272555007,0.0229530005093575,0.0045456549518259,0,0,0,0,-0.0163763754144217,0,0.0608667725115481,0,0,-0.0101877116428996
SPX.Index,0,0,0,0,0,0,0,0,0,-1.6940658945086e-21,0,0,0,0,-0.00698024536973663,0,0,0,0,-0.0594394554189145
VIX.Index,0,0,0,0,0,0.0537759772511828,0,0,0,0.106969827751581,0.0661585075819363,0,-0.49739846747502,0.0127393592454596,0,0,0.391353844964661,0,-9.59157066211245,0
