,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.224032165842037,0.0744934698235695,0,0,0.0413264821764748,0,0,0,0,0,0,0,0,0,0,0,-0.0335446681941812
ETH,0,0,0,0,0,0.286895703475731,0,0.00182512187762636,0.203861474523843,0,0,0,0,0,0,0,0,0
DASH,0,0.305601877545859,0,0,0,0.199834671974488,0.749624891867567,0,0,0,0,0.579256364691159,0,0,0,0,0,0.26759025329383
XRP,0,0,0,0,0,-0.00407017369302234,0,-0.013736511161575,-0.11002490941395,0.469551731184962,0.0694908214839815,-0.0894916873418327,0.295749166489294,1.01206590786136,0,0,0,-0.216961189017629
LTC,0.206112964925869,0,0.026394682686167,0,0,0,0,0,-0.0427413174158361,0,0,0,0,0,0,0,0,0
XMR,0,0.312550050843767,0.0490120513345807,0,0,0,0,0.126638312665664,0,0,0,0,-0.11787407446316,0,0,0,0,0
ETC,0,0.100355900760633,0.145852098941811,0,0,0,0,0,0,0,0,0.194138867973356,0.13483466241623,0,-0.306964499686677,0,0,-0.0693331224510218
XEM,0,0.515601305414002,0,0,0,0.13629176041094,0,0,0.0779989929110123,0,0.854698547050851,0,0,0,0,0,0,0
ZEC,0,0,0.208233488696148,0,0,-0.0737628225802458,0.523209955867007,0,0,0,0,0,0,0,-0.285764469826815,0,0,0
DOGE,0.218487392783742,0,0,0.268098080430281,0,0.0443573855103531,0,-0.150830924502933,0.127874329598365,0,0,0,0.0117110630149154,0,0,0,0,0
XLM,0,0,0,0.324069819473807,0,-0.111708337549631,0,0.10664884937219,-0.196430773855565,0,0,0,0.0938575130468106,0,0,0,0,0
NEO,0,0,0.184959768577633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0.0949672613857154,0.178412314105851,0.545903355416745,0,-0.160918016699427,0,0,0.172658343352499,0,0.41171732790522,-6.93889390390723e-18,0,-1.78710963475583,0,0,0,0.0454231271192533
BV010082.Index,0,0,0.0933799579420645,0.36511672111864,0,0,0,0.0145886733394629,-0.0535609567238562,0,0,0,-0.323641139722601,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0218965646586276,0,0,0.00648905226547939,0,0.0152429327949569,0,-0.0127722184835467,-0.00158724491092377,-0.0192555847816632,-0.00137680311447616,0,-0.00330810849299689,0.0525825798426808,0.0350382417814333,0,0,-0.0120380136695176
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0.0610606064354657,0,0,0,0,0,0,0,0,0.192721583931357,0,0,0,0,0,0
