,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.067225554316954,-0.0244010440978646,0,-0.0379458120254479,0,0,0,0.10031416643927,0,1.73472347597681e-18,0.133244850309844,0,0.0995162392694092,0,0.0161675264723974,0,0,0
ETH,0,0,0.102941416957146,0.0842225173754973,0.107871907391849,0,0,0.1997871525577,0,0,0.110933558209696,0,0,0,0,0,0,0,0,-0.00834236804439375
XRP,0,0,0,0,0,0,0,0,0,0.356593265414724,0,0.339458875264321,0,0,0,0,0,0,0,0.0316493241911068
BCH,0,0.0268155440771022,0,0,0,0,3.46944695195361e-18,1.22216118553168,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.244282455717003,0.00989376437339178,0,0,0.0803162571413393,0.10789997615264,0,0,0,0.186520310857494,0,0,0,0,0,0,0,-0.0254872766304342
XLM,0,0,0.329843342654941,0.223353051002097,0,0,0,0,0,0,0,0,0,0,0.259837833957044,0,0,0,0,-0.0115060929867283
LTC,0,0,0.0392115985870484,0.131790856293315,0,0,0,0.367617607156218,0,0,0,0.208466757785962,0,0,0,0,0,0,0,0
ADA,0,0,0,0.255355388709233,0,0.133039094051991,0.357393070658668,0,0,0,0,0,0,0,0.136647214337837,0,0,0,0,0
XMR,0,0,-0.151214654053281,0.175921591670194,0,0,0,0,0,0,0,0.448821754890136,0,0,0,0,-0.180901808156244,0,0,0.0711877785194898
TRX,0,0,0.213646564653314,0,0,0.105172900691959,0.215299166897422,0,0,0,0.182427049946641,0.0752520786640004,0,0,0,0,0,0,0,-0.0354238642063232
DASH,0,0,-1.73472347597681e-18,0.207235714140824,0,0.0889443996521873,0.148704975346643,0,0,0.215550270999735,0,0.246658698052458,0,0,-0.232924361443622,0,0,0,0,-0.0242633041088343
MIOTA,0.242021337158569,0,0.193549111163129,-8.67361737988404e-19,3.46944695195361e-18,0,0,0,0.273955980352419,0.199060658542618,0.180203467186704,0,0,0.330408638024848,0,0,0.0525499178263368,0,0,-0.0287022385670543
BNB,0.310493989975604,0.00978734783673372,0.0321400091747161,0,0,-0.00992485113616993,0,0,0.140404503787951,0.117649755758324,0,0,0,0,0.0731087763436509,0,0,0,0,0
NEO,0,0,-0.044998919364493,0.111928578934931,0,-1.73472347597681e-18,0,0,0,0,0,0.258480691623082,0.125338553574832,0,0.416604599692577,0,0.251620358724649,0,0,-0.0248282269678182
ETC,0,0,0.0417981080880406,0,0,0.00631368263066742,0,0.407817585180753,0,0.173620985523969,0,0,0,0,0,0,-0.0602889109957912,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712893437397928
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192439615131589
DXY.Curncy,-0.0907550794357772,0,0,-0.0384520749450056,0,-0.0481058326444692,0,0.0558835585291316,0.0428418012571499,0,0.000199201013472965,0.0527540771690081,0,-0.0188430312168482,0,0.137365162965652,-6.93889390390723e-18,0,0,0.0276639729403504
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10687557371152
VIX.Index,0,0,0.785249242624354,0.272889432247161,0.0758620858108237,-0.650720289266518,0,0,0,0,-0.708090567960877,0,0,0,-4.2351647362715e-22,0,0.664401053936211,0,-4.96434989554546,0
