,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0511815858812011,0,0,0,0,0.284821185073823,0,-0.0591636926313987,0,-0.0472751733864075,0,-0.207878318876284,0.0466440371066338,0,0,0,0,0.0732063713691874
ETH,0,0,-0.0467909559049632,-0.0404792266381162,0,0,0,0.0757788152267967,0,-0.0580076982822942,0.311884067583788,0,0,0,0.0672655425328507,0,0,0,0,0.0461862386551051
BCH,0,0,0,0,0,0,0,0,0,-0.18980546105057,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,-0.324027610345695,0,0,0.325117778607084,0.0235044543596409,0,0,0,0.470250767663825,0,0,0,0,0,0
LTC,0,0,0,-6.93889390390723e-18,0,-0.120887199926651,0,0,0,-0.0565133560596194,0.398901821765733,0.115362586743969,0.0430067903256873,0,0,0,0,0,0,0.00547025487612515
DASH,0.318970924790846,0,0.125186520648545,0,-0.377770207834269,0,0.651531817173263,0,0.234558900558287,0,0,0.835102718333257,-0.398695373606184,-0.359069990815354,0.0306950887803221,0,0.241374277438396,0,0,-0.16895991204526
XEM,0,0,-0.093686102537947,-0.1370788374013,0.134768401813605,0.580142304078624,0,-0.176951799294216,-0.277075178293026,0.0959894175668135,0,-0.368281844492879,0.379964844004613,0.807199774202226,0,0,0,0,0,0.206817489006449
MIOTA,1.68913646148036,0.51637659201944,0,-0.0500362241706929,-0.20711574296634,0,-0.115790491348655,0,-0.0275179230874577,0.108855805132663,0,0.580411975079952,0,0,0,0,0,0,0,0
XMR,0,0,-0.0758875130097266,0.717753199869122,0,0.150099829039324,0,-0.0172912383428726,0,-0.057876453482668,0,0.499730478627617,0,0,0,0,0,0,0,0
NEO,0,0,-0.226240988195987,0,0,0,0,0,0,0,0,0,0,-0.788725201093473,-0.182439983359801,0,0,0,0,0
ETC,0,0.27749151261695,-0.0157758817354313,0.013504582300018,0.246394448478088,0,0.115489424788891,0,0,-0.0110402967982687,0,0,0,0.0326623722555359,0.00699653772227338,0,0,0,0,-0.0255976828521707
ZEC,0,0,-0.045317108037705,0,0,0.557667147842889,0,0,0.0832099160230904,-0.0855716042289497,0,0,0,0,0,0,0,0,0,0
EOS,0,0,-0.0169535080221903,0,0.0162433771647699,-0.254955907272438,0.138231424209708,0.164573323161488,0,0,0,0.229213922236037,0,0,0.0779669191461166,0,0,0,0,-0.0988891795050783
XLM,-0.341462913305686,0.184426309325784,-0.038756340473502,0.523719127690822,-0.198238952848088,0,0.0713515672408483,-0.0181135951658774,0,-0.0774663248754871,0,0.211548938003517,0,0,0.0353576990225355,0,0,0,0,-0.00880847104573371
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0223901917982576,0,0,0,0,0,0.0290445960011533,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00544176348793497,0,0,-0.000606172452357191,0,0,0,0,0,0,0,0,0,0,-0.0391377479122077
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
