,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,ETC,XMR,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0368154795119046,0.164749022720095,0,0,0.266609261425665,0,-0.011117217663082,0,-0.123084143756858,0.487391273822611,0,0,-0.100774357466306,0,0,0,0,0.0620857518668869
ETH,0,0,0,0,0.0506354666982551,0.0075502386209966,0.376796749275208,0.0973800032943414,0,-4.33680868994202e-19,0,0,0.124231676616568,0,0.0407554755810208,0,0,0,0,-0.00331556057435827
XRP,0,0,0,0,0.395345742421686,0.061830429327066,0,0,0.245926389916714,0,0,0.0459458884184383,0,0,0.103695183700251,0,0,0,0,0
BCH,0.0721801580105333,0,0,0,0,1.38777878078145e-17,0.164054665822393,0.236954420646229,0.0372628691059734,0.246843032888772,0,0.238154305530162,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.061506611932261,0,0,0,0.196063438965249,0.321541939061999,0.216834537406267,0,0,0,0,0,0,0,0
XLM,0.557796848360447,0,0,0.0198024963782471,-0.015747103321171,0,0,0.507857265407786,0.141369171877785,-0.25297606774005,-0.0496378558008082,0,-1.09232607296309,1.09207033197722,0,0,-0.179887454047672,0,0,-0.136607703560587
LTC,0.0404981117862431,0.444936724255412,0,0.249853280949583,0.0820852136876268,0,0,0,0.0221066314313897,0,0.102723490995265,0,0,0,-0.081669864809133,0,0,0,0,0
ADA,0,0,0,0,0,0.239197106158172,0,0,-0.143997219769913,0.313401721349925,0.194921971177439,0.140195095511082,0,0,0,0,0,0,0,-0.0810340751231449
MIOTA,0,0,0.348404603695617,0,0,0,0.170433106592525,0,0,0,0.302759229784869,0,0,0.405280102228099,0.140899194486397,0,0,0,0,0.0524747991043021
TRX,0,0,0,0.459616255093233,0,-3.46944695195361e-18,0,0,-3.46944695195361e-18,0,0,0,0,0.476366295866997,0,0,0,0,0,0
ETC,0,0,0,0,0.731567809139416,0,0,0.0310646639172119,0.0524143680957014,0,0,0,0,0,0,0,0,0,0,0
XMR,0.420857169232959,0,0,0.497869506881916,0.0548948376551081,0.0805749430889121,0,0,0,0,0,0,0,0.11126462941045,0,0,0,0,0,-0.00668374941823801
DASH,0,0,0,0.0629772282670764,0,0,0,0,0.125546969139616,0.126071888295232,0,0.28569046242938,0,0,-0.0726668672118361,0,0,0,0,-0.0135786420436761
NEO,0,0,0,0,0,0.256844675034967,0,0,0.0764750645063562,0.182833846878428,0,0.0856637030852936,0.267290545979842,0,0,0,0,0,0,-0.0622109882121892
BNB,5.55111512312578e-17,-0.264077993857575,0,-0.759868656594072,1.19376192449201,0.184959901381098,-0.168921160904316,0.325100871292363,0.245110629541579,-0.475233119869304,0,0,-0.0520601478891264,0,0,3.16618837700767,-0.563202081098318,0,0,0.474690649895745
BV010082.Index,0,0.00265193679205425,-0.140268271175258,0.216259107184651,-0.1260148396014,-0.00459448718223286,0,-0.0659846239732393,0.0206815399477899,0.0554845792659517,0,0.00714074448129277,-0.0730565413980913,0,0.135297920935383,0,-0.136602101552615,0,0,-0.086188993754303
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0045046399294246,0,0,0,0,0,0,0,0,0,0,0.00477721681371012,0,0,0,0,0.0537283360538899,0,0,-0.0190045143400826
SPX.Index,0,0,0,0,0,0,0,0,-2.43710246117332e-06,0,0,0,0,0,0,0,0,0,0,-0.063972539780386
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
