,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0635943923901503,0.156154889036909,0.340316289766799,-0.371255507942027,0,0,0.189288697525039,-0.16592289166013,0,0.156185216457343,0,0.00478952832363824,0.130129963880847,0,0,0,0,-0.109371894855951
ETH,0,0,0.0540607150873752,0,0.0914391128300699,0.125179340754099,0,0.122334952899927,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.144583777503168,0,0,0,0,0,0,0,0.265144380869622,0,0,0,0,0,0,0,0,0,0
BCH,0,0,-0.0590204386862213,0,0,0.472817260713739,0,0.0670016522944891,0,-0.0483443801478156,0.423452353184148,0,0.0919961209953318,0.0293076275291275,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,-0.256249212677587,0.151772858733373,0,0.141906517179899,0.168038406803001,0,0,-0.0537882764993432,0.0893888981671175,0.179943718654451,0,0.0916486984839528,0.196668267270101,-0.028322751200194,0.199488779817293,0,0,0,0,0
XEM,0,0.0650972408473789,-0.243862383303532,-0.322097273650712,0,0,0,0,0,0.120554375824597,0,0.0722349916370245,0.3842408310806,0.112964965822089,0.194183778877027,0,0,0,0,0
NEO,0,0.661944647413566,0,0.50630045082174,0,0,0,0,-0.587483550712282,0.257374097312387,0,0,0,0.071866993623672,0.323056975683773,0,0,0,0,0
XMR,0.106316890298064,0.0704274485207308,0.00177628479018049,0,0,0,0,-0.119749827559841,0,0.297388715123169,0.485661613921085,0.0572314171181203,0.26546125005477,0,0,0,0,0,0,-0.0121283422151868
MIOTA,-0.397887746482221,0,0,0,-0.382467500651757,0.0753769981317889,0,0.260441951467332,0.621522332417353,0,0,0.0517852970334238,0,0.0334236930147967,0.0983137046740481,0,0,0,0,0.249289825090035
ETC,0,0.243253544716455,0,0.230141784521421,0.283454631767471,0,-0.0228381886507032,-1.73472347597681e-18,0,0,0,-0.0257715998185073,0,0.00942938332508697,0.00465485525163861,0,0,0,0,-0.0475998049116565
ADA,2.38096216660452,0,-0.207598270768764,0,0,1.83253412102964,0,0.311508252121719,0,0,-2.27346218908499,0,-0.398346520290246,-0.00190577826706742,-0.309317364963847,0,1.58755009765003,0,0,0
ZEC,0,0.273702696309485,-0.0732723968949204,0.103537740764003,-0.0703891251582936,0.188483620039214,0.170224846536364,0,0.23314903718346,0,0,-0.0558870727914483,0,0,0.050968480954132,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.34618091106747,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0416831592960368,0,-0.0448112258086999,0.0181735576486373,-0.0686615612810051,0.034658876753818,-0.0836180088993415,0,0.1681766014386,1.0842021724855e-19,0.00762650382464957,-0.000834555957455231,0.0364294723966781,0,-0.0771592241538535,0,0,0.0260292893056658
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0311817957259087,-0.000224140874942686,0.00809486360530136,-0.0186648318883156,0,-0.00237643136273143,-0.00691285844184361,0,0,0.0215676838685628,-0.0163753505048546,0,-0.00127260939963956,-0.02590194869995,0,-0.00475451499830172,0,0,0
SPX.Index,0,0.012418747165949,-0.0117930874247619,-0.0107797667057954,-0.00494622803189742,0,-0.0225576802812199,0.0111010921485738,0,-0.00738090794821478,0.0260581938870748,-0.0117473939871971,0,0,0,0,0,0,0,-0.0114943254455559
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
