,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0235962535671037,0,0,0.569336110306362,0,0,0,0,0,0,0.0777481297181429,0.0226798871003168,0,0,0,0,0,0,0
ETH,0,0,0.0868959029331721,0,0.14141166636485,0,0,0.0878937093180282,0,0,0,0,0,0.0829954048293312,0,0,0,0,0,0
XRP,0,0,0,0,0,0.20185265162465,0,0,0.266785126085789,0,0,0,0,0.0277726214735127,0.0119499933995427,0,0,0,0,0.191659120466742
BCH,0,0,-0.0553751130382285,0,0,0,0,0.216993651852103,0,0,0,0,0.0686994902577239,0,0,0,0,0,0,0
LTC,0.29984032295752,0,0.211304179503615,0,0,0.119777736049055,0,0.191714195004058,0,0,0.147944232807125,-0.0392812333148558,0,-0.00478331024392078,0,0,0,0,0,0
DASH,-0.104974153968117,0.124457809220892,0.0626856295581249,0,0,0,0,0.0160772331073264,0.309221339823512,0.0404452684170541,0,0.12792375620004,0,0.0281088760217707,0.0205960405885551,0,0,0,0,0
XEM,0,0.157294541500259,0,0,0,0,0,0.25194626886824,0,0.108346424720148,0,0,0,0.00670858659103096,0,0,0,0,0,0
NEO,0,0,0,0.387929286513838,0.230877353206731,0,0,0,0,0.475893091344533,0,0,0,0.266376265245266,0,0,0,0,0,0
XMR,0.107308756971724,0.321342509610577,0.0876836266773495,0.0869743116758857,-6.93889390390723e-18,0.0629013653272682,0,0,0,0.0448225619358458,0.18891544956728,0.0362022863086936,0.197592390361804,0,-0.126148354613427,0,0,0,0,0.0835825461667261
MIOTA,-0.0849703072561905,0,0,0,-0.586959075633513,0.310410704933429,0.202903386965024,0.237632610059611,0.470716748334015,0,0,0,0,0,0.254400918314519,0,0,0,0,0
ETC,0,0.186032433754696,0,0,0.356990765904138,0,0,0,0,0,0,-0.0403947534401995,0.256262159760951,0.0102051800247295,0.0217335834346666,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.250652800814003,0,0,0,0.105457816584055,0.462966609497181,0,0,0,0,0,0.414818676828329,0,0,0,0,0.00185293553351531
XLM,0,0,0,0,0,0,0.714935418496656,0.372318358745001,0,0,0,-0.102265844741344,0.180306018489063,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.15937947307638,0,0,0,0,0.160161055880508,-1.73472347597681e-18,0,0,0,0,0,0
BV010082.Index,0,0,-0.0127720205146453,0,0,0,-0.0152852724761706,0,0,0,0,0,0,0.00957295943157569,0.0400044559960008,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00296236877685537,0,-0.0227121936696828,0,0,0,0,-0.0088549304362853,0.0175146411956351,-0.00727124446652525,0.00913856290554541,0,0.00790294255817072,0,-0.0388057990845211,0,0,0
SPX.Index,0,0,-0.00707858521486937,-0.00619945747751086,0.00647818772235557,0.0136864817421383,-0.0111397908862939,-0.00231445949899645,0,0.000753653566482187,0,-0.0087386425050947,-0.00694537377960707,0.00581590665845129,0.00813323025958005,0,-0.0218035346687552,0,0,-0.0363697300264207
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
