,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.199466476204592,-0.0116634595853662,0,-0.072040906598706,0,-0.108396562040489,0,0,0.0924226447705269,-0.0748355580610616,0.054539786909848,0,0,0,0,0,0.0368075532822065
ETH,0,0,-0.0265821279621812,0,0.361594985348673,0.238515256468421,0,0.0119800948900871,-0.0951613536464197,0,0.152758859382932,0.113056457908153,0.00642996168114703,0,0,0,0,0.119121228941051
XRP,0,0,0,-0.193279669742587,-0.789799575237951,0,0,-0.117464507998364,0,0,1.7462268061319,-0.65184246428535,-0.227825908123906,0,0,0,0,-0.462633915423293
LTC,0,-0.739725696569509,-0.211456593864949,0,0.126062445811574,0,2.0157239559571,0.0423891852987002,-0.425492324697928,0.596415853040018,0.406385790056317,0,0.156837559572462,0,0,0,0,0
DASH,0,0.515935719179499,-0.110241614267915,0,0,-0.110103279988765,0,0,0.425823813492154,-0.106508457338459,0,-0.234599328365658,0,0,0,0,0,0
XMR,0,0.579432978191651,0,0.0530296196108384,-0.171763567628162,0,0.01572559241249,0.252673877283458,0,0,-0.0996417484107872,0.0414086830710879,0.0147987221255448,0,0,0,0,0
ETC,0,0.140971322794516,0.0543054567777169,0.215021149418226,0,0,0,0,0.270939657723572,-0.272594992423397,0,-0.018455689858688,-0.0397093442111245,0,0,0,0,0
XEM,0,0,-0.0715578768259676,-0.110235547954572,0,0.413161421430466,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,-0.0130960482728135,-0.38892129547445,0.119727836214638,0,1.23434942505602,0.247177304916645,0,0.369098092890198,0,0.290701236382376,0.0575814529314353,0,0,0,0,0
DOGE,0,0,0.100347587582499,0.0999474798389151,0,0,-0.239580117140204,0,0.277124178432538,0,0.323758805782726,0,0,0,0,0,0,0
XLM,-1.08270689754378,0.0869780728379532,0.348916710514544,0.0809032187642592,0,-0.497425000810921,0,0.239033605068757,0,0.305650333993228,0,0.360387410440963,0.0881522083517901,0,0,0,0,0.430455966094927
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.272814609453543,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.00184549818118124,0,0,0,0,0,0,0,0,0,0.0144328394448939,0,0,0,0,-0.0906364657090821
CVIX.Index,0,0,0,0.0113124075834432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00507780321840941,0.00240174517394423,0,0.0103096270521509,0,0,0,-0.00175374556929694,-0.00871887752265129,-0.00411940119608844,0.000656778223878222,0,0,0,0,-0.0279095401243738
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
