,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.0647212507521662,0,0.319367423604684,0.0386072078031533,0.181271187905194,0.323156965032592,0,0,0,0,0,0,0,0.0369072746384445
ETH,0.0826588591881095,0,0,0.0874546964498745,0,0.175013692450721,0.0603578073046465,0,0.000753087416103788,0,0.163207729901857,0,0.0136669791956491,0,0.114619792409154,0,0,0,0,0
XRP,0,0,0,0.181273655117072,0,0.0506824363610672,0,0.127626409353376,0,0,0.137806166922726,0,0,0,0.151445000023555,0,0,0,0,0
BCH,0.0577352047963316,0,0,0,0,0,0,0.0880863924746455,0,0,0.0805628710406812,0.416782945491861,0,0.250031908727923,0.109369991312741,0,0,0,0,0
LTC,0,0,0,0,0,0.113321838813224,0,0,0,0,0.253342417431089,0,0,0.0444892674949918,0.279095385899613,0,0,0,0,0
ADA,0,0.31355084512276,0.279384746358353,0,0,0,0,0.289461097788792,0,0.00616719651046506,-6.7762635780344e-21,0,0.0670197197943884,0,-0.27439534985127,0,-0.446976169512692,0,0,-0.0699175902737801
NEO,0,0,0,0.122614769876273,0,0,0,0.135466433503348,0,0,0.113887438633141,0,0.508530246464871,0,0.0465141877906029,0,0,0,0,0
XLM,0,0,0.473543160245384,0.126791151202772,0,0,0.104801442120875,0,0,0.143660302313263,0.106915566235157,0,0,0,0,0,0,0,0,-0.0560728299505899
EOS,0.545486443973503,0,0.289008276805411,0.167213929113448,0,0.00479406888499328,-0.0776724074814481,0,0,0,-0.191692096597529,0,0.277924012795847,0,0,0,-0.235253061044698,0,0,8.67361737988404e-19
XEM,0,0,0,0,0,0.167939800650952,0,0,0.146283516640623,0,-0.600136983146648,0.416738586382521,0,0.40384735495418,0,0,0,0,0,0
XMR,0,0,0,0,0.24457472833812,0,0,0.488671179377348,0,-0.22816732315311,0,0,0.221242911971332,0.415619381016812,-0.0238271473153334,0,0,0,0,0
DASH,0.0680592794260345,0,0,0.547888510689839,0,0.00621660836166754,0,0.200764848939638,0,0.0675988777965362,0.0358010944123187,0,0.0982007121662872,0,0,0,0,0,0,0
MIOTA,0,0,0,-0.252837400313709,0,8.67361737988404e-19,0.0336804840035711,0,0.575702458912321,0.0739625820086355,0.345913332907041,0,0,0.20091977333433,0.19118215580596,0,0,0,0,-0.124160935601621
TRX,0,0,0,0.724418612820147,0,-0.0747911863192114,0.0513633157902838,-0.394894973283953,0,0.201129488370729,0.198303768657842,0,0.259581501329989,0,0.0352196497757336,0,0,0,0,0
ETC,0,0,0.594742097353915,0.113684649330579,0,-0.131936292391202,0.0392052301877067,0,0,0,-0.532679549717134,0,0.47624616811083,0.333376580392625,0,0,-0.114963425125304,0,0,-0.215707865247153
BV010082.Index,0,0,0,0,0,0,-0.0322331778621058,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,9.92035770297652e-06,0,0,0,0,0,0,0,0,0,-0.0645988953060664,0,0,-0.080162008016479
VIX.Index,0,0,0.486014038204714,0,0,-0.133348832986561,0,-0.86282018831224,0,0.245267447944195,0.442189024795079,0,-0.143594567442649,0.0827441196584812,-0.235274995370673,0,0,0,-2.73524034540631,0
