,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-1.73472347597681e-18,0.0513144025285595,0,0,0,0,0,0,0.170158962925974,0,0,0,0.133664836530471,0,0,0,0,0.00622300099757007
ETH,0,0,0.214335171738368,0.340878447018846,0,0,0,0,0,0.0896861237126443,0.0794824574805059,0,0.131544867119481,0,0,0,0,0,0,-0.00671264220088956
XRP,0,0.867806602821443,0,0,0,0.353331565298091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523017238517773
BCH,0,0.389615666760833,0,0,0,0,0,4.33680868994202e-19,0,0.0113098046674077,0.113978587347417,0.269651645448707,0,0.0914860786124483,0.102659594170749,0,0,0,0,0
EOS,0,0.554005887216715,0,0,0,0,0,0,0.167328128387406,0,0,0.127917592700943,0,0,0,0,0,0,0,-0.0135150825679894
XLM,0,0,0.436625753503931,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0.299966115290776,0.12689825157847,0,0,0,0,-0.00223743521962959
LTC,0,0.272241328586875,0.301603430093629,0,0,0,0,0.087183913489494,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.292569112760372,0,0,0,0,0,0,0,0,0.336327508105106,0,0,0.155997585915897,0,0,0,0,-0.0191222538975477
XMR,0,0.160283348983771,0.00756811076723852,0.00820875323312794,0,0,0,0,0,-0.218179922264076,0.274408678526101,0,0.384285903352848,0.370212121009465,0,0,0,0,0,-0.00153341127286937
TRX,0,0,0,0.698307201371305,0.417622930849093,0,0.0110002614425429,0,-0.446692040845693,0,0.119743975429304,0,0.311515773424278,0,0,0,0,0,0,-0.0485123777224668
DASH,0,0.30137186807651,0,0,0.174084281818688,-0.0839907696218146,0,0,0.292733796847326,0,0,0.231496569691955,0.109888009353614,0,-0.221229414593185,0,0,0,0,0
MIOTA,0,0,-0.0442196230691447,0,0,0.220201137024358,0.258141540836725,-6.93889390390723e-18,0,0,0.377730840864512,0,0,0.311526179263557,0.0654976880833039,0,0,0,0,-0.0678164327871338
BNB,0,0.31196624089348,0.0305453348769927,0,0,0,0,0,0.136144072487011,0.140277486741523,0,-3.46944695195361e-18,0,0,1.38777878078145e-17,0,0,0,0,0.00355429074725472
NEO,0,0,1.38777878078145e-17,0.13585843532965,0,0,0,0,0,0,0,0.286356330681117,0,0,0.394135075026129,0,0,0,0,-0.0435601868404116
ETC,0,0,0,0,0,0,0,0.37563339080332,0,0.218874413965295,0,0.275951419622166,0,0,0,0,0,0,0,-0.00578195765162498
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274183650115716
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192848754202854
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.121193717686348,0,0,0,0,0.0905130543848571,0,-0.0123729359051749,0.021734743878702,0,3.46944695195361e-18,0,0,0,0,0,0,-0.10658215032073
VIX.Index,0,0,0,0,0,-0.917554548739725,0,0,0,-0.196535671086866,0,0,0.615876213353428,-0.0200145792117201,0,0,0,0,-6.17299664723023,0
