,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,ETC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.00589730186933404,0.0596600231228492,0,0,-0.0830570072491841,-0.112030770556009,0,0,-0.146858650770391,0.319190328830463,0,0,0,0,0,0,0
ETH,0,0,0,0,0.300554338812118,0,0.18487230445077,-0.043393821718052,-0.0489967951669919,0.266629143053655,0.180882663621998,0.0578125758550559,-0.110566494391164,0.185589455002022,0,0,0,0,0,0
BCH,0,0,0,0.125735510908954,0,-0.00875857637522112,0,0,0.0241577553254602,0.700457913856512,0,0,0.0347027001819221,0,0.020153254672639,0,0,0,0,-0.26244863070027
XRP,0,0,0,0,0,0,0,0.186170862058641,0.0876061130437075,0,0,0,0,0,0,0,0,0,0,0
LTC,0,1.84286572331449,0,-0.131141917568968,0,-0.0944110332001808,0,-0.0561431708522303,0.108663223192443,-0.272979602095266,0,-0.307609161363599,0.272376284324907,0,0,0,0,0,0,-0.528205662389949
MIOTA,0,0,0,0,0,0,0,0,0.180200612195091,0,0,-0.205323402613389,0.708973952801574,0,0,0,0,0,0,0
DASH,0.14704940843832,0,0,0.137019598253284,0.23470972435785,0,0,0,0,0,0.0674824420053325,0,0,0,0.118122487745638,0,0,0,0,0
ADA,0,0,0,0.0523887623648331,0,0,0,0,0,0,0,0,0.184863219661145,0.766391312340506,0,0,0,0,0,0
XEM,0,0,0,0.171327545758464,0,0.0559544017393512,0,0.0209557580392877,0,0,0,0,0.194487687604085,0,0,0,0,0,0,0
BTG,0,0,0.825140889839924,0,0,0,0.0550967867341706,0,0.00164200303708578,0,-0.0243629992919593,0,-0.0342272606028378,0,0,0,0,0,0,0.246408138846421
XMR,0.214214559980902,0.326438106338716,0,0,0,0.106723206543974,0,0.113588352420978,-0.0342636703337071,0,0,0,0.128299604443954,0,0,0,0,0,0,0
EOS,-0.0620184820673212,1.59859938389436,-0.827452679384793,0.225074487802544,-0.486093894356563,-0.0881691212502296,0,-0.12409771403858,0.168723627293462,-0.279007983966766,-0.632166290078215,0,0.895437773249701,-0.47470812210287,0.601233296653146,0,0,0,0,0
XLM,0,-0.0768996800774852,0,-0.192868123213424,0.117313993039857,0,-0.171903959486731,0.284403849505241,0,0,0.838407417230846,0.440235178440423,0,0,0,0,0,0,0,0
ETC,0,0.166344301643697,0,0,0.0709084417872952,0.0346443813617442,0,0.305477533816317,0.082902529637691,0,0.120674287264255,0,0,0,0,0,0,0,0,0
NEO,0,0.249836182480646,0,0.123422226863431,0,0,0,0,-0.0146002032964491,0.489106452062539,0,0.0265920435739871,-0.154984368192443,0.0713891364310865,0,0,0,0,0,0
BV010082.Index,-0.0387516682550371,0,0.0415961635186363,0,0.0336979547184411,0.0398580842819077,0.0296510008828512,-0.0458086650990251,-0.00547117721910083,-0.103515544386091,-0.00277071248961126,0.0304748226350506,0.0339130704824711,0.0170710135080064,0,0,0,0,0,0.140202759591575
CVIX.Index,0.0355971719482288,0,0,0,-0.0155600351196643,-5.42101086242752e-20,0,0,0.0145266876910258,0,0.00414517143787746,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0162061296697878,0,-0.00417272943998963,0,0.00406250493928156,0,0,0.0027396984627432,-0.0173013538565656,0,0.000148022849919437,-0.00106376672407686,-0.00698386364738688,-0.00957073560232485,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
