,BTC,ETH,BCH,XRP,MIOTA,DASH,LTC,BTG,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0761800366272806,0,0.0389927367341046,0,0.278289608036295,0,-6.93889390390723e-18,0,0,0,0,0,0.0170999400370974,0,0,0,0,0
ETH,0,0,0.0968822750426312,0,-0.056237949877947,0,0,0.0252352686358071,-0.207031523162449,0,0.611844894231707,0,0,0,0,0,0,0,0,0.351566218140726
BCH,0,0,0,0,0,0,0,0.199885635057698,0,0,0,0.549382899182704,0,0.0077033656116542,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,-0.0458377818637644,0.124067172883095,0.130708673185439,0.130626544305734,0,0,0,0,0,0,0,0,0
MIOTA,0,0,-0.0295999089056449,0,0,0,0,0,0.319412764558887,0,0,0,0.677065500628732,0,0.0578820011583763,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.0912765316965395,0.36501602360869,-0.179564439803591,0.224322843428391,0,0,0,-0.0200863254087806,-0.0836195604368621,0,0,0.0585710311081853,0.278754238731337,-0.0551945437646924,0.15585344510016,0,0,0,0,0.0801257869768421
BTG,0,0,0.455609729151359,0,0.0652937230543301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.987857378414337,0,3.46944695195361e-18,0.00544800572883065,0,0,0,0,-0.061160940526293,1.15385545104084,-0.132680489748382,0,-0.169176883222214,0.532871734545706,0,0,0,0,0.321992250342931
XMR,0,0,-0.0767859831280759,0.519147487095945,-0.00810206172888156,0.359632846320913,0,0.0278120392777603,-0.0646727311269692,0,0,0.143997630011394,0,-0.247113589809001,0.459959310549516,0,0,0,0,-0.434404879868307
ETC,0,0.567896675944711,0,0,0,-0.0749169613567552,0,0.0447724017399049,0.300235885862435,0,0,0.174571571314781,0,0,0.178976728793816,0,0,0,0,0
NEO,0,0,0.154193090017115,0,0.294357937258648,0.295485647718196,0.5533366032947,0.0243798739526812,-0.153171706588487,0,0,0,0,0.232705145319668,0,0,0,0,0,0
XEM,0,0,0.0173833775263801,0,0.0928599266102362,0,0.337600297946618,0.00874789983984965,0.00860293190697428,0.0361926918628865,0.165985858073837,0.00559220450133572,0,0,0,0,0,0,0,0
EOS,0,0,-0.0924196497217018,6.93889390390723e-18,-0.0665535289425412,0.165712432488074,-0.429113818515473,0,-0.370653743857132,-1.35598864446955,0.200963684054001,0.416758230742133,0,0,1.55170838165688,0,0,0,0,-3.46944695195361e-18
XLM,0,0,0,0,0.057557853598248,0,0.0647010253404031,-0.0265291766317625,0.284156858109752,0.380232980613779,0.0194309641251719,0,0,0.470529906615132,0,0,0,0,0,0
BV010082.Index,0,0,-0.0161194929939364,0,-0.0118880041525531,0.0199178582222344,0,-0.00935345906977957,0,0,0,0.0602190177169245,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.0253389349735343,0,0,0,0,2.16840434497101e-19,-0.0148871609211346,0,0,0,0,0.016873623905626,0.0207194769545993,0,0,0,0,0.0996028306162766
DXY.Curncy,0,0,-0.0122392141274311,0,0.000470243164776763,0,-0.0378603607548851,0.00110504754381813,0,0,0.00656331510780881,0.00399505043251594,0,-0.00234217980548022,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
