,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.0667669784785824,0,0,0.00605458686032124,0,0.0199423434997402,0,0,0,0,0
ETH,0,0,0,0,0.038332112921863,0.438106835806524,0,-0.089372035592844,0,0.0523154637502566,0,0,-0.0237711774170555,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0314521911127007,0,0.264117222340271,-0.032249438926404,0,-0.0104188144631457,0,0,0,0,-0.167760563284268
LTC,0.493282488133206,0,0,0,0.0011216829630471,0,0,-1.73472347597681e-18,0,-0.0972485322011205,0.00449426839336575,-0.0373828282188414,-0.00478576201156769,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464362886485779,0,0,0,0,-0.16167482451369
XMR,0,0.675553450095713,0.0955816946407972,0,-0.154779157722892,0,0,0.373203763473561,-0.782112420353343,-0.0882254067701207,-0.10702122188125,-0.160611049114735,-0.0445333377972717,0,0.411511826357891,0,0,0
DASH,0,0,0.257136343266342,0,-0.0299257144572151,0,0,0.0419495027603571,0,0,-0.0676525541029055,0,-0.0993929925655398,0,0,0,0,0
XEM,0,-0.439062869547086,-0.134594266252776,0.0618928732377046,0.163572170856229,0.989900239205149,0,0,1.89382156669653,0,0.0833801242620593,-0.021002456934442,-0.00566535237379077,0,-1.18781106055003,0,0,0
DOGE,0,0,0.0475209410340266,0,0,-0.12495438635144,0,0.0820773377048284,0,0,0.00182164878736213,0,-0.00828168002984267,0,0,0,0,0
XLM,0,0.342836604794799,0.535713292872461,-1.14276157672608,0.153694936595973,0,-0.102721993433483,0.225444046140039,0,0,0.0361918725809585,0.246223582829124,0,0,0,0,0,0.0702083136261502
NEO,0,0,0,0,-0.465274005738599,-0.730043248486076,-0.619800546284683,0.276585427514213,0,0,0,-0.602417175179227,-0.206898722154526,0,0,0,0,0
DGB,0,0,-0.0151178107003753,0,0,-0.843437374255013,0,0.377191689107163,0,0.230257150546648,-0.112161431696493,0,-0.105252758262056,1.99074422462077,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-1.73472347597681e-18,-0.035139260507273,0,0.00956647313386787,0.0369737717124168,0,0,0,-0.00906964605534209,0.00987655616849443,0.0400937987663657,0.00603026066301322,0,0.20247656811707,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0138925308864938,-0.0167168233110485,0,0,0,-0.00497381037638249,0.00546477023292392,0,0,-0.0024507406694486,0.0146660206255201,0.00167565833241342,0.138207071792193,0,0,0,0
SPX.Index,0,-0.0572446813482921,0.000380886019606909,0,0,0,0,0.0182296301732159,0,0,0,0,-0.00236851552361767,0,0,0,0,-0.0521158523224938
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
