,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.0042070912655707,0.35305299154669,0,0.0886586996149036,0.136171671393507,0.0544376209401457,0,0.0118226124946795,0,0,0,0,0
ETH,1.10259427033714,0,0.76742988826319,-0.310617561014126,-0.521342853261673,0.859623697040484,-0.248640790009081,-0.0161764820696574,0.479359291012475,0,-0.944329991507955,0,-3.46944695195361e-18,0.0170618128561634,0,0,0.082205595593083,0,0,0
XRP,0,0,0,0,0,-0.37674481725554,0.145393538460665,0.0463621287741185,0,0,0.850053690135849,-0.213791708554221,-0.0661994340042299,0.035527833962237,0,0,0,0,0,0
LTC,0,0,0.201219783268895,0,0,0,0,-0.0269860279913951,0.085552231797222,0,0,0.452333908525172,-0.0376208461393305,0.0310416965723628,0.199093037279287,0,0,0,0,0
XEM,0,0,0.246671028652987,0,0,0,0,0,0,0,0.127734470473445,0.369889963121644,0,0,0,0,0,0,0,0
ETC,0,0.104521124866841,-0.356595528634946,0,0,0,0.252334938145829,0.104675110888684,0,0.190884085387114,0,0,0,0,0,0,0,0,0,0
DASH,0,0.271408567039458,0,0,0,0,0,0,0.390779873329218,0,0,0,0.02296668188749,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.295678835577444,0.208784842481341,0,0.260381496016974,0,0,0.346702291032872,-0.0736088224912207,0,0,0.313000604403471,0.0586049965576406,0.00060645732930225,0,0,0,0,0,0,0
ZEC,0,0,0.157591072174348,0,0,0,0,0,0.126739641795557,0,0,0,-0.0837601576265275,0,0,0,0,0,0,0
XLM,0,0,0.523489951135984,0,0,0,0,0,0.49756840955307,0,0,0,0.0231966077337205,0,0,0,0,0,0,0
DOGE,0,0.121239465912948,-0.143463047684034,0.45741136147923,0.495671597926716,0.0697749337794184,0.0336679997879484,-0.0673582490469948,0,0,0,0,0.122339219698822,-0.0500432351749327,0,0,0,0,0,-0.214778211862906
DGB,0,-0.148893647794716,0,-3.09438371760844,-0.711698569456509,-0.831092858441562,0.315294269664154,0.127248080701584,0.344653909779574,0,0.901540659132871,3.16966339681199,0,0.295982217580152,0.705969228038914,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,-0.0984502120838223,1.88508387354559,0,0.246352347734902,-0.441075053064722,0,0,0,-0.371788864745048,-0.75412240641081,0.302230180808114,-0.104846193635379,0,0,0,0,0,0.575589434935922
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234474505707964,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00746022865330865,-0.00496851397975316,0,0,0.00198768774022695,0,0.000538261218676738,0.00406716610341663,0,0,0,-0.00425843130567068,0,0.00711581212406068,0,0,0,0,0
SPX.Index,0,0,-0.000501883802764322,0,0,0,0,0,0,0,0,0.000114306186089119,0.000335159565696009,0,-0.000508090861070033,0,0,0,0,-0.0194221538293918
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
