,BTC,ETH,XRP,XEM,ETC,LTC,MIOTA,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.051222011573108,0,0,0.432255203616262,0,0,0.0142472681897393,0.0746957409436955,-0.0120921975665869,0,0,0,0,0,0
ETH,0.867235533873892,0,0,-0.618977002344144,0.414572933545954,0,0,0.196688993060435,0,0.0390605265813331,-0.108862710244537,0,-0.0363683843318231,0.100602361484625,0.209291559119129,0,0,0,0,0
XRP,0,0,0,0,-0.413629630900305,0,0,0,0,0,0.928281031336807,0,-0.0906287211371629,0.0280692853624005,0.0463575854799992,0,0,0,0,0
XEM,0,0,0.157919082707634,0,0,0.0144063604915292,0,0,0,0,0.15393557671809,0.385109234557556,0,0,0.160421165699036,0,0,0,0,0
ETC,0,0.0301587416789049,-0.371395693985708,0,0,0.173467359730791,0.421917511232776,0.389224285940479,0,0,0,0,-0.134948003356074,0.120474115040435,0.247262601439948,0,0,0,0,0
LTC,0,0,0.119866569316772,0.180582763669404,0.0693944141548241,0,0,0,0,0.085076491173939,0.0565795668263569,0.388207904822758,0,0,1.73472347597681e-18,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.325341781948884,0.162786581840082,0.405151477865012,0,0.341512338714969,0,0,0,0.109760316544408,0,0,0,0.10893661309315,-0.0885124701084369,0,0,0,0,0,0.308413545315337
XMR,0.610272842680083,0.0483252983137939,0,0,0,0,0,0.394002161470691,0,8.67361737988404e-19,0.172861624496037,0.150407038691547,0,0.0131237074242168,-0.129930891810384,0,0,0,0,0
ZEC,0,0.103345747644154,0,-0.379093588868985,0,0.720928954803115,0,0,0,0,0,0,-0.118582605607067,0,0.101920804377677,0,0,0,0,0
XLM,0,0,0.558819831200242,0,0,0,0,0,0.458717663161102,0,0,0,0.0336541194303534,0,0,0,0,0,0,0
DOGE,0,0.0995772298544499,-0.0552270981012377,0.527384177665074,0.175835392709706,0.266092924810023,0,0.0696165552730862,0,0,0,0,0.0946829701228693,-0.0549142143730403,0.0271610950175103,0,0,0,0,-0.323121524440839
DGB,1.3792792994605,-0.15045512444083,-0.237030414840397,-1.65580490497333,-1.48294166979044,0,1.87055448818057,0,0,0,0,2.11470390030794,0,0.260861826963169,0.355164060739246,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.74816399929221,0.833074991419724,0,0,-0.0815852253350942,-0.531480257542355,0.65733323267685,0.157759997662602,0,0.146998206676317,-0.150253417812237,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167819674997355,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.00888758856376327,0.00320718641461512,-0.00693833502875511,0,0.00448356314210843,0,0,0,-8.67361737988404e-19,0,0,-0.000176247346354915,-0.0045057207616938,0,0.000613010518609584,0,0,0,0,0
SPX.Index,0,-0.0024404726218161,-0.000513565809659654,-0.00223475628023257,0,0,0,0,0,0,0,0,0.000467160069746034,-1.31793537005364e-05,-0.000649987947366088,0,0,0,0,-0.0161561769106447
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
