,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.162476310186999,0.00263360490080235,0,0,0.333976081409435,0.15943427778405,0.0378951103434911,0.0498285923297619,0,0,0,0.00110009354565417,-0.16419514402173,0,0,0,0,0,0
ETH,0.175663338977949,0,0.401754650572073,0,0.271896661299737,0,0,0.0506065808251347,0.0632214373908487,0.0387011701581198,0,0.0746820136043692,0,0,0,0,0,0,0,0
XRP,0,0.377958297566364,0,-0.0963516305460984,0,0,0.105815039889422,0.0951762222383297,0,0.011059688247396,0,0,0.205948669741693,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.0827651406523177,0.449605063240256,0,0.105382871691947,-0.171745428458344,0,0,0,0,0,0
ETC,0,0.307608072794047,0,0.0179440098540666,0,0,0.0411745601573026,0,0,0,0.116452623410016,0,0,0,0.0298140264586243,0,0,0,0,0
DASH,0,0,0,0,0,0,0.192196014481148,0.0383449677462567,0.253159286067308,0.0186423597438389,0.0579936629388016,0,0.0534622517697684,0,0.0645577523528463,0,0,0,0,0
XEM,0.615268761122996,0,0.18333460954526,0,0,0,0,0.163557506224606,0,0.0319241542021145,0,0,-0.31043360754679,0.323798334761096,0,0,0,0,0,0.223659986750757
MIOTA,0,0,0,0.221505138046725,0,0,0.61480112054688,0,0,-0.0993641047272664,0.389782045332657,0.230804145094017,0,0.141149088379484,0,0,0,0,0,0
XMR,0,0.101917287618276,0,0.159719071884804,0,0.243743362237175,0.294244603243478,0,0,0.000440638923014561,0.0114415549664217,0,0.0872762293527371,0,0,0,0,0,0,0
EOS,0,0.22584223184481,0,0,0.199140496741907,0,0,0,0,0,0,0.64037259222662,0,0,0.225825942428268,0,0,0,0,0
NEO,0,0,0,0.119345699855227,0.309782181113065,0.27830981745305,0,0.0354061346101671,0,-0.0233448117440445,0,0.190460009133075,0,0.178315433359526,0,0,0,0,0,-0.207338750437698
ZEC,0,0.375749677746714,0,0,0,0,0,0.143410212950819,0,0.0228086325166416,0.232771193504236,0,0,0,0,0,0,0,0,0
DOGE,0,0.139961198719923,0.302124270761412,0.0662600893388799,0,0.259723071243553,0,0.109167855303486,0,0,0,0,0,0,0,0,0,0,0,0
XLM,-0.494581536379901,0,0.230113808078465,0,0,0,0.299314634657959,0,0,0.0181918812628851,0.294891286926273,0,0,0,0.430754118802744,0,0,0,0,-0.343436912988855
DGB,0,0.104601641937001,0,0,0,0,0.160602552191794,0.0110561024176506,0,0.145859354589909,0.328000768895545,0,0,0.154983136212488,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0386678951041608,0,0,0,0,0,0,0,0,0.0149237761827579,0,-0.0164367737652274,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0102793206659922,0,0,0.0205064067951433,0,0.0140879728971208,-0.00422620575657786,0.00200504053745043,0.0116105247246556,-0.000603370415843888,-0.0232905389749563,0,0,-0.00967659429666074,0,0,0,0,0,-0.0152006287213839
SPX.Index,0,0,0,0,-0.00886108801956782,0,0,-0.000652769405364738,0.00244388584017892,-0.000489323155507558,0,0,0,0.00296196348400673,0,0,0,0,0,-0.0525313394287913
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
