,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,EOS,XMR,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0822070575589454,0.132077432355015,0,0,0.0337826146413377,0.0224145934445835,0,0,0.00457925028318478,0,0,0.066628987855217,0,0,0,0,0
ETH,0,0,0,0.0124057284344655,0,0,0.0468580574421581,0,0.0235873160401998,0.517854428113034,0,0,0,0.198046456409619,0,0,0,0,0,0.0987464217179296
XRP,0,0,0,0,0.057927722931193,0.0849514140861751,0,0.173820990584644,0,0,0.214212467639538,-0.0086242170593737,0,0.0646125206078766,0,0,0,0,0,0
LTC,0,0,0,0,0.437509788182879,0,0,-0.0660923460952242,0.0448683097200644,0,0,0.0726977009776295,0,0.268073070193958,0,0,0,0,0,0
ETC,0,0,0,0.630537562834647,0,0,0.34731165672704,0.0339366463836594,-0.0365055043458341,0.0244158730336716,-0.0533297966362648,-0.0531705087245776,0,1.38777878078145e-17,0,0,0,0,0,0
XEM,0,0.0286293944759642,0.0565368765851183,0,0.22566007703346,0,0,0.00682053227404787,0.0619004563146978,0,0.0511702528814387,-0.042010174144448,0,0.377659253250138,0.0482034617928516,0,0,0,0,0
DASH,0,0.129478283061656,0,0,0.200633201955129,0,0,0,0.0192831567268361,0,0,0.0255937772466068,0,0.053269219915284,0.242648809736495,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.184520184835735,0,0,0.155087819205693,0,0.0161801446319396,0,0.0193862769741351,0,0,0,0,0.206888241952855,0.0941229573018823,0,0,0,0,0
ZEC,0,0,0.318750924443365,0,-0.0348109742603443,0,0,-0.083649509163543,0.0040084258437552,0,0,0,0,0.213068812306898,0.38439088974231,0,0,0,0,0
NEO,0,0,0,0.80577581588306,0,0,0.666097307937487,0,-0.111280165818097,0,0.425920105460955,0,0,0,0,0,0,0,0,0
DOGE,0,0.174161688206937,0.0724897120875564,0.363927032922364,-0.132952481100307,0,0,0.0241313407450393,-0.0915875093114769,0,-0.167601321296312,-0.0582099921947525,0,0,0.210731142701578,0,0,0,0,0
XLM,-0.210769540067054,0,0.275265972242636,0.0465335518565085,0,0.393757155829931,-0.259887195254729,0.0217567058943638,0.0110796313154615,0.647367984379887,0.154656949499109,0.0714016697949969,0,0,0,0,0,0,0,0
DGB,0,0,0,0,-0.254650090234443,0.215320931964104,0.00422706062324477,0,0.00106872717060116,0.433781327950123,0.538924045895334,0.0286491422459555,0,2.77555756156289e-17,0,0,0,0,0,0
BV010082.Index,0,0,0.0841206175781925,0.0142799034394764,-0.0357093161322986,0,-0.079690354782287,0.0203468153467139,0.0010591390346885,0,0.031937063629303,-0.00148116232769779,0,-0.0355382530384274,0,0,0,0,0,0.137407240422699
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,-0.00374108097650716,0,0,0,-0.00145744397408761,0.000967281821996708,-0.00375438721229962,0,0.00105970947734766,0,0,0,0,0,0,0,-0.0473944825848952
VIX.Index,0,0,0,-0.0183968906815578,0,-0.362586887540609,0,-0.0896310490266419,0.0158876478959328,0.401750428730635,-0.0861196504423052,0.018827062372328,0,0,0.309704169779162,1.4754128616102,0,0,0,0
