,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.164146068619475,0.0268598650127598,0,0,0,0.263271923106694,0,0,0.00866068507998158,0.125468881808656,6.93889390390723e-18,0.0333346427065318,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0228116077456614,0,0.380283060887177,0.0328503450771924,0.17928727814604,0.0599298451688212,0.0694813105967195,0,0.0767963049691816,0,0,0,0,0,0,0
BCH,0,-0.229964007123324,0,0,0.474508974957714,0.402791513151568,0.135584015059722,0.0255641845402878,0.11397960585129,0.269721358155523,0,0.053570361486743,-0.24236627367642,-0.100055146352504,-1.38777878078145e-17,0,0,0,0,0.221886502054483
XRP,0,0,0,0,0,0,0.115125631133218,0.248178734841482,0.0231986232274017,0,0,0,0,0,0.251669057263497,0,0,0,0,0
LTC,0,0,0.0125931980583576,0,0,0,0.0969454787065721,0,0,0.00466601910766473,0.550499082446912,0,0.12944332441532,0,0.250711785686367,0,0,0,0,0
DASH,0,0,0.0623982885381088,0,0,0,0.457845008509299,0,0,0,0.121100735415731,0,0,0.07564424618477,0,0,0,0,0,0
XEM,0.566970917454152,0.212538297102113,0,0.0811161462022428,3.46944695195361e-18,0.164107049766822,0,0.142857890034047,0,-0.0348194369333333,0,0,0,0,0.0195891551824187,0,0,0,0,0
XMR,0,0,0,0.167706703320693,0,0,0.45234578655992,0,0,0.0407826977396591,0.0458261909033335,0.198822689789436,0,0.0897803409677267,0,0,0,0,0,0
MIOTA,0,0,0.4985771979973,0,0,0,0,0,0,-0.386923947639767,0,0,0,0.820095416543152,0,0,0,0,0,0.314499509496883
NEO,0,0,1.63267145635597,0,0,0,-0.498968280466704,0,-0.176066901706333,0,-0.536158732165527,0,0.350682492020143,0.458253857845599,0,0,0,0,0,2.77555756156289e-17
ETC,0,0,0,-0.0521808546920976,1.20977433386293,0,-0.0626561574558649,0,0,-0.0561127386271905,0,0,-0.0897400727167938,0,0,0,0,0,0,0
ZEC,0,0.0650463701282695,0.111291661532582,0,0,0,0.223250388938736,0.0884356611232515,0,0.00731762949892407,0,0,0,0.252521318848328,0.0192917722608384,0,0,0,0,0.214203330197393
BAT,0.948643955891058,0,-0.591775484901275,0.470593279595585,0.284631834105464,0,0,-0.127001022478789,0,0.222384117890251,0,0.114777179032509,0,0.150661156006933,0,0,0,0,0,0
EOS,0,0,0,0,0.0399073268229179,0,0,0,0.188070904094374,0.216100582554654,0,0,0.284127515609279,0,0,0,0,0,0,0
XLM,0,0,0,0.199426335627841,0.402789885365097,0,0,0,0.152972194286005,0,0,0.20971827004622,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00889721674920042,0,-0.00209999214047445,0,0,-0.00969052760767313,0,0,0,0,-0.117250427194815
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.00773192665496352,-0.00830993729155974,0,0,0,-0.00543538713429475,0,0,0.00454423517020782,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00328512313028817,0,0.000617055946887883,0,0,0.00238261295563962,0,0,0,0,0,0,-0.0409894583750029
VIX.Index,0,0.0476755226091845,0,0,0,0,0,0,0.0556643631478299,-0.0934478458096847,0,0,0,0,0,0,0,0,0,0
