,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,-3.46944695195361e-18,0.469544875947056,0,0,0.0202442272242648,0.00432924803599401,0,0.0363326940758647,0,0.0790876873655962,0,0,0,0,0
ETH,0,0,8.67361737988404e-19,0,0,0,0.256759147924469,0.0703829462066335,0,0.0869010453712425,0.0256136189735742,0.106631003306293,0,0,0.265992838944527,0,0,0,0,0
BCH,0,0,0,0,0,0.325392834315318,0.364977561491811,0,0,0,0.139554800191536,0,0,0,0.0427282828997871,0,0,0,0,0
XRP,0,0,0.0320030704015752,0,0.0119337160770455,0.0703939683708561,0.0469248318913043,0.0387543752333926,0.272700827734384,0,0,0.0557709473469011,0.0483003685929021,0,0.0379361086469884,0,0,0,0,0.053985166012406
DASH,0,0,0,0,0,0,0.315151124879064,-0.152438052579185,0,0.144451146913298,4.33680868994202e-19,0.236766503043462,0.164745411762646,0.135081787157653,0,0,0,0,0,0
LTC,0,0,0.112525602550888,0,0.0178219084883953,0,0.0795177987948707,0,0,0.671137209569359,0.0398979942335179,0,0.0856700998121146,0,0,0,0,0,0,0
XEM,0,0.205483412000685,0.0862950376192971,0,0,0,0,0.089275486556248,0.0492906728441945,0,0,0,0,0,0.204247349502539,0,0,0,0,0
MIOTA,0,0,0.1564474070772,0,0,0,0,0,0,0.0937170554252574,-0.481999608100051,0,0,0.493993075595957,0.727406579982349,0,0,0,0,0.0866619290866628
XMR,0,0,0.0443252982145948,0,0,0.0734366445073605,0.507106883951182,0,0,0.129730244984707,0.0420059239701202,0,0,0.0315910883050552,0,0,0,0,0,0
ETC,0,0,0,0,0,1.10257036475691,0,0.013486416368081,0,0,-0.101333548474426,0,0,0,0.0197999383135048,0,0,0,0,0
NEO,0,0,0.653502942816827,0,0,0,-0.579617146879749,-0.790504671581004,0,0,0,0.804239807877161,0.619588357723102,0,0.651866481947113,0,0,0,0,-0.687396287278803
ZEC,0,0,0.0621472450800721,0,0,0,0.343748705593526,0,0,0.056990207175431,0,0,0,0.107214095713728,0.107465236941848,0,0,0,0,0
BAT,1.13071582623218,0,-0.50268755739157,0,0.124503089878115,0.557566532676671,0,0.32907249892147,0,-0.356321895648289,0.400829182974076,-0.474451956455437,0,-0.0269255747047881,0,0,0,0,0,0.176488237431585
EOS,0,0,0,0,0,0,0,0.349149866630536,0,-0.153626865096161,0.345129925133748,0.365226305963074,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.0963781505222365,0.245592698889998,0.202149012571544,0,0.286632721623543,0.125938092762512,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0.00854002581572985,0,0,0,-0.0105800573201994,0,0,0,0,-0.118216614792884
CVIX.Index,0,0.195419445545808,0,0,0,-0.167751697997094,0,0.00903590448904018,0,0,0.0493757549262783,-0.269352930673663,0,0.0421230798727629,0.0535645556909999,0,0,0,0,0.144498079877541
DXY.Curncy,0,0,0,0,-0.0130701126578869,0,0,0.000938241099320137,-0.0142391710743652,0,-0.00357056959634841,0,-0.00751661377977412,0.0167568963189526,0,0,0,0,0,-0.0210283723092993
SPX.Index,0,0,0,0,-0.00130316801478196,-1.10380472522139e-06,-0.000266163716500379,0,-0.000958038682734634,0,0.00139040606160995,0,0,0,0,0,0,0,0,-0.039703464656064
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
