,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.394639097648602,0,0,0.0123196821342497,0,0,4.33680868994202e-19,0,0.123695754811096,0.0629175348374895,0.038968557269229,4.33680868994202e-19,0,0,0,0,0.0297069718227505
ETH,0.356993630507599,0,0,0.227510277536634,0.0677443254125673,0,0,-0.463715094193332,0.218822908254727,0,0.346383040434246,-0.130365166236053,0.0680471208574019,0,0.178511539484385,0,0,0,0,0.0141852522863304
XRP,0,0,0,0,0.204431217398517,0,0,0,0.133923713668621,0.0322863764427912,0.210902872637513,0.0651482799441848,0,-0.054226863237865,0.0402618484080827,0,0,0,0,0
BCH,0.681004876710119,0,0,0,0,0.111411445612665,0.0939267302390471,0,-3.46944695195361e-18,0,0.260632474288839,0.0483433982865205,0,0.00096911776236991,0,0,0,0,0,-0.0504221704107651
EOS,0,0,0,0,0,0.363495377249644,0,0,0,0.0784679773810663,0.0376082094487624,0,0,0,0.301097606604232,0,0,0,0,-0.210564524891711
LTC,0,0,0,0,0.575308254375788,0,0,0,0,0.0213214444008752,0,0.0886942776749533,0,0.0470877329873717,0,0,0,0,0,0
ADA,0,0,0,0.271962634434562,0,0,0,0,0,0.0399606150712098,0.0399235090586293,0.124699150006925,0,0,0.426674697997993,0,0,0,0,0
XLM,0,0,0,0,0.0258177800263541,0,0,0,0.328021122874322,0,0.0782173960130838,0,0,0.0297372774458931,0.242053981040044,0,0,0,0,-0.00842245641750257
MIOTA,0,0,0,0,0.406276841736644,0,0,0.439506417435033,0,0.245532290209136,0,0,0,0.0647333650669256,0,0,0,0,0,0
NEO,0,0,0,0.242385949362692,0,0,0,0,0,0,0,0,0,0,0.65897169189535,0,0,0,0,0
TRX,0,0.551797481093347,0.426652527140966,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0156904045297211,0,0,0,0,0,-0.00569488635589101
XMR,0.0557280662303451,0,0,0,0,0.791637397411896,0,0,0,0,-0.0445000988030283,0,0.414336819483602,-0.150314372364456,1.38777878078145e-17,0,-0.480341141660956,0,0,-0.0282093948633788
DASH,0,0,0,0,-0.461305208080895,0,0,0,0,0.313979859402367,-0.0825472845158529,0.313175797948309,0,0.367101565234811,0.196746801313805,0,0,0,0,-0.0606917939808409
ETC,0.750426468615496,0.457285633913187,0,0,0.193355821826889,0,0,0,0,-0.319008880914641,0.095873154984949,0,0.183025936902545,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.831273626130137,0,0,0.0467651369710153,0,0,0,0,0,0,0,0,0,0.0433443148827661
BV010082.Index,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0123172661921868,0.0429999776546567,0,0.0326890508907276,0,0,-0.0369969459735151,0,0,0,0,-0.0144772978305905
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.0532686668404682,0,-0.0218690787081616,0,0,-0.00777500969109379,-0.0177187364739732,-0.0137482875473504,0,0,0,0,0.0846186017313585,0,0,-0.010229152181776
SPX.Index,0,0,0,0,0,0.0073716165489255,0,0,0,0.00120997999856283,-0.0108214413276809,0,0,0,-2.71050543121376e-20,0,0.0441666973071549,0,0,-0.0619633702258236
VIX.Index,0,-0.481605155965711,0,0,-0.953377997890529,0,0,0,-0.217748146832283,0.277992568638205,0.198332558551571,-0.00748434435761026,0,0.289479762683384,0.424273662519989,0,0.686920001947397,0,-5.27433577539486,0
