,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,-0.105814154731478,0,0,-0.111610163799941,-0.0145685822339056,0,0,0,0,0,0
ETH,0,0,0,0,0,0.198607750211698,0,-0.0535225840222291,0.356212121328172,0,0,0.0370191933595207,0.0675796070684001,0,0,0,0,0.00817090365751552
XRP,0,0,0,0,0,0,0,0,0,0,0,-0.0170183045599855,0,0,0,0,0,-0.0646129907011791
LTC,0.26988007009962,0,0,0,-0.0147360190338634,0,0,0,0,0,0,-0.00543964368134025,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.538767132541164,0,0,0,0,0,0,0,0,0,0
ETC,0,0.668870325718788,0,0,-0.0783739210881095,0,0,0.15044666766732,-0.635909918947553,0,0,-0.020113855540302,0.188401147173255,0,-0.0887224706178681,0,0,0
DASH,0,0,0,0,0.0801345399413948,0,0,0,0.25331452693422,0,0.0203625761945732,-0.0204200115139414,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0.554698729156465,0,0,-0.0952110875564783,-0.250612436067627,0.231483716977258,0.0994887165890646,0,0.524810430395355,0,0,0,-0.129588570154696,0.0304503067750439,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,-0.507648458786544,0,0,-0.533200467220525,0,0,0,0.181123365668432,0.0398702514766071,0,0,-0.0920325404552118,-0.792419304090234,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.124080730618595,0.575607265385041,1.08192137634554,-2.32451019097412,-0.20305473359619,0.113910115259231,0.0901305465805119,0.149204640996096,0,-0.535893192408458,-0.317499412251017,0.0394670328031426,0,0,0,0,0,0.171659079908839
BV010082.Index,0,0,0,0,-0.0248521523797635,-0.0353378561997173,0,0.0256254867089777,0,0,0.0318477680245202,0.0208243967636962,0,0,0.192331773318721,0,0,-0.171259198049824
CVIX.Index,0,0,0,0,0,0,0,0,0,0,-0.00688613642474626,0,0,0,0,0,0,0.325020764870406
DXY.Curncy,0,0,0,0,0,0,0,0.0135829113757309,-0.0287576695055753,0,0,0.00204964757193205,0,0,0,0,0,-0.0167954548947267
SPX.Index,0.0380929189978127,0,0,0,0,0,0,0.00317470721299548,0,0,-0.0154381506037944,0.00227045021531463,-0.030765861537506,0,0,0,0,-0.0424566973244607
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
