,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0663791928936017,0,0,0,0,0,0,0,0.00638384212287972,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.268845674878438,0,0,0,0,0,0.343778668101095,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.208487905371419,0,0.401356372311609,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.270983381124959,0,0,-0.12688097484303,0,0,0,0,0
DASH,0,-0.109451764455998,0,0.173766563556045,0,0,0,1.38777878078145e-17,0.366482021590672,0,0.0857644197206557,0,0.115941291601175,0,0,0,0,0
ETC,0,0,0,-0.210774754495341,0,0,0.0817471097786875,0,0,0,0,0.25372308671078,-0.299555183459077,0,-0.27801962654069,0,0,0.260609631979198
XEM,0,0,0,0,0,0,0,0,0,0.106802948704838,-0.127057804350191,0.116902448953474,0.281920196724895,0,-1.15057691963626,0,0,-0.551317114000534
XMR,0,0.11888649685311,0.105676849240115,0,0,-0.0737027964888026,0,0,0,0,0,0.0858332050223186,0.0390856127465133,0,0,0,0,0
ZEC,0,0.0877957871180309,0.248178195907326,-0.201522382812005,0.448185580578975,0,0.108976332616439,0,0,0,0,0,-0.0725947908789271,0,0,0,0,-0.0133897464145126
XLM,0,0,0.425070531346629,0,0,0,0,0,0,0,0,0,0.238210592540733,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0,0,0.195203812568909,0,0,0,0,0,0,0,0
NEO,0,0,0.43575132534405,0,0,0,0,0,0,0.133961003426692,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0.51780152477898,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.0187822980219825,0,0,0,0,0,0,0,-0.039322101703907
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0150040551473602,0,0,0,-0.00651335392028046,-0.00619925359241446,0,0,0,-0.00174001211213875,-0.00335154764108264,-0.0019826875339765,0,0,0,0,0.024877761617124
SPX.Index,0,0,-5.42101086242752e-20,0,0,0.00256533521469829,0.00410480434915469,0,0,-0.000222971422556351,0.00580029291215359,-0.00437315116156552,-0.000599572548741823,0,-0.0186851683533519,0,0,-0.0411796869091125
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
