,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0127783291431325,0,0.00752924333026053,0.158417247921981,0,0.14023421048085,0,0,0,0,0,0.0685868222371241,0.0134314962630916,-2.16840434497101e-19,0,0,0,0,0
ETH,0,0,0,0.231456514366635,0.151092128646675,0,0,0.316603881718905,0.0697670358667728,0,0.0365465600345691,0,0,0,0.226621829814148,0,0,0,0,0
XRP,0,0.011063351286392,0,0,0,0,0,0.605878617825015,0,0,0.150254404815124,0,0,0,-0.0182620395462754,0,0,0,0,0
BCH,0,0.193226184825845,0.0381593828976768,0,0,0,0.181989863430654,0,-0.0950143318385506,0.19083931370021,0,0.476565989706444,0,0,-0.086672527351998,0,0,0,0,0
EOS,0,0.439536541482289,0,0,0,0.108040562893293,0,0.0727845469202756,0,0,0.18512021552024,0,0,0,0.0703112993205861,0,0,0,0,0
XLM,0,0,0.1648979284214,0,0,0,0,0.149239651747783,0,0,0,0.375848116967687,0,0,0.00576197314051612,0,0,0,0,0
LTC,0,0,-0.0112352450202117,0.193996564059147,0.167430528669332,0,0,0,0,0.0321986339522188,0,0.141453264644046,0.222029830544019,0,0.0782151987798209,0,0,0,0,0.0439749729153499
ADA,0,0,0.276303484335506,0,-0.0122729999810774,0,0.397980361907102,0,0,-0.141628514061478,-0.0590620378017748,0.376536952899463,0.214398208273342,0.195060139261664,-0.0924112729794194,0,0,0,0,0.104935355542781
XMR,0,0.251945430152524,0,0,0.387751093587173,0,0,0,0,0,0,0,0.167786549498256,0,0,0,0,0,0,0
DASH,0,0,0,0,0.095431628139434,0,0,0,0,0,0.116587261464031,0,0.534103624114228,0,0,0,0,0,0,0.120792248017715
MIOTA,0,0,0.0405474439239975,0,0.249294735172866,0,0,0,0,0,0,0,0.312967175308559,0,0.137796400991843,0,0,0,0,-0.0913732724789054
TRX,0,0.177991044912183,0,0,0.212715465942451,0,0,0.316107049911686,0,0,0,0,0,0,0.0458950958002082,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.185748262511108,0.179573284462672,0.251201467887275,0.382619858913721,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.415533029414729,0,0,0,0.150092470671023,0.121148542231197,0,0,0.0571837235539861,0,0,0,0,0,0,0
XTZ,0,0,0.133786319625126,-0.350802014559764,-0.446139623956517,-0.54394008494482,2.02691242837277,-0.0349492285372969,0.179181946051862,0,1.38777878078145e-17,0,-0.102514582039118,0,0,0,-1.8596382470357,0,0,-0.0693450191565498
BV010082.Index,0,0.0240649323718587,0.0480091099106571,-0.00471703874846476,0,-0.0984437248231528,-0.0335168521502642,0,-0.0306004078855461,0,0,0,0,0,-0.0356855026988934,0,0,0,0,-0.0783094248831734
CVIX.Index,0,-0.115864993412205,0.0443363202530084,0.0481895609551646,0,-0.0752539547723531,0,0,0.0489324370471854,0,0,0,0.15758051793828,-0.194967466527303,-0.0355096216351366,0,0,0,0,0.0396228850980298
DXY.Curncy,0,0,-0.00788179362251686,0,0,0,0,0,0,0,0,0,0,-0.00087467463486048,0,0,0,0,0,-0.0186980840055579
SPX.Index,0,0.000140192761185998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446896137509427
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
