,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.180807971639204,0,-0.0378368978291293,-0.00917893511676729,0,0,-0.00154792725535326,0.0216968965674261,0.0564683754350485,-0.0345377713448487,0,0,0,0,1.0842021724855e-19
ETH,0,0,0.106785852148643,0.700238367348091,0,-0.250237629783728,0.475201355635165,-0.291063251073716,0,0.0887606837698383,1.73472347597681e-18,0,0.505290984568981,-0.327565603922159,-0.279974160660159,0,0,-0.474503622646352
XRP,0,0.0789614545685128,0,0.253851900293306,0,0.13907683013534,-0.275205022627541,0,-0.0176529092829327,0.118823374042231,-0.00438258840576283,0,0.0863397303271213,-0.474116522792454,-0.0684330341229553,0,0,0.105158388388495
LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,-0.496005289245229,0,0.0295232853738744,-0.121372297130045,0.364748887025456,0,0,0.207420443209344,-0.0277685653001255,-0.000416894754549732,0,-0.0680983880259657,0,0,0.242868464572677
ETC,0,-0.0309741969925403,0,-1.08907505913396,0.115052922643472,0,0.900659921225247,0,0,-0.125876737883943,0,0.119272883028983,0.151505633483028,1.33061785649509,0,0,0,0.113939016872025
DASH,0,0.121141588473713,0,0,-0.0482328321808838,0.405056453624103,0,0.136592901666906,0,0.0695587533122159,0,-0.135221609138907,0,-0.583581002612196,0,0,0,0
XEM,0,0,0,0.236226243944616,0,0,0.272648624994747,0,0,-0.0546911672911224,0.192114714084162,-0.164551916532264,0.321774524888742,0,0.551486324078831,0,0,-0.233788273019004
DOGE,0,0,0,0,0,0,0,0,0,-0.0402718732882802,0,0,0,0,0,0,0,-0.035175301949925
XLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.291787334447666,0,0,0,-0.221949374803237,0,0.529413744585861,0,-0.114475922960058,0,0.149197057374728,0,0,0,0,0,0
NEO,0,0,0,0,-0.525456001376691,0,0,0,0,-0.037157719898099,0.0634596997775025,0,0.329153187627638,-0.786457642062512,0,0,0,0
DGB,0,0.223743029896412,0,-0.565888953802246,0,0,-0.443454358288534,0.848086138697962,0,0.0209171354639338,-0.193431431382156,0.261933682783103,0,0,0,0,0,0.355046118541036
BV010082.Index,0,0,0,0,0,0,0,0,0,0.0201957448443944,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0.00307676154297153,0,0.00930851098945666,0,0.125746584851559,0,0,-0.0245174259625317
SPX.Index,0,0.024946121116313,0,0,0,0,0,-0.0070229238732347,0,-0.0115477610187034,-0.00756220519638432,0,0.0116192504765101,0,0,0,0,-0.0530826316548481
VIX.Index,0,-0.351667984433143,0,0.449961256031357,0.288020220358334,0,0.387569263659065,-0.244269978695815,0,-0.177131565571123,-0.103690038086795,0,0.166494163790467,0.430314570883587,0,0,0,0
