,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,EOS,XLM,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.477217416738126,0.0515561663917232,0.0649404411219811,0.123459243956287,0,0,-0.109011409131164,0,0,0,0.0518448581053262,0,0,0,0,0,0
ETH,0,0,0,0.119811302309315,6.93889390390723e-18,0,0,0.446355170271635,0,0,0,0,0,0.0548504995131307,0.0661393339010125,0,0,0,0,0
XRP,0,0,0,0,0,0,0.368460835521475,0,0,0.160278183011009,0,0,0,0.167162205402915,0.050970879387267,0,0,0,0,0
BCH,0.500524409543238,0.210533252707705,0,0,0,0.172181142962118,0,0,0,0,0.125807603317484,0.25932618252616,0.109467552405411,-0.0251380045718969,0,0,0,0,0,0.154641562408391
ADA,0,0,0,0,0,0,0.584850168075832,0,0.137648368440485,0.0647270957751551,0,0,0,0.0655820880368853,-0.108088931989156,0,0,0,0,0
LTC,0.42965017330731,0,0,0.0356937310319275,0,0,0,0,0,0,0,0.240073418637114,0,0,0.178610727094897,0,0,0,0,0
XEM,0.269981448805622,0,0,0,0.29508490685885,0,0,0,0,0.369957885210217,0,0,0,0,0.116447196068334,0,0,0,0,0
NEO,0,0.680234399548352,-0.0856960726349416,0,0.178565482482232,0,0,0,0,0.15423213917501,0,0,0.00969595932330456,-0.055211042126924,0,0,0,0,0,0
EOS,0,0,0,0,0.354526152039217,0,0,-0.0739884392242385,0,0,0,0.17829090345062,0,0,0.411405418165855,0,0,0,0,0
XLM,0,0,0.0367481909167019,0,0.45478764412385,0,0.664324714595771,0.079454932383065,0,0,0,0,0,0,-0.116540006455089,0,0,0,0,0
MIOTA,-0.0943477343600053,0.21995389552078,0,0.396940777361913,0,0.0998627640363579,-0.336346269775507,0.124519838952302,0,0.340858056175973,0,0,0,0.0983164361486893,0.125121483120452,0,0,0,0,0
DASH,0,0.274604990507168,0.2460515238776,0,0,0.39728700458051,-0.215018824169903,0,0.0438777120761327,-0.0247309262990202,0,0,0.22624565317534,0.0504273396224051,0,0,0,0,0,0.105907953367053
XMR,0,0,0,0.0224527716777192,0.122117492427325,0,0,0.210897675878607,0,0.0508750868093606,0.0414864277914594,0.167653240555041,0,0,0.265191409120397,0,0,0,0,0
TRX,0,0,0.839283495423854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0.138242596941183,0,0.191630024900891,0.132352024861712,-0.176357309741114,0,0,0,0.100244809949682,0,0,0,0.698602803421871,0.0600446806632347,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00740561186597533,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0406175744694973,-0.113699514904225,0,0,0,0,0.0337311269037655,-0.0136211448832753,0,0,0,-0.06054388485201,0.0702358832334971,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.0258144312400263,0,-0.00839191871031742,0,0,-0.00916815697014671,0,0,-0.00294875737571403,-0.00486384040312651,0.0136420168872046,0,0,0,0,-0.0270066058991349
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
