,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0740630200185388,-0.0849694109756164,0,0.517175526933851,0,-0.00959658110843441,0,0.0622364472019034,0.336701559448268,-0.0225106124359151,0,0,0,0,0,0
XRP,0,-0.718294068715619,0,0,0,0,0,0.25001639143251,-0.811575784657427,0,0,0.1102680386625,0.676282574338485,0,0,0,0,0.152307236595412
XEM,0,0,0.454373730996044,0,0,0,0,0,0.386297937999065,0.292505666501034,0,-0.166696109511906,0,0,0,0,0,0
LTC,0,0,0,0.170302810763237,0,0,0,0.0174332949192685,0,0,0,-0.0619851367276963,0,0,0,0,0,0
ETC,0,0.694757790605771,0,0.088406212262116,0.0234310936874333,0,0,0,0,0,0,0,0,0,0,0,0,0.110215927002524
DASH,0,0.141241720267705,0,0,0,0,0,0.0114943783940476,0.485072677540113,0,0,-0.0275059187852535,-0.0230279293918291,0,0,0,0,0.0186914442315374
XLM,0,0,0.240916191743173,0,0,0,0,0,0,0,0,0,0.182006273203002,0,0,0,0,0
XMR,0,-0.127218032575868,0,0.105988046821639,0.11761363376938,0,0.711103797638286,0.00588275028479059,0,0,0,0.00592521566769196,0.123074685213045,0,0,0,0,0
DOGE,0,0,0,0.324294030396398,0.109159466803545,0,0,0.0655056510498613,0,0,0,0.331019837016889,0,0,0,0,0,0
ZEC,0,0.23306028520224,0,0.0390993133595387,-0.113026122318708,0,0,0.0261755322887053,0,0.106337880812123,0,-0.0167110033457641,0.104521801133758,0,0,0,0,-0.039364322635968
DGB,0,0,0.173136607595508,0,-0.215106221581613,-0.483739805774003,0,0.0251828219851535,0,0.949013026353886,0,0,0,0,0,0,0,-0.530740648011031
NEO,0,0.384420237438606,0.120424580233782,-0.137720532928395,0.100715021750635,0,0,0,0.787730399375552,-0.0933457035366891,0.378755330564944,0.0309127451666672,0,0,0,0,0,0
BV010082.Index,0,0.0216972923402573,-0.0088641468289511,0,0,0.0147734846027925,-0.118040223523435,0.0237848815649419,0,-0.0216786190843702,0,-0.00174918661551926,0.0468285394139716,0,0,0,0,-0.0660566131938485
CVIX.Index,0,-0.00210396579195645,3.46944695195361e-18,0.0391081144510719,-0.0504114305857492,8.67361737988404e-19,0.117169448432585,-0.0194286704925383,0.0768942533941656,-0.00580017679746511,0,0.0321014440413131,0,0,0,0,0,0.140480252167293
DXY.Curncy,0,0.0194598419475277,0.00768521002456614,-0.00924521593079979,0,0.00828797826122812,-0.0173802222017744,0.00340305889237029,0,-0.00567075050297934,0,-0.00583418531014499,-0.00507107970895825,0,0,0,0,0
SPX.Index,0,0,0,-0.0112983769517906,0,-0.00224400002146194,0,0.00513722943618817,0,0,0,0.00267872626862117,0,0,0,0,0,-0.026080486262834
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
