,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0521627666376712,0.227020630714697,0.10499297515446,0.659007516465022,0.142168049300674,-0.583407000779267,0.0208531551018493,-0.522026083700339,0,0,-0.173377734878318,0.982107159452166,0,0,0,0,0
ETH,0,0,0.724196193894054,0.0328994305044567,0.388413207293636,0,0,0.0833377459831163,0,0.0316108078750012,0,0,0.0733138325009619,-0.0582183859231659,0,0,0,0,0,0
XRP,0.0230888058684281,0.47360545033118,0,-0.0126076715160208,0,0.0219531349681791,0,0,0,0,0,0.0506586679580763,0.159838289320211,0.00592997207148221,0,0,0,0,0,0
BCH,-1.16447027188948,0,0,0,-0.353590859899793,0.98500287367578,0.927669586566148,-0.813999619593572,0,-0.110340598459658,0,0.516973560937371,1.80913147404937,-1.47979534943736,0,0,0,0,0,0
LTC,0.165186286304394,0.17564107153893,0,-0.0254478655049842,0,-0.0874107077051071,0.0581629220604921,0,0.404113305531607,-0.0602003568952012,0,0,0,6.93889390390723e-18,0.15058331797434,0,0,0,0,0
XEM,0.186766997964455,0,0,0.167242749074957,0,0,0.342469529138709,0.233170788374022,0,0.0408865215736495,0,0,0,0.0799212003604927,0,0,0,0,0,0
DASH,0.159338416811859,0,0.198305859466781,0.0290137582817498,0.231319227544015,0,0,0,0,0.0755957086183963,0.22271592015513,-0.111092448797616,0,0,0,0,0,0,0,0
MIOTA,0,0.507495268156892,0,0,0,0,0,0,0,0,0.404496636549767,0,0.252954925088778,0,0,0,0,0,0,0
ETC,0,0.283919688949017,0,0.0282650005411338,0.1871494197093,0,0.0987191083370699,0,0,0,0.0501599652960169,0,0,0,0.0649675169514971,0,0,0,0,0
NEO,0.487450704556539,0.244320191841925,0,0.11121460610498,0,0.279138186126706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0901463075071676,0,0,0.474319348621363,0.0270538846061708,0,0,0,0,0,0.44218590582021,0,0,0,0,0,0
EOS,0,0,0,0.024016536914264,0,0,0,0,0,0.0682575698480583,0,0,0,0.0940417312467159,0.692774299647599,0,0,0,0,0
ZEC,0,0.41852924479661,0,0.0199057627829316,0,0,0,0,0,0,0.377846818537808,0,0,0.0457013232970278,0,0,0,0,0,0
XLM,-0.198344181906066,0,0,-0.110876351392458,0,0,0,0,0.139849519198103,0.0237604596739791,0.509001753135398,0.0768919226005957,0.377963883626479,0,0,0,0,0,0,0
DOGE,0.085933666683684,0.0934456605788041,0,0,0,0.0656248347804017,0,0,0,0.0188776014097069,0.178489618831197,0.278854524531797,0,0.10761093627347,0,0,0,0,0,0
BV010082.Index,-0.0286455110704764,0.0269221883385453,0,0,0,0,0,0,0.0167335745082157,0.0211582749340575,0,0,0,-0.0419710233881537,0.0489156825410997,0,0,0,0,0
CVIX.Index,0,-0.12487914474742,0,-0.0135960778633029,0,0,0,0.0327875046916517,0,0.0224237255775238,0,0,-0.0107366351505878,0,0,0,0,0,0,0.244004330952581
DXY.Curncy,0.0277203185575481,0,0,0,0,0,0,0.00529330484858511,0,-0.00768540887140232,0,-0.0158984590445269,0,-0.00836984667035407,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,-0.0205691946518546,0,0,0,0,0,0,0,0,0,0,-0.0333594454194107,0,0,0,0,0,0,0
