,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.188263962761658,-0.0506885399093777,0.082217280304218,0,0,0,0,0,0,0.0219131508044984,0.455286741790969,0,0,0,0,0,0,0.00828094205690761
XRP,0,0,0,-0.0382842771276467,0,0,0,0,-0.0862671021674183,0.44958304048539,0,0.204386098739475,0,0,0.103771679822983,0,0,0,0,0.0257901544308121
ETH,0,0.0578542296712023,0,0.104228073165085,0.0110014923079681,0.195080235424659,0.0575953826266299,0.0848408038993856,0,0.192605676514713,0,0,0,0,0.0248159122993133,0,0,0,0,0
BCH,0,0,0,0,0,0,0.634268580124941,0.491456676974456,0,0,0,0,0,0.0898742299532355,0,0,0,0,0,0.105669784968903
XLM,0,0.115738865306862,0,0,0,0,0,0.841137615722654,0,0,0,0,0,0,0,0,0,0,0,-0.0833287158914515
EOS,0,0.0402848580741404,0.200040953015055,0,0,0,0,0.34661125228353,0,0.172161850606103,0,0,0,0.183875893024512,0,0,0,0,0,0
LTC,0,0,0.223728913921944,0.129949419470098,0,0.0259187398666696,0,0.187605508333933,0,0.166842031123904,0,0.221446446760792,0,0,0,0,0,0,0,0
ADA,0,0,0,0.240945097407714,0.0712806856217392,0.27659942344327,0,0,0,0,0.234169683790624,0,0,0.145693845909101,0.0250881667607915,0,0,0,0,-1.6940658945086e-21
XMR,0,0,0,0.206750102486658,0,0,0,0,0,0,0,0.215243866971203,0,0,0,0,0,0,0,0
TRX,0,0.00523173763288666,0,0,0.0975909381242213,0,0.413096874962191,-6.93889390390723e-18,0.172419196656275,0,0.0319389885706858,0.0610879107268732,0.199711886619894,0,0,0,0,0,0,-0.0139900117599403
DASH,0,0,0,0.183160060930454,0,0,0,0.0678472570047249,0.0441665016263876,0.209992852961476,0,0.187689825585166,0,0,0.134513806905608,0,0,0,0,-0.0110156683176639
MIOTA,0,0,0,0,0,0,0.307899838927171,-1.38777878078145e-17,0.114050106173216,0.132015991381442,0,0,0,0.266260524208688,0.191174848858965,0,0,0,0,0.0593478273376199
BNB,0.422789022120947,0,0,0.0347701793614958,0,0.0256981235790046,0,0,0.0213789731521215,0.194434861313787,0,0,0,0,0,0,0,0,0,0.00352825144002788
NEO,0,0,0,0.127479303055652,0.102760025938372,0.413588911949386,0,0,0.168935534342328,0,0,0.0601815774090049,0,0,0,0,0,0,0,-0.0247909706613605
XEM,0,0.0665022141094516,0,0.166814569426854,0.0981009733825001,0,0,0,0,0,0,0.438390429783787,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712893437397929
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449052468732715
DXY.Curncy,-0.03734334185749,-0.0212586261804274,0,-0.0530321558037994,-0.0190463544236466,0,0.121205125296491,0,0,0,0,0.0341864624640952,0,-0.0203900592444976,-0.0143122542246238,0.141639650637298,0,0,0.0334171956926377,0.0444425522778031
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11264162952762
VIX.Index,4.3367935431519e-05,3.23410298653725e-05,2.11758236813575e-22,0,0,0,0,0,0,0,0,0,0,0,2.11758236813575e-22,0,0.260207320088049,0,-2.91101205489316,0
