,BTC,ETH,XRP,BCH,ADA,XLM,LTC,XEM,NEO,EOS,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.120688181945116,-0.138621437449205,0.15422813622306,0.145189529927827,0,0.428492420994389,0.0127879178232915,0.110544701074753,0,0,0,0.150066978263298,0.0943880286830448,-0.0356570944325142,0,0,0,0,-0.289928196710238
ETH,0,0,0,0,0,0,0,0.0991715079673687,0.527415491117749,0,0,0.0641275620513662,0.0466849171395237,0,0.0438844302910499,0,0,0,0,-0.22319680817242
XRP,0,0,0,0,0,0.333033110485612,0,0.162088421938786,0,0,0,0,0,0.370969105609437,0.112165770897302,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0215477014488012,0.14886787611209,0.18167980266326,0.29643736744779,0.258982210859722,0.102739380611186,0,0,0,0,0,0,0
ADA,0.250471824058097,0,0,0,0,0.574380054676028,0,0.171633954949731,0,0.0517414981030528,0,0,0,0,-0.047356864895735,0,0,0,0,0
XLM,0,0,0.133414917006795,0,0.624066245416376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.458701357523253,0,0.039496598673769,-0.0463521022738851,-0.0733408529684177,0,0,0.0412640758566914,0,0.0578166744904616,0.13037502543437,0.115417952039822,0,0,0.146363797986733,0,0,0,0,-0.027665340512441
XEM,0,0.243099688600276,0.244708284376798,0,0.0777998459821599,0,0,0,0,0,0.194493213904435,0,0.280177760570536,0,0.0286419657934869,0,0,0,0,-0.188650508663232
NEO,0,0.576442113190958,-0.116743779561436,0,0.173476769150871,0.219854520549296,0,0,0,-0.0126988464995385,0,0,0,0,0.20183273554363,0,0,0,0,0
EOS,0,0,0,1.05344562625366,0.331992162961717,0,0,-0.21818647065442,-0.327138164675027,0,-0.742640265898826,0,0,0.134405907521598,0.560924454780107,0,0,0,0,-0.281578573646169
MIOTA,0,0,0,0.334805231097128,0,0,0,0.0960123021521659,0,0,0,0,0,0.149013020282545,0,0,0,0,0,0
DASH,0,0,0.128205008387747,0.035643490672756,0,0.1254896048071,0,0,0,0.0322530218019578,0,0,0.108399305207094,0.101612636171021,0.115365740318465,0,0,0,0,0
XMR,0,0,0,0.0818849789878301,0.277353948455217,0,0,0.0174323482190622,0.218114642361995,0,0,0.108453821116919,0,0.0554128047410162,0.128879194476689,0,0,0,0,0
TRX,0,0,0.432966915027513,0.44833676450758,0,0.190830139682971,0,0.206627016458185,-0.376433316930701,0,0,0,0,0,0,0,0,0,0,0.0195495232563064
BTG,0,0,0.184195812999761,0.131756704893093,0,-0.0530710535466159,0.616273160621796,0.0485828099164126,0,0,0,0,0.397747847333007,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00886261177261119,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0713217941558828,-0.0766290790876545,0,0,0,0.023875645276934,-0.0362089047114537,0.0166389949676655,0,0,0,-0.111381242013463,0.0758137834174668,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00944352654213123,0,0,0,0,0.00308952056156798,0,0,0,-0.00759596746757507,0.00583435132244217,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,-0.0360412089621035,0,0,0,0,0,0,0.0556761028029823,0,0,0,0,0
