,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0562846365110178,0,0,0,0.261830894830905,-0.045802558783842,0,0,-0.0454931687239038,0,0,0.0724230288484618,0,0,0,0,0.08236062723923
ETH,0,0,-0.000709231977397829,-0.120438513800933,0,0,0,0.0720993573104654,0.0316944120086415,-0.305115999547075,0.297490822448003,-0.123815077758862,0,-0.147890856399944,0.012785513912078,0,0.0922775740744171,0,0,0.0287777197094711
XRP,0,0,0,0,0.0177745727051994,0,-0.325588634763627,0,0.306010322655793,0,0,0,0,0.462342376771033,0,0,0,0,0,0
BCH,-0.197779987002013,-3.88733706730855,0,0,0.871990937560172,0,1.02081235355507,0,0,-0.767693343755093,0,-1.29226966951604,0,0,0,0,0,0,0,0.61207887661864
LTC,0,0,0,0,0,0.105402887548512,-0.109679272086194,-0.00904976201559593,0.00240556503527908,0,0.551691454037262,0,0,0,0,0,0,0,0,0.0158983792721744
XEM,0,0,0,-0.0875643717348666,0.375553783657525,0,0.183163165622738,-1.73472347597681e-18,-0.161859484986128,-0.00542024931509015,0,0,0,0.542105244102385,0,0,0,0,0,0.0646608106258301
DASH,0,0,0,0.122004387864372,-0.0438283367748985,0,0,0.146083305616148,0,0,0,1.04654588053505,0,0,-0.0184072309483723,0,0,0,0,-0.0842336056901716
MIOTA,1.08252377171764,0,0,0,-0.103885143698495,-0.161445950097227,0.438035338246949,0,0.0398318385551103,0.250263554966725,0,0,0,0,0,0,0,0,0,0.184486106282339
XMR,0,0,0.781706777412567,0.00587668478177004,-0.438230741749398,-0.190874268108779,3.46944695195361e-18,0,0,-0.0276546736576827,0,1.11079616296704,0,0,-0.118735065422337,0,0,0,0,0.00562597954922031
NEO,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.633027506191565,-0.0284182131936716,0,0,0,0,-0.22719208960331
ETC,0,0.548660677743159,0.0314606095005577,0.0110498393989263,0.177214716000923,0,0.0368680186558882,-0.0840074759738598,1.73472347597681e-18,0.0664580233067195,0,0,0.299023236523893,0.0241523762850374,-0.0255827144217429,0,0,0,0,0
ZEC,-0.0933895745420605,-0.284729590957332,-0.138176034823937,-0.0706717068341995,0,0.0693775109022659,0.593385336180517,-0.0262702341633122,0.0799814963985553,0,0,0,0.329622212462346,0.236627836967883,0,0,0,0,0,0.108695766536933
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,-0.37954324671509,0,0.518329390565219,-0.0819704432153973,-0.159118176202054,0.267387700246078,-0.0643916380428802,0.0682375044025778,0,-0.250548871852777,0,0.208379531176409,-0.34098931630948,0,0.0508931782363069,0,0,0,0,-0.0471114920814995
BAT,0.742803887526142,0,-0.0326085337381743,0,0.110848558500541,0,0,0,-0.166171029890927,-0.198698823703964,0,0.0907404291524856,0.288763686142228,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00402527060074073,0,0,0,0,0,0,0,0.0267298392003262,0.0302845418005167,0,0.0232930501543738,0,0,0,0,-0.0157320554337455
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.00628075064574249,0.0082050202796368,0.0207687184802556,0.0135181916651886,-0.00766186622979549,0.00404558130341111,-2.16840434497101e-19,0.0242832657608999,0,0,0.0262933125243972,0.0300197975582472,0,0,0,0,0,0.000537953886784265
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397005009440611
VIX.Index,0,0,0,0,0,0,-0.130783423866888,0,0,0,0,0,0,0,0,0,0,0,0,0
