,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.26997339578083,0,0,-0.00676823820910529,-0.122004770755676,0.195657523295011,0.00845100731677407,0,0,0.0103972933428235,0.114920673620108,0,0,0,0.0906461681871011
ETH,0,0,0,0,0,0.517866313802906,0,0,0.0614321745244522,0,0,0,0,0,-0.0232631715019735,0,-0.0706620199768677,0,0,-0.00815727287629974
XRP,0,0,0,0,0,0.287544194857056,0,0,0,0,0,0.0381963672686983,0,0.0538732425611298,0,0,0,0,0,0
BCH,0.0419308859107235,0,0,0,0.822239676921026,0,-0.07715384581678,0.362769049560732,-6.93889390390723e-18,0,0.118323866163906,0,0,0,0,0,0,0,0,-0.0351589684054473
LTC,0,0,0,0.315598477339288,0,0.302681651598269,0.0652319176014142,0,0,0,0,0,0,0,0,0,0.119925042993803,0,0,0.014002708977535
EOS,0,0.209632512524972,0.172369618717785,0.233469935316082,0.157676667876368,0,0,0,0,0,0,0.0495472935059691,0,0,0.0668317083276057,0,0,0,0,0.0216868371576955
BNB,0,0,0,0,0,0,0,0,0,0,0,0.143546517741856,0,0,0.161705719644445,0,0,0,0,0
XLM,0,0,0,0.0647724828602862,0,0.196694085184757,0.041028598465796,0,0.24743537394072,0,0,0,0.0319849676061653,0.104471682926932,0,0,0,0,0,-0.0425235503920579
ADA,0,0.137769967887229,0,0.128456932261158,0.220344503925291,0,0.184130644923221,0,0,0.533214112793786,0,0,0.35917894424835,-0.201920809198357,-0.170497841611675,0,-0.0949021313533968,0,0,-0.00826641273318867
TRX,-0.194148431525773,0,0.0956681755065512,0,0.0925531075922126,0.23936144189958,0,0,0.220753887293096,0,0,0.220615871831144,0,0.0398739472604751,0.030292065134369,0,0.193754893358392,0,0,0.0499814576765663
XMR,0,0,0,0,0,0,-0.120823988271225,0,-0.084881335113073,0,0,0.155305799316882,0.803791818866792,0.042760521169554,0.0577764599876831,0,-0.050185723944414,0,0,-0.0240442931725466
BSV,0.231503766805831,0,0,0,0,0,0,0,1.38777878078145e-17,0.583757683689926,0,0,0,0.205120786944347,-0.00622226042288246,0,0.0265874888492724,0,0,0
DASH,0,0,0,0,0,0,0,0.0302442317482111,0.25402523701884,0,0.340488724966179,0,0,0.0904983153542617,0.0702068836660921,0,0,0,0,-0.0277728729006638
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.381334523778471,0,0,0,0,-0.213188259963717,0,0,-0.031927500920032
ATOM,0,-0.252830270181953,0,0,0,1.99526303604548,0.915519862770449,0,-1.79960875506387,0,0,0,2.14760369046459,-0.757050475119241,0,0,5.55111512312578e-17,0,0,-0.0974067895578984
BV010082.Index,0,0.156598701557913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632438326320126
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00152130455215628,0.00150268190460687,0,0.0261293200383499,-0.0338324205358209,0,0.0191757462801573,-0.0308106451286027,0.00149122603616327,-0.0159223473192923,0,-0.00501773052093244,0,0,0,0,0.00429797668968581
SPX.Index,0,-0.0119336803616216,0,0,0,0,-0.00763927329482108,0,0,0,0,0,0,-0.00582133733106365,0,0,0.00393855758612255,0,0,-0.0592352543871497
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
