,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.288352746201432,0.0721080070344658,0,0,0,0.0402550244854824,0,0.0394459581819688,0.0927988363006828,0,0,0,0,0,0,0,0
ETH,0,0,0.0643351877717341,0.147080872322432,0.144612719154323,0,0,0,0.117689922722024,0.0662202451460564,0.166834570542269,0.0705439503669976,0,0,0,0,0,0,0,0
XRP,0,0,0,1.73472347597681e-18,0,0,0,0.127229446893848,0,0.0701513839809051,0.251081011717496,0.195827221715072,0.0432350708442207,0,-0.127058393349848,0,0,0,0,0
BCH,0,0,0.0376179578041129,0,0.0974573442157817,0.170940242248448,0,0.167786594904133,0.251274776729704,0.155138949841338,0,0.170305238642187,0,0,0,0,0,0,0,-0.0178989138971742
LTC,0.453776837870141,0,0,0.113623037157625,0,0.123457111110413,0,0.118444809118227,0,-0.0858280630845479,0,0.197755065559338,0,0,0,0,0,0,0,0
EOS,0,0,0,0.204869210594679,0,0,0.192148076665666,0.11488164868067,0.122809432864444,0,0.0596285351847325,0,0,0,0.089686967599056,0,0,0,0,0
BNB,0,0.159769330160185,0.0681411062148457,0,0.00323206444193191,0.626696592835916,0,0,1.73472347597681e-18,0,0,0.104606827735017,0,0,0,0,0,0,0,0.0834083656400642
BSV,0,0,0,0.403346529964033,0.0507960954309948,0.0954543839451565,0.207686511202843,0,0,0,0.286381931231491,0,0.12688675554928,0,0,-0.333389452453734,-0.174390006721507,0,0,0.161231532404496
XMR,0,0,0,0.491140715071435,0,0,0,0.15459958782734,0,-0.173186381260423,0,0,0,0,0,0,-0.0671866387689729,0,0,-0.30432106662316
XLM,0,0.2204536667808,0.532997230237635,0.185916217959864,0,0,0,0,-0.316642755344998,0,0,0.0761841924223132,0.054583361861896,0,0,0,0,0,0,0
ADA,0.233881368447171,0.311849881989501,0.481025579757584,-0.373406152590919,0.161871112254544,0,0,0.0652544253642556,0,0.0819669252477098,0,0,0,0.225142961351847,0.239703017034276,-0.309158811481191,-0.106473475612534,0,0,-0.111211094589277
TRX,0,0,0.272077851358461,0,0,0,0.497102155264636,3.46944695195361e-18,0,0,0.059981200413509,0,-0.0659677130645883,0.285845799865341,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0.411429938848707,0,0,-3.46944695195361e-18,0,-0.663579523337064,0,0.168043246616984,0.105724476369976,0,0,0.247082700455562,0,0,0.0248068891809907,0,0,0,0,-0.0733610441519322
ATOM,0,-0.706932044143695,-0.782506658799676,0,0,0.932290050919041,0,0.223594849974315,-0.172067286743758,0,0.77147349117772,0,0.171350816010958,0,0,0,0.324260806848011,0,0,0.071908012915603
BV010082.Index,0.111866355472189,0.263124139396354,0,0,-0.290953386591718,0,0.117283045834681,-0.167245688851191,0,0.0760517053123528,-0.230912093911999,0.0795307806025519,0.0713849586705102,-0.0143198097964652,0.0196025261893352,0,-0.0496453631439269,0,0,-0.115662256374908
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.0197559693805935,0.0554938342961194,0,0,0,0,-0.0309682271807682,0,0,0,-0.00448952610250981,-0.021541507142103,-0.01900119430828,0,0.0138557213451905,0,0,-0.0647026597693116
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
