,BTC,ETH,BCH,MIOTA,XRP,LTC,XEM,DASH,BTG,XMR,ADA,ETC,XLM,NEO,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.284550057025313,-0.167944150522086,0,0,-0.0590947878959327,0,0,0.144669929671709,1.73472347597681e-18,0,0,0,0,0,0
ETH,0,0,0.17448051266357,4.33680868994202e-19,0,0,-0.0403078406893658,0.13719859096776,-8.67361737988404e-19,0,-0.177578644858417,0.616649297765556,-0.103267418182562,0.025607131539287,0.0149525750726547,0,0,0,0,0
BCH,-0.0459289271083984,0.743665070243806,0,-0.228468214706258,1.07793978036552,-1.22412635360239,0.290024253423839,0,0.16148254894952,-0.203958958395711,0,-0.842569103698847,0.616171564877703,0.742752041673819,-0.203860574300338,0,0,0,0,0
MIOTA,0,0,-0.345881909984666,0,0,0,0.195397229575555,-0.185404881610039,0,0,0.1585186276272,0,0.616061180967502,0,0,0,0,0,0,0
XRP,0,0,0.100110908010888,0,0,0,0.0986229435689612,0,-1.73472347597681e-18,0,0.190209617058524,0.0297117822797507,-0.0287640551129575,0,0,0,0,0,0,0
LTC,0,0,0,-0.0272859591737237,0,0,0.198677720543762,0,0,0,-0.0316554857710917,0.270987944309613,0,0.150664509790313,0,0,0,0,0,0
XEM,-0.437924215307597,0,0.0185328145461893,0.219891541975802,0,0.583005176616522,0,0,0.0614928264892421,0.0412267332283991,0,0.00443865196559637,0,0,0,0,0,0,0,0
DASH,0.0482485498134006,1.4265803909802,0,-0.114573393365758,-1.31708619013902,1.61080802319776,0,0,0.25095748804268,0.982392012240542,0.936969897723179,-2.15164698481509,-0.253451754171439,0.0989450729843661,-0.0636695748686642,0,0,0,0,-0.183570395946345
BTG,0,0,0.657417707262295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0604035973359177,0.348599358090471,0,-0.0928745483247093,0.128505462818306,0,0,0.0201645571472628,0,0.178368820176904,0,0,0,0,0,0,0
ADA,0,0,0,0.0735678058673316,0,0,3.46944695195361e-18,0,0,0,0,0.83915953960595,0.101915256235452,0,0.0181070765225411,0,0,0,0,0
ETC,0.0524582419989255,0.682025244043201,0,0,0,0.210629859925925,0.0394872372290068,-0.0995997261564636,0.0111711324362386,0.209248895980264,0.301338949882874,0,0.0033316741529436,0,-0.0438189449716606,0,0,0,0,0
XLM,0,0,0.0566004574892159,0.0183676758022296,0,0,-0.0117771275231821,-0.125023919151991,-0.055432823028318,0.807390479128076,0.222225075910265,0,0,-0.0340375364590273,0.507295106432621,0,0,0,0,0
NEO,0,0,0.159042043875387,0,0,0.756215643416353,-0.154965758767385,0.0173455457001528,-0.182355881968652,0,0,0.168655719952107,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.037488017720538,0,0,-0.100069946277126,0,-0.220426677316426,0.290352102765926,0.363289187082004,0,0,0,0,0,0
BV010082.Index,-0.0126135176224005,0,-0.0197097709164898,0,0,0,0,0.0323024918153427,-0.00440255514491418,4.33680868994202e-19,-0.0223224921982534,0,0.0463886242588592,0.0229053988961375,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.00292018586789371,0,-0.0213748120866926,0.000571011509195738,0,-0.0254776645600047,0.01003819086305,0,0.00131531094464683,0,-0.00199768410566841,0,0.00484615068803359,0,-0.00871715512284625,0,0,0,0,-0.00572882176910904
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,-0.204247034543542,0,0,0.00369329420572762,0,0,-0.108478252088578,0,0.000871011226052544,0,0.0312952814488271,0,0,-2.16840434497101e-19,0,0,0,0,0,0
