,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.157698582789674,0.235804636318914,-0.15435722531031,0,0.277154360647455,0.0189038062662457,-0.282071141264875,0.176356286149408,-0.115146293854791,0.14228267783342,0,-0.174631896678957,0,0,0,0,0,-0.147248100151241
ETH,0,0,-0.00858624567481997,0,0.123418902299519,0,-0.0424970823554134,0,0.0261519392161891,0.0592427123150869,0.141367002564054,0.125700998092693,0,0.237349453605458,0,0,0,0,0,-0.078429564350472
BCH,-2.49776784662705,0,0,0,-0.515548034745512,0,0.623700689578278,0.305165412690567,-0.729141888837944,0,0,0.519357856318369,-0.349366422241604,0,-1.00316341571519,0,-0.553817086403946,0,0,0
XRP,0,0,0,0,-0.0399041164106191,0.119153523570634,0.0563302621959615,0.00475322162822452,0,0,0.00804602848222343,0,0,0.0516584918349402,0.143377891898156,0,0,0,0,0
DASH,-0.299592468466713,0,0.0186976218172892,0,0,0,0,0,0,0,0,0,0.375784276160989,0,-0.0467126935292667,0,0,0,0,0
LTC,0.15457021130405,0,-0.101234351165081,0.150724952092805,0,0,0,0,0,0,0.0695624561350225,0.0484418111877539,0.0383931414720261,0.135664381930518,0,0,0,0,0,0.148280036751304
MIOTA,0,0,0.0775379325306257,0,0,0.0382564932391984,0,-0.0420304103483503,0.327831700351134,0,0.108287451736202,0.127100173220567,0.134424519823328,0.343681972580584,0,0,0,0,0,0.438891753959711
NEO,0,0,0,0,0,0,-0.00796227555463574,0,0.114093550825081,0,0,0.162061444406554,0,0.295168937571375,0,0,0,0,0,-0.163517001788913
XMR,0,0,0.0532520767223142,0,0.145166950940098,0,0,0.11913660302421,0,0,0,0.0398745857072147,0,0.190716274397737,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418251187612427,0,0,0,0,0,0
ETC,-0.36385272734172,0.898478892975139,0.125524108838898,0,-0.303485925026342,0,0.103344074432164,-0.0201555574441373,0,0,0,0,0,0,0,0,0,0,0,0.13145149934327
EOS,0.0821696462321448,1.63103322203562,0.0572010019174067,0,0.0590053159513782,0,0,0.148921659470666,0,0,0,0,0,-0.816126801739984,0.995226503653151,0,0,0,0,0.293861130864693
ZEC,0,0,-0.0322962952409084,0,0.345564054376668,0,0.284453925031043,0.0193058993086997,0,0,0,0,0,0.0206399493946887,0,0,0,0,0,0
ADA,0,0,0,0,-0.00263223782569095,0.324466739402064,0.0915280290598206,0,0,0.78063881215905,0,-0.0842343679827897,0,0,0.323687754797397,0,0,0,0,0
XLM,0,0,-0.133783494133416,0,-0.0939832525700469,0,0,0,0,0,0,0.232567920871935,0,0.426835005444153,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0349626071881457,0,0,0,0.034002585705254,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00372703218813501,0,0.00270265372593033,0,-0.00273763427117579,0.00360057166617398,0,0,0,0.000648522179168211,0,0,0.00697818862550867,0,0,0,0,-0.0214320341435364
VIX.Index,-0.519642351569274,0,0,0,0,0.832720832657879,0.161630573779993,-0.141309890624551,0,0,0.00876771336779716,0.067550462248441,-0.134220429033723,-0.181181598729379,-0.131758633718017,0,1.23416122215859,0,0,0
