,BTC,ETH,XRP,BCH,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0468338938803167,0.147717753163598,0,0.468190807165195,-0.123786860022245,0.127334999416339,0,0,0,-0.402329485378443,-0.0538749729623338,0,0,0,0,0,0.091931459576635
ETH,0,0,0.806816069521586,0.0319447751015845,-0.0467373385732935,0.0661006154319013,-2.16840434497101e-19,0,0,0,0,-0.0952641951360813,0.444801874359387,0.00685428236915279,0,0,0,0,0,0.0723067035064613
XRP,0,0.365817979466875,0,-0.0103973771900066,0,0,0.092593617237506,0,0,0.100094943740901,0,0.0792222156397308,0,0,0.0248813997378105,0,0,0,0,0
BCH,0,0,0,0,0,-0.277370912303556,0,0.974826570814619,1.55946571268826,0,0,0,1.37982481831406,0,-2.37337014203062,0,0,0,0,0
MIOTA,0,0.241580655149988,0,0,0,0,0,-0.013946833310868,0,0,0.603183434697861,0,0,0.185068754522377,0,0,0,0,0,0.211130867122008
NEO,1.31905755445055,0,0,0,0,0,0,0.339778708820693,0,0,-0.171669745250445,0,-0.115733279277715,1.11920233733279,-0.353461877136335,0,0,0,0,-0.230229358442086
LTC,0.237298946761989,0.00895023527689051,0.0848533871607653,-0.0384697445762493,0,0.0109444365768233,0,0,0,0.11965463455236,0,0.0196895720124092,0.335331629580336,0,0,0,0,0,0,0.0137269676591918
XEM,-0.361522064885189,0,0,0.227249843350785,-0.113421519186397,0.169363247252891,0,0,0,0.96841230018632,0,0.374441162405195,-0.835373554722818,-0.206061309369238,0.641622441531021,0,0,0,0,0.153220645788279
DASH,0,0.00910350769320642,0,0.0433453382652337,0.104261297640038,0.021215488097104,0.280013952922993,0,0,0,0,0.0800755558241148,0,0.0631264372103747,0.049300547983261,0,0,0,0,0
ETC,0,0.243666809592645,0,3.46944695195361e-18,0,0,0,0.0884000423527514,0,0,0,0,0.157946193002236,0.0134319422059388,0,0,0,0,0,0
XMR,0,0,0,0.0929111908147712,0.159600118937705,-0.00124269118835296,0,0,0,0,0,0.00246089614188176,0,0,0.374731345493108,0,0,0,0,0
EOS,0.194707315103423,0,0.105854800514371,0.00134007248415542,0,0.0261073974344452,0,0.0571874246601398,0,0,0.268317133698863,0,0,0,0,0,0,0,0,-0.0914518015074536
ZEC,-0.108177522765276,0.363658172939942,0,0.0240072611334323,0,-0.043488687571705,0,-0.0551432435698067,0,0,0.266115486071648,0,0,0.0251456452244486,0.11895847586969,0,-0.391848780760211,0,0,0
BAT,-0.596271604327253,0.529089693720306,0,-0.087418799172199,-0.216365832544241,0.413087189288872,0,0,0,0,0.63007548371343,-0.365583740406121,0.0499268895398286,0,0,0,0,0,0,0.561597440616574
XLM,-0.0757005815481214,0.0228939659150524,0,-0.0660525997387504,0,-0.0197510233141082,0,0.0976069422026113,0,0.796838719435898,0.177684447845114,0,0.305973829811319,-6.93889390390723e-18,0,0,0,0,0,-0.0149898360371181
BV010082.Index,0,0,0,0,-0.0124249831734816,0,0,-0.0171359368928528,-0.0535408552646065,0,0.0904261920605552,0,0,0.0259824786122156,0,0,-0.178897713291799,0,0,-0.00635993755549769
CVIX.Index,-0.0482702852582435,0,0,0,0.013180367586475,0,0,-0.0167896908830122,0,0,0.0557303774781744,0.0263187375226318,-0.21198497828089,0.0765355416420696,0.050543067189855,-0.404012904621888,0,0,0,0.0295085751325057
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.00162701683635729,0,0,0,0,0,0,0.001893887860853,0,0,0,0,0,0,0,-0.0396671052170021
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
