,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.16577907624131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0.0919250721607722,0,0.0348764280153248,0.148517055848411,0.00889418305702271,0,0.167877700007168,-0.0394347456845115,-0.112943751022723,0,0.079661659330819,0.17781560878783,0.159410212570274,1.73472347597681e-18,0.138879270599644,-0.769363311095936,0,0,0,-0.0720226304384135
BCH,-2.77642651708254,1.15537476151911,0,0,0,0,-1.43661580216757,0.399604766599029,1.30905930986637,-0.135215816734938,0.102029602294649,0,-1.07118619229197,-0.57657264719052,-0.217921121927981,0,-2.75553082522966,0,0,-0.122774689544607
XRP,0,0,0,0,-0.0469547953062332,0.148212497638403,0.0359799333831777,0.0350582901383512,0.0397470498571835,0,0,0.00569079265519833,0,0.136320046294933,0.00743349722303531,0,0,0,0,0
DASH,-0.223625970549467,0,0.0207174993416412,0,0,-0.558019883175432,0,-0.148641700653777,0,0,-0.282443657512975,0,1.708387511495,-0.118067456093644,-0.20471817999604,0,0,0,0,0
LTC,0.0420348049404303,0.0960665710011111,-0.0522941106246363,0.561257802351931,-0.130758219519239,0,0,-0.0218854455120692,-0.128425982190619,0,0.0108152954446009,0,0.368037647988098,0,0.106311196774525,0,0,0,0,0.234698795651543
XMR,0,0.713049543967181,-0.126259143970141,0.170967261416097,0.590624058720766,-0.33709410640946,0,0.358544673605877,0.180396540556446,0,0.122617613874761,-0.562714384635175,-0.564690247236211,0.686767848782945,1.38777878078145e-17,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0568033791655168,0.0570011738199673,0,0.178974091735071,0,0,0,0,0,0
MIOTA,0.243743128102356,0,0.190884519613251,0,0,0,0.42281218050846,0,0,0,0.0652548054994215,0.0623690984104355,0.267604285030768,0,0.420586247680287,0,0,0,0,0.650751547086156
XEM,0,0,0,0,8.67361737988404e-19,0,0,0.0370281660618657,0,0,-0.0246136884608923,0,0,0,0.52094922309637,0,0,0,0,0
ETC,0,0,0.258780435017789,0,-0.451979608798238,0,0.689416427237842,-0.154680829367864,0.00125107845391858,0,0,0.330852185867051,0,0,-0.107931970027242,0,0,0,0,0.400660992398201
EOS,0,0.626241991508151,0,0,0.0588828287728058,0,0,0.230248768774653,0.17716464122052,0,0.0473288433613218,0,0,0.204081142407038,0,0,0,0,0,0
ZEC,0,0.17838541009523,-0.0168924145452809,0,0.40685485122802,0.360479181741394,0,0,0.171695450223418,0,0.0225909433526794,0,0,0.0163988937518783,0,0,0,0,0,-0.164465895245701
XLM,0,0,-0.0568028267576283,0,0,0,0,0,0,0,0,0,0,0,0.624314083515174,0,0,0,0,0
ADA,0,0,0,0,-0.00858523740040719,0.317097008109219,0,-0.0160090401768713,0.143139284466464,0.649768249025401,1.73472347597681e-18,-0.0749023397855992,-0.0990438609932211,0.29950894795186,0,0,0,0,0,1.38777878078145e-17
BV010082.Index,0,-0.192089450717795,-0.00305508717677919,0,0,0,0.0195100380157679,0.0216905107567095,0.00281424442983917,-0.0616019738408608,0,0.0487306807516469,0,0.028122749129433,0.0406038834577089,0,0,0,0,-0.0685133699327287
CVIX.Index,0,0,-0.0353384337872083,0,-2.71050543121376e-20,0,-0.0116060553046445,-0.0226048835281755,0,0,0,0,0,0,0,0,0,0,0,0.040911070694011
DXY.Curncy,-0.0109652948918871,-0.0573494793171786,-0.0106950446604862,0,0,0,0.0303962168166296,-0.00354170137474674,0,-0.00136945395118142,0.00183292580208839,0.0213646144523624,-0.0179858056732648,-0.0141184504935481,0.00844678960639417,0,0,0,0,-0.0199141988789641
SPX.Index,0,0,0.00187863341516966,0,0.00230831160247593,0,0.00167557442094208,0.00479647808196204,0,0,0,0.0020484784107132,0,0.00370214982211932,0,0,0,0,0,-0.0374626030114104
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
