,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,INNBCL,XTZ,LINK,LEO,XLM,XMR,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.170218849763423,0,0,0.0650539903771096,0,0,0,-0.0038639889891807,0.0749918804436232,0,0,0,0.30041088722775,0,0.247887213242866,0,0,0,-0.00931583068033045
ETH,0.0893301805160836,0,0,0.228525908679173,0.117265698784246,0,0.124266303049873,0.200189372502224,0,0.0200626820794649,0,0,0,0,0,0,0,0,0,0
XRP,0,0.179357909475141,0,0,0.092968805301535,0,0,0,0.00165890800914767,0,0,0,0,0.109554770165187,0.302437230752921,0,0,0,0,0
BCH,0,0.303122549660995,0,0,0.247106805297627,0.245188861694169,0,0,-0.000459622912022902,0.22620273875591,-0.142940133389392,0,-0.256391318400345,0,0.231806719744109,0,-0.0131480482692931,0,0,0.0106112136841769
BSV,0,0.299396811575522,0,0,0,0,0,0,-0.0139063162937386,0.105137818113346,0,0,0,0.31662605187722,0,0,0.023442055424655,0,0,0
LTC,0,0,0.106375992106463,0,0,0,0,0.0428480120804512,-0.00421469694173539,0.277478088322134,0,0,0.253646865330618,0,0.0323539545637628,0,0.0253977765160317,0,0,0
BNB,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.00324680610171437,0.116945897370751,0,0,0.231736329694454,0.51905017996101,0.0461093776270792,0,0,0,0,0
EOS,0,0.78605066766751,0,0,0.0665008397512094,0,0,0,-0.00437782093519104,0,-0.0119807505494088,0,0.100414557698976,0,0,0,0.0260159472076097,0,0,0
INNBCL,0,0,0,0,0,0,0,-2.63681007422493,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0.197323254569924,0,0.322623078910143,0.220135519853965,0.0881504093935462,0.0705219122658239,0,0.00127863306795666,0,0.109255529004253,0,0.100870491552489,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.593023557480217,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.041507230436381,0,0.00273516030759458,0.214964245096431,0.00528927825206732,0,0.117115572797061,0,0,0.464714082744044,0,0,-0.0461153628974252,0,0.0986867591976082,0
XMR,0.179738812242986,-3.46944695195361e-18,0.189871021774708,0.131820357800171,0,0,0.204499546411055,0,5.42101086242752e-20,0,-0.0492540564723659,0,0.160616375629137,0,0.235488253033393,-0.261478022053546,-0.0702339418642083,0,0,-0.124704527722722
ADA,0,0.321982784029023,0,0,0,0,0.0977735127595965,0,-0.00168175779351894,0.237786783452378,0,0,0,0.202211491825886,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-2.00837236994485e-06,0,0,0,0,0,0,0,-0.0916733327529558,0,0,0.0477373365726737
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00494187957536249,-0.1411498317633,0,0,0,0.0628372498218818,0,-0.000197862477550986,0.0433317800067585,0,0,0.0187573783122056,0,0,2.02517053224487e-05,0.00353497397614876,0,0,-0.0556231193382802
SPX.Index,0,0,0,0,0,0,0,0,0.00250860760274175,0,0,0,0,0,0,0,0,0,0,-0.197987603166723
VIX.Index,0,0.18636602087062,0.74805324232288,0.111654438246659,0,0,0.129515912177688,0,0.0108722648615199,0,-0.170335945504356,0,0,-0.99604238512279,0,0,-0.360428387941845,0,-0.6771895322718,0
