,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,NEO,TRX,XMR,EOS,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.122842103755007,0,0.0441563857769709,0.225820457588883,0,0,0,0,0.0534088003717734,0,0.116581110994423,0,0,0,0,0,0
ETH,0.0604202625965648,0,-0.0390719906109331,0,0,0,0.206616766791583,0,0,0,0.577196432148234,0.0797491612427768,0,0,-0.0325555884121068,0,0,0,0,0
XRP,0,0,0,0,0.552670312423804,0.0189559182836714,-0.103524261283344,0.033351215867395,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0.21712258597461,0,-0.147812356556651,0,0,0,0,0,-0.17985651129886,0.429060197962921,0,-3.46944695195361e-18,0.511681142151012,-0.167862111400513,0.38395528250593,0,0,0,0,0
ADA,0,0,0,0,0,0,-0.0484377920890528,0.613204132657463,0.0353333574085362,0,0,0.0867949044918494,0,0.27351327177335,-0.197717417548873,0,0,0,0,0
XEM,0,0,0,0.0758027518272059,0,0,0.154904459593191,0.46916410448695,0,0,0,0.054342319365367,0,0,0,0,0,0,0,0
LTC,0.549861961408289,0.152944969387071,-0.0300177164548917,0,0,0.113557603511603,0,0,0.0914153952151622,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
XLM,0,0,0,0,0.436159915452514,0.511223970469267,0,0,0,0,0,0,0.0197716033044559,0,0,0,0,0,0,0
MIOTA,0,0,1.73472347597681e-18,0,0,0,0.263840401418978,0.0904809412234091,0,0,0,0.0167343003495097,0,0.0597677483247575,0,0,0,0,0,0
DASH,0,0,0.0111182994275288,0.155371664233957,0,0,0,-0.0670150437494147,0,0,0,0.0183513947877079,-1.73472347597681e-18,0,0.63798760114106,0,0,0,0,0
NEO,0,0.366574387390316,0,0.0995400279838073,0,0.0663951716449023,-0.156967899202439,0.171169085047295,0,0,0,-0.0605077387129766,0.0161901925178998,0.098391025761933,0,0,0,0,0,0
TRX,0.224407592125241,0.95927263380914,-0.272511741768223,0,0.646310570556876,0.230226519563798,0,0,3.46944695195361e-18,0.627423233177277,-1.59474511969575,0,0,0.532801917845053,0,0,0,0,0,0
XMR,0,0,-0.0994531506301053,0.264690271601371,0,0,0,0.0710309255650707,0.0136096315344549,0.327089265699875,-0.11762468681029,-0.118002212584039,0,0.261588003259649,0.225474978195247,0,0,0,0,-0.391250335052338
EOS,0,0,-0.0201997192118492,-0.223356042641206,0.17390172758187,0.133931722122756,0.468355832684653,-0.0551164863220868,0,0,0.119228082053672,0.0842679477264782,0.206758954879821,0,0.392725418624211,0,0,0,0,0
BTG,0,0,0,0.308270912665702,0,0,0,0,0,0,0,0.00101082771619782,0.390934522686754,0,0,0,0,0,0,0
BV010082.Index,0,0,0.011738352846942,0.00958934670707663,0,0,0,0,-0.0307050669322447,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0236235868236326,0,0,0,0,0,0,0,0,-0.00671098568352229,0,-0.0201494343045282,-0.0067950709601835,0,0,0,0,0
DXY.Curncy,0,0,-0.00223300381454164,0,-0.00986754389443174,0,0.00504879464469598,-0.00146048313377768,0,0,0,0.00137941836713127,0,0.00385891141989909,0,0,0,0,0,0
SPX.Index,0,0,0,0,-1.05879118406788e-22,-1.0842021724855e-19,0,0,-0.00378981781563124,-0.00201054711420984,0,0.0013157436465593,0,0.00183863128822581,0,0,0,0,0,-0.0622756869522478
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
