,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0108086470282064,0.0810135166988695,0.876229783931442,0,0.0735551256446693,0.024544809251655,0,0,0,0,-0.102638128588495
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.288207659719793,0,0,0,0,0,0
DASH,0.630112579298215,0,0.12580857348602,0,0,0,0,-0.00923710372410261,0,0,0,0,0
DOGE,0.442121574390506,0,0.066922323917057,1.35525271560688e-20,0,0,0.304635648064049,0.0207295085379716,0,0,0,0,0.00329520250430163
XLM,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.517129629802118,0.0039044106534316,0,-0.172321936392578,0.694531037840781,0,0,-0.0782760576515639,0,0,0,0,0
DGB,2.25464508926978,2.8182466087813,0.644358652526313,-1.02212367999119,0,-1.27329500198656,-2.55720055992858,0,-1.0729236186155,-0.545600110356096,7.85514856368319,0,0.265216857722409
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295593
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,8.33836208728187e-07,0,0,0,0,-0.108843130693612
VIX.Index,-0.0767604953445578,-0.0665358782266251,-0.0406624877273339,0,0,0,0,0.0431740831262138,0,0,0,-6.83462211871792,0
