,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0508094058217183,0,0,0,0,0,0,0.00126649282867778,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0892016447817096,-0.151488459870016,0,0.292590011672506,-0.213412585356983,0.26931128222793,0.00801176449125471,0.408148598734066,0,0.328610221179583,0,0,-0.173672312922647,0,0,0
XRP,0,0,0,0,0,0,0,0,0.0940339044953739,0,0,0.497037782931259,0,0,0,0,0,0
LTC,0,-0.196926727650568,0.381721066319404,0,0,0,0,0,0.185953146595682,-0.280265200738523,0,1.73472347597681e-18,-0.296766214481254,0,0.2167028057916,0,0,0.184855418014336
DASH,0,0,0.0616173670901657,0,0,0,0,0,0,0,0,0.0522802294409821,0.0410419603563793,0,0,0,0,0
ETC,0,0,0,-0.155909092886331,0,0,0.221366649111077,0,0,0,0,0.147907973316311,-0.268084514988921,0,0,0,0,0.402680042610791
XEM,0,-0.70535965137594,0.278182322812452,-6.93889390390723e-18,0,0.62376393196127,0,0,-0.0798721134916727,0,-0.161260056376268,0.423285900629223,0.357426187647935,0,-1.0401936169818,0,0,-0.583373318644625
XMR,0,0.206297096664617,0.0712826029578944,0.111215550884283,0,-0.112553820559745,0,0,-0.0507349624726025,0,0.0285824104707724,0.137960649227685,0.0646217768230269,0,0,0,0,0
XLM,0,0,0.347673538577981,0,0,0,0,0,0,0,0.307403066168849,0,0.409582009763217,0,0,0,0,0
ZEC,0,0.00318610932230297,0.170726821230896,-0.177103809845631,0.65513543152213,0,0.128406743354854,0,0.121390653710424,0,0,0,-0.114574837181738,0,-0.0156460626760875,0,0,-0.0273713520818903
DOGE,0,0,0,0,0,0,0,0,0.279518446137509,0,0,0,0,0,0,0,0,0
NEO,0,0,0.471949213301145,0,0.332686341741568,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.51780152477898,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.0165310927825722,0,0,0,0,0,0,0,0,-0.0571710897629091
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0158955292206952,0.00187339361864209,0,0,-0.00615913406058022,-0.00697254693296469,0,-0.00380719095323347,0,-0.00154002456831781,-0.00446191296430513,0,0,0,0,0,0.0270112985865035
SPX.Index,0,0,0,0,0,0,0.00243820990312655,0,0,0,0.00254027262607025,-0.00289230620566449,0,0,0,0,0,-0.0323247131253911
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
