,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.179091238372449,0.0926994639756158,0,-0.0198841156161144,0,0,0.130971237147851,0.221026064948397,0.203884011990169,0.375000167304911,0.0734777754136419,-0.112967714358379,0,0,0,0,0,0.0653686469595511
ETH,0,0,0.158234526603876,0,0,0.0388838588633023,0,0,0,0,0.0895131521467734,0.298771163834638,0.0728872192171646,6.93889390390723e-18,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0822907743779228,0.0970351563484839,0.0318848808840038,0.124603517770147,0,0.208808249272681,0,0,0,0.273887214688241,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0.12363425200951,0.503910961740024,0,0.179037602387097,0.0564250941638837,0,0,0,0,0
LTC,0,0,0,0.188522939473188,0,8.67361737988404e-19,0,0,0,0,0.201798864538796,0.0669863519051143,0,0.0992483927926684,0.087454723373759,0,0,0,0,0
ADA,0,0,0,0,0,0,0.341568327078084,0,0.481367593161482,0,0,0,0,0.211875346443115,0,0,0,0,0,-0.0237595275866668
XLM,0,0,0.482381088080811,0,0,0,0,0.482739599544207,0,0.0188395615609824,0,0,0.12184730976768,0,8.67361737988404e-19,0,0,0,0,-0.0608544172899475
NEO,0,0,0,0,0,0.148539473246249,0.235595210221301,0,0.0383670294368103,0,0.0944547723749395,0,0,0.155168696670898,0.203799923415213,0,0,0,0,0
EOS,0,0,0,0.282862129604353,0,0.359627087413298,0,0,0,0,0,0,0.0605011640263129,0,0.0663109346922525,0,0,0,0,0
MIOTA,0.203300817631793,0,0,0,0,0,0.268914708549597,0,0,0,0.0218940800233002,0.455039985454008,0,0.171680190275459,0.00271071666184877,0,0,0,0,0
XMR,0.327654914454008,0.29384070538078,0.26794069990808,0,0.239730575508789,0,0.116979669580092,0,0,0,0,0.187114554368538,-0.154207173198593,0.110759021674417,-0.12634208659134,0,0,0,0,0
DASH,0.106559756694185,0,0,0.500058184298053,0,0,0.0350263429519758,0,0,0.258683314982205,3.46944695195361e-18,0,0.0100017974072875,0,0,0,0,0,0,-0.0495836414573226
XEM,0.764412730587391,0.582627659597762,0,-0.816307686731919,0,0,0.413328709290804,0,-0.107437586405661,-0.149299544483598,-1.08775844522541,1.07412557011343,0,0.404529671088947,0,-0.500944160364815,-2.46834487306499,0,0,0.123569661453173
TRX,0,0,0,0.586538241711946,0,0.215232706538331,0,0,0,0.177107650767248,1.73472347597681e-18,0,0.0638094515785829,0,0.0722003545918282,0,0,0,0,0
ETC,0,0,0.162814506389604,0,0,0.132395709349342,0.239971930040205,0.0901826000040448,0.195822141841397,0.240726589691663,-0.0385258882479577,0,0,0,0,0,0,0,0,-0.00731655450104241
BV010082.Index,0,0,-0.0296854250721259,0.0262373339154614,0,0,0,0,0,0,-0.0227469613028833,0,-0.0295686634733496,0,0.0126895744517108,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.00311971776492211,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727699563180257
VIX.Index,0,0,0,-0.083583419553865,0,0.0239499770805232,0,0,-0.202439041289776,0,0.255741359281767,-0.653882414608601,0.182401373101921,0.628082954591783,0,0,-0.36177103798844,0,-2.92552924464059,0
