,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0286411432436819,0,0,0,0.225231676519425,0.0208600366249498,0,0,0,0,0,0.0446438350153005,0,0,0,0,0
ETH,0,0,-0.208416425012553,0,0.324619842393362,-0.127197702199426,0.108509917245638,0,0.083187481665407,0.220524092344121,0.198554648086818,0.129219419129856,0.128337006188483,-0.101279859258935,0,0,0,0,0.386289515122349
XRP,0,-0.417638514080659,0,0,-0.0730855427069833,0,0.820960253459933,-0.245083950528937,0,0.724603376112384,0,-0.0929379288070799,0.0822411156635732,-0.106849059904302,0,0,0,0,0
XEM,0,0,0.159203663095646,0,-0.0243537855983464,0.331701880260544,0,0,0,0.107494980655319,0.172552312116087,0.182635309479436,0,0.0018883717957759,0,0,0,0,0
ETC,0,0.312092587356552,-0.250874411534774,0,0,0,0,0,-0.0772288583784904,0,0,0,0,0.345323571267616,0,0,0,0,0
LTC,0,-0.191529480432784,0,0.106378613891784,0,0,0,0.448656590371621,-0.0371484355505275,0,0,0,0.0260974063562452,0.227994172010158,0,0,0,0,0
DASH,0.234454782806137,0.301584412176392,0.394390425171428,0,0,0,0,0.112473208490724,0,-0.0456718210297144,0.270853549581031,-0.0848203402520162,-0.0764025303602874,0.129839742854255,0,0,0,0,0
XMR,0,0.005121616076594,0,0,-0.0424561874177896,0.330786426155159,0.581740726552076,0,0,0.242802112224618,0,0,-0.0064314751822723,-0.16108665984142,0,0,0,0,0
DGB,0,0,0,-0.0559538408392391,-0.609134082769915,0,0.300532355292365,0.125751358353453,0,0,-0.788568997416247,0.962707258885666,0.015057163928324,0,0,0,0,0,-1.27974454155493
XLM,0,0.167217468837242,0.809318974347183,0,0.0930097205432246,0,0,0.23415901836605,-1.73472347597681e-18,0,-0.300492042263649,0.20418502085956,0,0,0,0,0,0,0
ZEC,0,0.33779122807734,0,0,0,0,0,0.128562480437685,0,0,0,0.0461375302285942,0,0,0,0,0,0,0
DOGE,0,0,-0.106948619412972,0.665760817312699,0,0,0,-0.0294889214670803,0.188959073298497,-0.0436471570165024,0.204906870684944,0,0,0.100745427322566,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0.265179280374288,-0.106303433978373,0.308541778211719,0.177806376290872,1.14553169140433,0.647664705207454,1.38777878078145e-17,-0.666288993169075,0.0615177937103454,0,0.144378882117572,0,-0.171343901650721,0,0,0,0,0,-0.558572707134773
BV010082.Index,0.0115010484500668,0,-0.00945551481704227,0,0.00359482040570116,-0.0347916583300466,0,0.0175715028121256,0,0.0106697327376436,-0.0100100910594534,-0.00993298201619358,-0.00390916386424983,0.0322292435829447,0,0,0,0,-0.0211941845792167
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00983185543712827,-0.00437646959669977,0,0.0045329747790141,0,0,0,-0.00809410639419029,0,-0.00525363781273218,0,-0.00111569284810936,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0.00437981375829988,-0.00280956093023963,-2.71050543121376e-20,0,0,0,0,0,0,0,-0.0206859329048374
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
