,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.137505856632391,0,0.067327184459583,0.0868136032498135,0,0.108288281111523,0,0,0.137914613105104,0,0.0745947732811339,0,0,0.0773438551307745,0,0,0,0,-0.00794147754485388
ETH,0,0,0,0.420248785803673,0,0,0,0,0.270992690879843,0,0.0410433346738524,0.134653989373601,0,0,0.0163008849454092,0,0,0,0,0
XRP,0,0,0,0.326297849558658,0,0,0.051217722771564,0,0.178349728159566,0.104560410036301,0,0,0,0.0830877340985259,-0.00800450558399581,0,0,0,0,0.0444024896569709
BCH,0,0.492163635989368,0,0,0.269938050038254,0,0,0.022154671913225,0.0485565929151872,0.054933172241914,0.0761611686664084,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0398339899888448
EOS,0,0,0,0,0,0,0.344089497854714,1.09822514125171,0,0.0571143580692169,0,-0.0873884288280216,0,-0.0430593284383505,0,0.161546866623089,0,0,0,-0.103307532585726
LTC,0,0.13611705503382,0,0.0538417686261841,0.181100736675526,0,0.109303384966415,0,0,0,0,0.212488266455166,0.0884437506255363,0,0.0249971927035794,0,0,0,0,0
XLM,0,0,0,0.402553026354339,0.0384587026496401,0,0,0,0.0716666208438959,0.110512742191014,0,0,0,0.127793808874945,0,0,0,0,0,0
ADA,0,0.333291609504149,0,0,0.242495545059781,0,0,0,0.16551180741595,0,0,0,0,0.0808077876731816,0,0,0,0,0,0
TRX,0,0.599021386192461,0,0,0.0910994137574653,0,0.0219647072969349,0,0,0.189666602014123,0,0,0,0,0,0,0,0,0,0
MIOTA,1.51886514114304,0,0,0,0,-0.502519707023376,0,0,0.106308108018891,0,0.15908308674648,0,0.206543599296574,-0.0736465881279105,0,0,0,0,0,-0.128237535553331
NEO,0,0,0,0,0,0.29501492689846,0,0,0.170153171237885,0.162273477139814,0,0,0.310763587492583,0,0,0,0,0,0,-0.0121207647987507
DASH,0,0,0,0,-0.139739296416215,0,0.424145118754657,0,-0.189039248765198,0,0.440256358675911,0,0.276660403475804,-0.112561459440205,0.191319877748629,0,0,0,0,0.075801972363168
XMR,0,0.189787993354468,0,0.359951434724644,0.149597818782209,0,0,0,-6.93889390390723e-18,0,0,0.326965790181193,0,0,-0.146624432318674,0,-0.301735414652182,0,0,0
BNB,0,-1.29843499214351,0.56077850581814,0,0,0,0,1.57714714772088,-0.305707166341344,0.171809078627599,0,-0.139197297612269,0,0,0.191258524964062,-1.11251522085969,-0.84483567599379,0,0,-0.165588700750037
ETC,1.80062571879247,0,0,0.262780293946506,0,0.0300032625362845,-0.859640767705192,0,0.535963114662421,0,-0.720871478981223,1.0372242063033,-0.71131448492336,0.194185366813287,0,0,0,0,0,-0.175358506320716
BV010082.Index,0,0,0,-0.0688903044982786,0.132243615423508,0.0154058988480736,0,0,0,-0.0224187187933089,0,0,0,-0.0526923936406178,0,0,-0.215193390716563,0,0,-0.0265943687879526
CVIX.Index,0,0,0,0.0325717252077466,0.155183501239464,0.210537069647764,0,0,0.0464406207686647,-0.0412029930360472,0,0,-0.346868994115821,-0.145456977735231,0,-0.62270581613588,0,0,0,0.0454703701680566
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,-0.0176808224860449,0,0,0.0050238929710583,0,0,0,0,0
SPX.Index,0,0,0,0.0115085951660491,0.0110813361878925,0,-0.0100031853313404,0,-0.0148062520771734,0,0,-0.0168840038962796,0,0,0.00419625659944807,0,0,0,0,-0.0472907716846943
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
