,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.307316370451343,0,0,0.105447763251661,0.0336078629845232,0.0190264023822982,0.0240490093517861,0,0.116909094207988,0,0,0,0,0
ETH,0,0,0,0,0,0,0.308346230277353,0.195168200512906,0.128880067321524,0.068281573791044,0.0727452640537786,0.0951764101472052,0,0,0,0,0,0,0,0
BCH,0,0,0,0,-5.55111512312578e-17,0,0.279881764501443,0,0.131661106483703,0.304991157288864,0.215304496013462,0,-0.13040957713965,0,0.0514853434004796,0,0,0,0,0.279563730898542
XRP,0,0,0.0270136251282919,0,0,0,0.105243375472082,0.0739493147431513,0.230388895690391,0,0,0.074741701916318,0.0715644444461341,0,0,0,0,0,0,0
LTC,0,0,0.0661416073442544,0,0,0,0.122881934245197,0,0,0.629692454851406,0.0355520896552073,0,0.125048688334762,0.00589733058714741,0,0,0,0,0,0
DASH,0,0,0.0769254944566168,0,0,0,0.157720067627973,0,0,0,0,0.392613703446293,0.111382560160489,0,0,0,0,0,0,0
XEM,0,0,0.0879542830056595,0.207569333641558,0,0,0,0.128064759062616,0.23014021861755,0,0,0.0604158542275794,0.0527322930146479,0,0.0621600940326485,0,0,0,0,0
MIOTA,0,1.04955075081859,0.20940597667932,0,-0.129023998109275,-0.053596312644164,-0.450423527001165,0,0,-0.187229144537838,-0.474903544824876,0,6.93889390390723e-18,0.594434285477306,0.636990877460347,0,0,0,0,0.158336936503775
XMR,0,0.336089757098434,0.0329612998813031,0,0,0,0.439654442956254,0,0,0.0378664525620237,0.0340633301676255,0,0,0.0626387104072447,0,0,0,0,0,0
ETC,0,0,0,0,1.19090062449104,0,0,0.00376373966302541,0,0,-0.0749423467534178,0,-0.0950293066506096,0,0,0,0,0,0,0
NEO,0,1.95294700649726,0.828416279265644,0,0,0,-0.82911149832386,-0.581746313292252,-0.326201691074826,-0.718994151576059,0,0,0.59612951378015,0.13396253806092,0.372809366144181,0,0,0,0,-0.517037047438536
ZEC,0,0,0.0768222676850154,0,0,0.122994636672206,0.0602051367578649,0,0,0.165656943550911,0,0,3.46944695195361e-18,0.154136861922437,0.143317316304938,0,0,0,0,0.0670575304620436
BAT,0,0,-0.777678374926695,0,1.30392086415949,0.455753670188328,0.0384438831523196,0,-0.208187207186326,-0.605658669626875,0.275862677000982,0.482689859967535,0,0,0,0,0,0,0,0.165700297653716
EOS,0,0,0,0,0,0,4.33680868994202e-19,0.351752849987235,0,0,0.30719707023053,0.0129395591907725,0.123368871237824,0,0,0,0,0,0,-0.0925451471095774
XLM,0,0,0,0,0.493834753843443,0,0.201225614903385,0.205719500781833,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.0460112393416568,0.0250940811729392,-0.0210694856866661,0,0.019908928474909,-0.012909047964765,0.0150230266534121,0,-0.0775004434176682,0,0,0,0,-0.115009514226377
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.0205851311421876,0.0102095244886791,0,-0.0137001202743639,0,-0.00432538910158184,0,-0.00721730135910989,0.0205362252127806,-0.00678748541357881,0,0,0,0,-0.0189765496305195
SPX.Index,0,-0.0306694861345398,0,0.00248826446196416,0,0,0.00162624286555089,0.00496419987911684,0,0.00644731609600145,0.00172984163324028,0.0132102870106235,0,0,0,0,0,0,0,-0.0494950815982245
VIX.Index,0,0,0,0,0,0,0,0.0513514829482278,0,0,-0.0942085866604986,0.0480398916368616,0,0,0,0,0,0,0,0
