,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0300499445603199,0.158787055275983,0,0.214001710080347,0.0468390733250757,0,0,0,0,0
ETH,0.213356579739373,0,0,0,0.0696049261634865,0,-0.106570211852804,0,0,0.413131573320935,0,0,0,0.129024964169555,0.190666723561754,0,0,0,0,0
XRP,0,0,0,0,0,0.226354634561739,0,0,0.0217860995772101,0.211270181611339,0.0453525834772311,0,0,0.136043291710883,0.098037880986557,0,0,0,0,0
BCH,0.266165921994852,0,0,0,-0.0199225535465086,0.278755292294703,0,0.169674550217493,0.137799156338016,0,0,0.0824943365850127,0.0707164617594029,0,-0.060966689628401,0,-0.0365939361723995,0,0,-0.10046198805315
EOS,0,0.118736978080793,0,0,0,0.693386308900283,0,0,0,0,0.0919117613635716,6.93889390390723e-18,0,0,0.155579695941718,0,0,0,0,-0.0654434896792153
LTC,0,0,0.680147030011402,0.231601733277066,0.104631372081535,0,0,0,0,0,-0.0486016531177463,0,0,0.00908817886320466,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.363658614548101,0,0,0,0,0,0.142904664463773,0.151313834462022,0,0,0,0,-0.0744023969312724
ADA,0,0,0,0.396349906665695,0.0834611961487974,0,0,0,0.0971389397590334,0,0,0,0,0,0.410408026431025,0,0,0,0,0
MIOTA,0,0,0.160138683554099,-6.93889390390723e-18,0,0.237988112333513,0,0,0,0.449243409380418,0.403338935782443,0,0,1.38777878078145e-17,-0.00863806105374435,0,0,0,0,0
TRX,0,0,0.264377170160611,0,0.0172851616506615,0,0,0.26603619133694,0.0819577965562737,0,0.114154677471537,0,0,0,-0.060789912656898,0,0,0,0,-0.194097372307644
NEO,0,0,0,0,0.156767473223861,0,0,0,0.598189447828231,0,0,0,0.317516496230355,0,0,0,0,0,0,0.0575998982312748
XMR,0.949191951172191,0,0,0.309534666800074,0.000480983215115488,0,0,0,0.115795129620734,0,0.113352961084177,0,0,0,0,0,0.0229277517024162,0,0,0
DASH,0.253890593975065,0,0,0.110633678186825,0,0,0.301175537539334,0,0,0,0.164138040668823,0,0,0.0292069652685746,1.73472347597681e-18,0,-0.314338617280962,0,0,0
ETC,0.788680086321524,0.296978030192425,0.312124544186139,0,0.0184488684044312,0,0,0,0,0,-0.320824496720426,0.0582424251859664,0,0,0.118610962286228,0,0,0,0,-0.0269510741702934
XEM,0,0.06228663161541,0,0,0,0,0,0.733079239576085,-1.38777878078145e-17,0,0,0,0,0.213753844656507,0,0,0,0,0,0.0971408451545826
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0.0185589701073829,-0.0218100393464606,0,0,-0.00440942558183149,0,-0.0256848304164538,0.00578743199526164,0,0,0,0,-0.0871195529090607
VIX.Index,0,0,0,-0.196974261002468,-0.18181753612098,-0.314747346497052,-6.93889390390723e-18,0,0.368487448205999,-1.75450446671716,0.396595577359844,0,0,0.0927061916003915,0.43157513609624,0,0.822761141555795,0,0,0
