,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0848516286705717,0,0.10410954324635,-0.0247835564774068,0.122114116791334,0,0,0,0,0.136747991330551,0,0,0,0,0
ETH,0,0,-0.0251843927761202,0,0.0833731337062634,0,0,0.114104598794746,0.0937627916325769,0,0.124043591132632,0,0.0114081756035825,0.0433889576446412,0.252474428153625,0,0,0,0,0.198312408249035
BCH,0,0,0,0,0,0,0,0.411943011144718,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.225900051532223,0,0.246627287732233,0,0,0,0.512150394648016,0,0,0,0,0,0,0.0453724306373927
LTC,0,0,0,0,0,0,0,0,0,0.601419674912659,0,0,0,0.218167254847801,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.227093473897779,0,-0.0562259877320877,0.233932573049829,0,0,0,0,0,0,0,0,0.0585333743986033
DASH,0,0,0.0505828539853856,-0.0748958127885802,-0.35923626217692,0,0,0.0117664659934084,-0.0489655351979369,0,0.112758564931085,1.01507381400873,-0.00774728595018526,0,0,0,0,0,0,-0.0628750190952251
MIOTA,0,0.525207011186282,0.0620834863041641,0,0,0,0.485827976509275,0,0.0293337501154954,0,0.263842352764912,0,0,0,0,0,0,0,0,0
XMR,0,0,-8.67361737988404e-19,0.627420334783376,0,0,0.28305105882621,0,0,0,0.11580862370759,0.187747505537022,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.31678558822478,0,0,0.0683832164636241,0,0,0,0,0.0294097302497565,0.209110722387832,0.0125334008953313,0,0,0,0,0
NEO,0,0,0.016470266361718,0,0,0,0,0,-0.0368709311795679,0,0,0,-0.243002696984421,1.00741958552227,-0.116851147799757,0,0,0,0,0
ZEC,0,0,-0.0143329022741824,0,0.302342633198963,0,0.72064264955548,0,0.0463476037100566,0,-0.0586490632802277,0,0.153572881522061,0,0,0,0,0,0,0
XLM,0,0.131129790960676,0.0250036488958913,0.469336566661796,0,0,0,0.148016342760178,0.0797281894015945,0.167137230861424,0,0.130510779745318,0,0,-8.67361737988404e-19,0,0,0,0,0
EOS,0,0,-0.0406395727473693,0,0.129724731205782,0,0,0.171024271454607,0,0,0,0,0,0,0.093138454626676,0,0,0,0,0
BAT,1.17665043337641,0.288935288317544,0,-0.0550903503036224,0.113676298300881,0.143833602056553,0,0,-0.0475893248545415,4.33680868994202e-19,0,0.022087477309309,0,0,0,0,0,0,0,-0.263584854138608
BV010082.Index,0,0,-0.016665137381083,-0.0759904728174625,0,0.0536193085120649,-0.0240426985841095,-0.0460601572945248,0.0365805789621221,-0.0142309496819395,0.0231293447042615,0,0,0.0345478983358605,-0.0155662498301048,0,0,0,0,-0.0440275295782153
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0181648962598704,-0.0230661515251077,0.00659908125140949,0.0078210350308602,-4.33680868994202e-19,0.0551853391259746,-0.0348057329886167,0.00313081658530577,0.0151636943098906,0.0116470638401473,0,0,-0.0214003959957884,0.00277116889801473,-0.0141355991109154,0,0,0,0,-0.0167198423631905
SPX.Index,0,0,-0.00117550283161097,0,0,0,-0.0048863229927202,0,-0.00478928049393324,0.00972752204762912,-0.0012913052818949,0,0,0,0.00359564922768045,0,0,0,0,-0.0461388242839401
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
