,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.115175891762639,0,0.102860137355719,0,0.189919468685698,0,0,0,0,0.236474193913067,0,0,0.0398679208392137,0,0,0,0,-0.0140417737955098
ETH,0,0,0.069493239359518,0.0125002767941667,0,0,0.197057927976629,0,0.337529950624004,0.059841302300754,0,1.73472347597681e-18,0,0,0.0315763882368116,0,0,0,0,0
XRP,0,0,0,0,0.254088462259726,0,0,0.0702192322326164,0,0,0,0,0.0650701866142597,0,0.422302212384505,0,0,0,0,0
BCH,0,0,0.0672043549376044,0,0.193378090217218,0,0.550719333729514,0,0,0,0,0,0,0,0,0,0,0,0,-0.0784579327889603
LTC,0,0,0,0.151637974391364,0,0,0.0530766049621019,-0.130962308142816,0.456721264173383,0.397327401051071,-0.135829519581755,0,0,0,0,0,0,0,0,0.0156950295704336
ADA,0,0,0.420834067694858,-0.0345827511936829,-3.46944695195361e-18,0,0,-6.93889390390723e-18,0,0,0,0.0905088338156609,0,0.2539056085683,0.0279649788137573,0,0,0,0,0
NEO,0.0347619644284333,0.490454008645183,-0.25399212953151,0.15435859905321,0,0,0,0,0,0.188446886083013,0,-3.46944695195361e-18,0.085049342842963,0.403992226491459,0,0,0,0,0,0.0623179208648784
XLM,0,0,0.181988050599155,0,0,0.365326616045492,0,0,0,0,0,0,0.172172883858992,0.103755289380311,0.0134607956572373,0,0,0,0,0
EOS,0,0,0,0.0724697384013547,0.122251581601702,0.365953133288263,0,0,0,0.136693945713854,0,0.0212303265973738,0.258023185269683,0,0.00914059075819608,0,-0.12170006942571,0,-0.627975745995795,0.0332363978892064
MIOTA,0,0,0.0478917425508052,-0.125617777606788,0.116654662002436,-0.392496856347761,0.485519969687856,0,0.393087570672378,0,0,0.141595202423413,0,0,0.270211021148535,0,0,0,0,-0.137047832223285
DASH,0,0,0.249271946172658,0.134644591976529,0,0,0.185157529933355,0.137016611882894,0,0,0,0.447548270250267,-0.0165243003613836,0,-0.118090149829707,0,0,0,0,0.0122616571054039
XMR,0.122894030292045,0,0,0,0.190779508631316,0,0,0,0,0,0.760123411517587,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0155990465726592
ETC,0,0,0,0,0,0,2.77555756156289e-17,0,1.27313283588569,0,0,0,0,0,0.00924089976269449,0,0,0,0,-0.093766105634498
XEM,0,0,0,0,-0.0226205574631928,0.133334166494557,0.450482571027653,0.238346160924689,0,0,0.0779028891898804,0,-0.039918136311117,0,0.0781025285410476,0,0,0,0,0.130199551717359
TRX,0,0,0.320968655711116,0.143572404208411,0,0,0,0,0,0.188921143466479,0,0.0314007657102875,0.0504802984078321,0.407831541329093,0,0,0,0,0,0
BV010082.Index,0,0,-0.0215831463322281,0.0895032253006934,0,0,-0.137943432499989,0,0,0,0,0.118783270994765,0,0,0,0,0,0,0,-0.0342263393557756
CVIX.Index,0,0,0,0,0.052320732948749,0,0,0,0,0,0,-0.102869288083556,-0.0190480790185077,0,0.0796513654054601,0,0,0,0,0.0334943201829772
DXY.Curncy,0,0,0.011452503711993,0,-0.0438250879475039,0,0,-0.0147452304351312,0,0,0,0.0406865377662331,-0.00258938694956072,0,0,0,0,0,0,0.00365521182944555
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544573157725804
VIX.Index,-0.0135314334145563,0,-0.517744328512432,0,0.109650667757001,0,0,0,0,-0.662419470069373,0,0,0.0404892974910488,1.1012483134597,0.091352495696284,-0.921119084595123,0,0,-4.73920779884954,0
