,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.414713895199187,0.0816212861440265,0.0695516175518828,0,0,0.0367287497152677,0,-1.73472347597681e-18,0.0954787082984446,0,0,0,0,0
ETH,0,0,0,0,0,0,0.500231578993296,0,0,0,0.00332434895316857,0,0,0,0.26444394209275,0,0,0,0,0
XRP,0,0,0,0,0.113809051417362,0,0.144095275863191,-0.103278638422362,0,0.107677022325858,0.110694932832155,0.0350833213540378,0,0.0406100101292212,0.0955297052586985,0,0,0,0,0.0568959167497927
BCH,0,0,0,0,0,0,0.391338211404265,0,0.092526151788406,0,0.334268663105125,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0228301905826227,0.187689882958457,0,0.0973512300026936,0,0.603063029079575,0,-0.0540835058936632,0.103457511364525,0,0,0,0,0,0
DASH,0,0,0,0,0.311787247577692,0,0.414561039456974,-0.228288785164722,0,0.19537181229145,0,-0.0999928670836522,0,0.197741133462497,-0.173328237341021,0,0,0,0,-0.337137647737405
XEM,0.151897038709056,0.279418504766123,0,0.035959988742586,0.0316406296503154,0,0,0.0629980827902522,0,0.202804679544874,0,0,0,0.0185071222765542,0.0858328532544581,0,0,0,0,0
MIOTA,0,0.458719128034651,-0.821617768815807,0.0219302183979256,0.281620656121056,-0.135952892076844,0,0,0,0,0,0,0.236798308436298,0.247377529469426,0.255031316287149,0,0,0,0,0
NEO,0,0,0,0.591153674507128,0.278471105830461,0,-0.236668714903682,-0.454891767790094,0,0,-0.664523722373659,0.693221300982838,0,0.354281715423865,0.593394813986562,0,0,0,0,-0.333751956965917
XMR,0,0,0,0.100627152581762,0.0945252281112138,0,0.480158813663386,0,0,0,0.0402299418926393,0,0,0,0.0851327490246407,0,0,0,0,0
ETC,0,0,0,0.0179540905983024,0.87174350847294,0,0,0,-0.111180461413374,0,0,0.147952728792259,0.0967645422699475,0,0.119285556567737,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0452323498297494,0,0.267037070261025,0,0.199217424202615,0,0.338519272324111,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.235957652561928,-2.77555756156289e-17,0,0,0.622055381550816,0,0,0,0,0,0,0,0
BAT,0,0,0,-0.398065903933209,2.77555756156289e-17,0.502124359790837,0,0.488456481623818,0.174401281716226,0,0.150963599665797,-0.143659095529419,0.262514904386047,0,0,0,0,0,0,0.43161217224616
XLM,0,0.127006217036363,0.643472553135318,-0.339886872026168,0,0,0,0.175220525198319,0.13393432051778,0,0.453451714980788,-8.67361737988404e-19,-0.0374218169615628,0,0,0,0,0,0,0.212629033952349
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0.0127057761585189,0.0135429955804755,-0.0231375799669911,0,0,0,0,-0.179354141371076
CVIX.Index,0,0,0,0.0875823329521144,-0.00836774737118294,0,0,0.0750434108520956,0.010075976854729,0,-0.14178822979381,-0.0570299831177173,-0.0347113517352323,0,0,0,0,0,0,0.192982026474751
DXY.Curncy,0,0,0,0,0,-0.00644153354170411,0,0,0,-0.0123985837180998,0,0,0.0161148046905689,-0.0133858317996059,0,0,0,0,0,0
SPX.Index,0,0,0,0.00890838636813135,-0.002809291392632,0,-0.00803759448134414,0.00277199283245211,2.71050543121376e-20,0,0,-0.00130799813087421,0.00245880901453995,0,0,0,0,0,0,-0.0349269945325084
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
