,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0255088449603573,0,0,0,0.244334906538554,0.0186245193698286,0,0,0,0,0,0.0445019675777317,0,0,0,0,0
ETH,0,0,0,0,0.0895565550667756,0,0,0,0.142265554014088,0,0.194902352673294,0,0,0,0,0,0,0,0
XRP,0,-0.0773808410225289,0,0,-0.190414802304745,0,0.467639313492852,-0.116621729026156,0,0.643693525268392,-0.101294151340799,-0.0607474519067968,0.0515202054090857,0,0,0,0,0,0
XEM,0.399912670551924,0,0.193753828065219,0,-0.260717908254179,0,0,0.0144190394730559,0.0496852087445418,0,0.376633340352513,0,0.0898438051275377,0.171377203938198,0,0,0,0,0
ETC,0,0.371398243762381,-0.252003577344412,0,0,0,0,0,-0.0767670763899719,0,0,-0.055734509826353,0.0820045716362464,0.350006926305805,0,0,0,0,0
LTC,0,-0.115214184958672,0,0.140345052913338,0,0,0,0.44846597728702,0,0,0,0,0.0355706592514175,0.248875629511736,0,0,0,0,0
DASH,0,0.103628455166352,0.549058780323515,0,0,0,0,0.128651009135746,0.278646011967612,-0.221992856818761,-0.0160066108789453,0.0701714699101405,-0.0624396365922032,0.160261420195095,0,0,0,0,0
XMR,0,0.0487594059653392,0,0,-0.144565339756001,0.493197784389532,0.543492329845687,0,0,0.161067260197343,0,-0.0264636703868007,0,-0.236368791478846,0,0,0,0,0
ZEC,0,0.614387798225684,0,0,0.054241070908985,0.525003100788026,0,0,0,0,0.00499800364396683,-0.0745456697839901,-0.0384803718841425,-0.144656003988196,0,0,0,0,0
XLM,0,0.0847882418248191,0.840244427055911,0,0.218227182757264,0,0,0.244163123415593,-0.324468841186632,0,0.288235983065235,-1.73472347597681e-18,0,-0.0721502950600572,0,0,0,0,0.120777714672245
DOGE,0,0,-0.146293901876625,0.652836087588428,0,0,0,0,0.204338879035097,0,0,0.177883812349356,0,0.102413300601324,0,0,0,0,0
DGB,0.606319727872306,0,0,-1.23172466626836,-1.16924820142755,0,0.513194269557769,0,-0.736926523386862,0.197924585413081,1.48115472139524,0,0.184700718876502,0.293568415493753,0,0,0,0,-1.78604955965956
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.506481565872743,0.94056384645902,-6.93889390390723e-18,0,-0.0180641684443956,0,0,0,0.0475726699750338,-0.149778756714667,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170145268348449,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.000141125744190145,0.00576857182282493,-0.00251557113747462,0,0.00475614603611209,0,0,0,-0.00405962466049604,0,0,-0.0061931825105995,-0.000995917367706543,0.000448944892596333,0,0,0,0,0
SPX.Index,0,-0.00541067374881804,0,-0.00227344861210381,0.00279566392276616,0,0.00225880417488592,0,0,-0.000717947312434271,1.35525271560688e-20,0.00144624321343176,0,0,0,0,0,0,-0.0257494670503471
VIX.Index,0,0.159882905494035,0,0,-0.0848674594809438,0,0,-0.0692040091326314,0,0.113931342249776,0,-0.079535195109996,-0.008979575628374,0,0,0,0,0,0
