,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.118584359221499,0,0,-0.368553519985758,0.319543854395164,0,0.393682642177477,-0.176990889544738,0.0458834357843309,0,0.00445936508122414,0,0.150574951740223,0,0,0,0,0
ETH,0,0,-0.0543426658206901,0,-0.242280305114552,0,0.182818759727888,0,0.784411563905626,-0.145417416709784,0,0,0.0994381596809696,0.0142586193796476,0,0,0,0,0
XRP,0,0,0,-0.223441087875299,0,0,0.148854744888977,-0.18946743115158,0,0.947027183980611,-0.217125799319959,-0.0427961193890408,0.0143005885652692,0.0493660477344719,0,0,0,0,0
ETC,0,0,-0.350722315148779,0,-0.284234765576541,0.372146959530935,0.452723703503091,0,-0.216719428541946,0.00257415708660605,-0.137288800467015,-0.175220401814229,0.131582564387537,0.440480978011332,0,0,0,0,-0.367584697414008
XEM,0,0,0.266282650696962,0,0,0.0794060687769006,0,0.198437552452856,0,0,0.391992418109657,-1.0842021724855e-19,0.0334022805488164,0.0939591258746232,0,0,0,0,0
LTC,0,0,0.154882278556654,0.150293807482882,0.128588660730126,0,0,0,0.0533928560742086,0.0742313421228142,0.424116305623162,-0.00694000080909029,0,0.0128476968541329,0,0,0,0,0
DASH,0,0.306520762397157,0.416285113326956,-8.67361737988404e-19,0,0,0,0.136491826885535,0.0855687714626837,0,0,0.070992428994217,-0.0877502839736519,0.153311799838685,0,0,0,0,0
XMR,0,0.0217918229673617,0,0,0,0,0.262236245219854,0,0.178839326389638,0.334473769754597,0.497433849442549,0.0475434053245264,0.023298994613049,-0.265061044213397,0,0,0,0,0
ZEC,0,0.315495904989319,0,-0.127565330438496,-0.165862480284754,0.744071458667592,-0.0463766636820847,0.0909475305208084,0,0,-0.10049060261978,-0.065399306222178,0.0196683120899734,0,0,0,0,0,0
XLM,0,0,0.665520420549224,0,0,0,0,0.418872073637998,0,0,0,0,0,0.113542958134221,0,0,0,0,0
DOGE,0,0.0534809787867309,-0.168325752225426,0,0.591049673718887,0.326827985570248,0.149197151207541,0,0,0,0,0.0989303720843123,-0.035886566054954,0.0153508045623638,0,0,0,0,0
DGB,1.30118156430829,-0.262094499301646,-0.111389432492739,-1.33366631342267,-1.81459762657394,0,0,0,0,0,2.04177973016422,0,0.231021957483313,0.384105068603309,0,0,0,0,-0.190707743447099
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.326117126628992,1.49836075947711,0.316611489164151,0,0,-0.2570610803162,0,0,0.203831958285849,0.11137390706537,-0.201030115946763,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.00908795444415182,0,-0.00309482689745134,0.024507987180592,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.00769395561990029,0.00248442724817758,-0.00742332342867229,0.00380201447899725,2.71050543121376e-20,0,0,0.00271899042659201,0,0,-0.00283903627147714,-0.00550244209749874,0,0.00166548528823473,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.00615322760417643,-0.00243602578236349,0,0.00104432489448029,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
