,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0318187170169981,0.0648486926347005,-0.039450274028086,0,0,0.00656750837331418,0,0,0.00302392899003206,0.352073239906201,-0.286933375899489,0.427298569584041,0,0,0,0,0
ETH,0,0,-0.0431953391956803,-0.0461773653263141,-0.121775544439137,1.29742520107111,0.208395895471547,0,0,0,0,-0.160557970361762,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,-0.0913929375541209,0,0,0.532988880167416,0,0,0.0346046329523501,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0785266147181926,0,0,0,0,0,-0.0768914613197781,0,0,0,0,0,0,0,0,0,0
XMR,0.0555806864985913,0.512671603725849,0.0377712066943231,0.190018179646933,0,0,0,0.0287612406484474,0.145648373493545,0,-0.308467991801055,0,0,0,0,0,0,-0.250987051912571
ETC,0,0.320996962272437,-0.020359873435401,0,0.428297142228374,0,0,0,0.16510986564485,0,0,-0.130358559362307,0.283901012267675,0,0,0,0,0
XEM,0,-0.120267814113435,0.108714704641912,0,0,0,0.163515940685248,0,0.042961726006109,-0.527544265707115,0,0,0.461050420845888,0,0,0,0,0
ZEC,0,0,0.153942613074035,0,0.0657436179974279,0.219624778107157,0.177358685049155,0,0,0.179412165350481,0,0.416194720540742,0,0,0,0,0,0
DOGE,0,0.0485443599326599,0,0,0.107468753491282,0,0.254713452793339,0,0.133554946399145,0,0.0464596580184412,0,0,0,0,0,0,0
XLM,0,0,0,0.204916227118479,0.166958322547005,0,0.184415401222922,-0.110849701100752,0,0,0,0,0.321127345721343,0,0,0,0,0
NEO,-0.165612562219967,-0.126757479313429,0.196875950996527,-0.0837360907650066,-0.0317735285989804,-0.251056277208081,0,0.149003589909971,0,0,0,0,0.0951652523969566,-1.29613099444603,0,0,0,-0.227577735312684
DGB,0,0,0.181700566011496,-0.122291338624651,-0.038057010013487,0,0,0.317345701846407,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.046686948270424,0,-0.0620078973925195,0,-0.0255323812347007,-0.140692006998974,0.013932904410126,-0.000268169805386494,0,0.139974119364381,-0.0241580934034111,0,0,-0.143067559604872,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0.00024998146737785,0,0.00618033549408134,-0.00736911577185689,0.0117108525831029,0.0090905433281742,-0.00337565777171384,-0.00240446775342885,-0.00280290013059601,0,-0.000372234361037207,-0.0159630311567637,0,0,0,0,-0.0587683394612437
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
